Blocks:
<block:agricraft:crop>, tile.agricraft:crop.name
<block:atum:ceramic_stairs_pink>, Pink Ceramic Tile Stairs
<block:atum:ceramic_stairs_purple>, Purple Ceramic Tile Stairs
<block:atum:ceramic_stairs_red>, Red Ceramic Tile Stairs
<block:atum:ceramic_stairs_silver>, Silver Ceramic Tile Stairs
<block:atum:ceramic_stairs_white>, White Ceramic Tile Stairs
<block:atum:ceramic_stairs_yellow>, Yellow Ceramic Tile Stairs
<block:atum:ceramic_tile_black>, Black Ceramic Tile
<block:atum:ceramic_tile_blue>, Blue Ceramic Tile
<block:atum:ceramic_tile_brown>, Brown Ceramic Tile
<block:atum:ceramic_tile_cyan>, Cyan Ceramic Tile
<block:atum:ceramic_tile_gray>, Gray Ceramic Tile
<block:atum:ceramic_tile_green>, Green Ceramic Tile
<block:atum:ceramic_tile_light_blue>, Light Blue Ceramic Tile
<block:atum:ceramic_tile_lime>, Lime Ceramic Tile
<block:atum:ceramic_tile_magenta>, Magenta Ceramic Tile
<block:atum:ceramic_tile_orange>, Orange Ceramic Tile
<block:atum:ceramic_tile_pink>, Pink Ceramic Tile
<block:atum:ceramic_tile_purple>, Purple Ceramic Tile
<block:atum:ceramic_tile_red>, Red Ceramic Tile
<block:atum:ceramic_tile_silver>, Silver Ceramic Tile
<block:atum:ceramic_tile_white>, White Ceramic Tile
<block:atum:ceramic_tile_yellow>, Yellow Ceramic Tile
<block:atum:ceramic_wall_black>, Black Ceramic Tile Wall
<block:atum:ceramic_wall_blue>, Blue Ceramic Tile Wall
<block:atum:ceramic_wall_brown>, Brown Ceramic Tile Wall
<block:atum:ceramic_wall_cyan>, Cyan Ceramic Tile Wall
<block:atum:ceramic_wall_gray>, Gray Ceramic Tile Wall
<block:atum:ceramic_wall_green>, Green Ceramic Tile Wall
<block:atum:ceramic_wall_light_blue>, Light Blue Ceramic Tile Wall
<block:atum:ceramic_wall_lime>, Lime Ceramic Tile Wall
<block:atum:ceramic_wall_magenta>, Magenta Ceramic Tile Wall
<block:atum:ceramic_wall_orange>, Orange Ceramic Tile Wall
<block:atum:ceramic_wall_pink>, Pink Ceramic Tile Wall
<block:atum:ceramic_wall_purple>, Purple Ceramic Tile Wall
<block:atum:ceramic_wall_red>, Red Ceramic Tile Wall
<block:atum:ceramic_wall_silver>, Silver Ceramic Tile Wall
<block:atum:ceramic_wall_white>, White Ceramic Tile Wall
<block:atum:ceramic_wall_yellow>, Yellow Ceramic Tile Wall
<block:atum:ceramic_white>, White Ceramic Tile Block
<block:atum:ceramic_yellow>, Yellow Ceramic Tile Block
<block:atum:chest_spawner>, Limestone Chest
<block:atum:chiseled_stairs>, Limestone Chiseled Brick Stairs
<block:atum:chiseled_wall>, Limestone Chiseled Brick Wall
<block:atum:coal_ore>, Coal Ore
<block:atum:cracked_brick_stairs>, Limestone Cracked Brick Stairs
<block:atum:cracked_brick_wall>, Limestone Cracked Brick Wall
<block:atum:cracked_stairs>, Cracked Limestone Stairs
<block:atum:crystal_black_stained_glass>, Black Stained Crystal Glass
<block:atum:crystal_blue_stained_glass>, Blue Stained Crystal Glass
<block:atum:crystal_brown_stained_glass>, Brown Stained Crystal Glass
<block:atum:crystal_cyan_stained_glass>, Cyan Stained Crystal Glass
<block:atum:crystal_glass>, Crystal Glass
<block:atum:crystal_gray_stained_glass>, Gray Stained Crystal Glass
<block:atum:crystal_green_stained_glass>, Green Stained Crystal Glass
<block:atum:crystal_light_blue_stained_glass>, Light Blue Stained Crystal Glass
<block:atum:crystal_lime_stained_glass>, Lime Stained Crystal Glass
<block:atum:crystal_magenta_stained_glass>, Magenta Stained Crystal Glass
<block:atum:crystal_orange_stained_glass>, Orange Stained Crystal Glass
<block:atum:crystal_pink_stained_glass>, Pink Stained Crystal Glass
<block:atum:crystal_purple_stained_glass>, Purple Stained Crystal Glass
<block:atum:crystal_red_stained_glass>, Red Stained Crystal Glass
<block:atum:crystal_silver_stained_glass>, Silver Stained Crystal Glass
<block:atum:crystal_white_stained_glass>, White Stained Crystal Glass
<block:atum:crystal_yellow_stained_glass>, Yellow Stained Crystal Glass
<block:atum:date_block>, Date
<block:atum:dead_grass>, Dead Grass
<block:atum:deadwood_branch>, Deadwood Branch
<block:atum:deadwood_crate>, Deadwood Crate
<block:atum:deadwood_door>, Deadwood Door
<block:atum:deadwood_fence>, Deadwood Fence
<block:atum:deadwood_fence_gate>, Deadwood Fence Gate
<block:atum:deadwood_hatch>, Deadwood Hatch
<block:atum:deadwood_ladder>, Deadwood Ladder
<block:atum:deadwood_leaves>, Deadwood Leaves
<block:atum:deadwood_log>, Deadwood Log
<block:atum:deadwood_planks>, Deadwood Planks
<block:atum:deadwood_slab>, Deadwood Slab
<block:atum:deadwood_stairs>, Deadwood Stairs
<block:atum:deadwood_torch>, Deadwood Torch
<block:atum:deadwood_torch_unlit>, Unlit Deadwood Torch
<block:atum:diamond_ore>, Diamond Ore
<block:atum:dirty_bone_block>, Dirty Bone Block
<block:atum:dirty_bone_slab>, Dirty Bone Slab
<block:atum:emerald_ore>, Emerald Ore
<block:atum:emmer_wheat>, Emmer Wheat
<block:atum:fertile_soil>, Fertile Soil
<block:atum:fertile_soil_tilled>, Tilled Fertile Soil
<block:atum:flax_block>, Flax
<block:atum:framed_black_stained_glass>, Black Stained Framed Glass
<block:atum:framed_blue_stained_glass>, Blue Stained Framed Glass
<block:atum:framed_brown_stained_glass>, Brown Stained Framed Glass
<block:atum:framed_cyan_stained_glass>, Cyan Stained Framed Glass
<block:atum:framed_glass>, Framed Glass
<block:atum:framed_gray_stained_glass>, Gray Stained Framed Glass
<block:atum:framed_green_stained_glass>, Green Stained Framed Glass
<block:atum:framed_light_blue_stained_glass>, Light Blue Stained Framed Glass
<block:atum:framed_lime_stained_glass>, Lime Stained Framed Glass
<block:atum:framed_magenta_stained_glass>, Magenta Stained Framed Glass
<block:atum:framed_orange_stained_glass>, Orange Stained Framed Glass
<block:atum:framed_pink_stained_glass>, Pink Stained Framed Glass
<block:atum:framed_purple_stained_glass>, Purple Stained Framed Glass
<block:atum:framed_red_stained_glass>, Red Stained Framed Glass
<block:atum:framed_silver_stained_glass>, Silver Stained Framed Glass
<block:atum:framed_white_stained_glass>, White Stained Framed Glass
<block:atum:framed_yellow_stained_glass>, Yellow Stained Framed Glass
<block:atum:gold_ore>, Gold Ore
<block:atum:heart_of_ra>, Heart of Ra
<block:atum:iron_ore>, Iron Ore
<block:atum:khnumite_block>, Khnumite Block
<block:atum:khnumite_face>, Khnumite Face
<block:atum:khnumite_raw>, Raw Khnumite
<block:atum:kiln>, Kiln
<block:atum:kiln_fake>, Kiln
<block:atum:lapis_ore>, Lapis Ore
<block:atum:large_stairs>, Limestone Large Brick Stairs
<block:atum:large_wall>, Large Limestone Brick Wall
<block:atum:limestone>, Limestone
<block:atum:limestone_brick_carved>, Carved Limestone Bricks
<block:atum:limestone_brick_carved_door>, Carved Limestone Bricks Door
<block:atum:limestone_brick_chiseled>, Chiseled Limestone Bricks
<block:atum:limestone_brick_chiseled_door>, Chiseled Limestone Bricks Door
<block:atum:limestone_brick_cracked_brick>, Cracked Limestone Bricks
<block:atum:limestone_brick_cracked_brick_door>, Cracked Limestone Bricks Door
<block:atum:limestone_brick_large>, Large Limestone Bricks
<block:atum:limestone_brick_large_door>, Large Limestone Bricks Door
<block:atum:limestone_brick_small>, Small Limestone Bricks
<block:atum:limestone_brick_small_door>, Small Limestone Bricks Door
<block:atum:limestone_carved_slab>, Carved Limestone Bricks Slab
<block:atum:limestone_chest>, Limestone Chest
<block:atum:limestone_chiseled_slab>, Chiseled Limestone Bricks Slab
<block:atum:limestone_cracked>, Cracked Limestone
<block:atum:limestone_cracked_brick_slab>, Cracked Limestone Bricks Slab
<block:atum:limestone_cracked_door>, Cracked Limestone Door
<block:atum:limestone_cracked_slab>, Cracked Limestone Slab
<block:atum:limestone_cracked_wall>, Cracked Limestone Wall
<block:atum:limestone_door>, Limestone Door
<block:atum:limestone_furnace>, Limestone Furnace
<block:atum:limestone_furnace_lit>, Limestone Furnace
<block:atum:limestone_gravel>, Limestone Gravel
<block:atum:limestone_large_slab>, Large Limestone Bricks Slab
<block:atum:limestone_small_slab>, Small Limestone Bricks Slab
<block:atum:limestone_smooth_slab>, Smooth Limestone Slab
<block:atum:limestone_torch>, Limestone Torch
<block:atum:limestone_torch_unlit>, Unlit Limestone Torch
<block:atum:limestone_wall>, Smooth Limestone Wall
<block:atum:linen_black>, Black Linen
<block:atum:linen_blue>, Blue Linen
<block:atum:linen_brown>, Brown Linen
<block:atum:linen_carpet_black>, Black Linen Carpet
<block:atum:linen_carpet_blue>, Blue Linen Carpet
<block:atum:linen_carpet_brown>, Brown Linen Carpet
<block:atum:linen_carpet_cyan>, Cyan Linen Carpet
<block:atum:linen_carpet_gray>, Gray Linen Carpet
<block:atum:linen_carpet_green>, Green Linen Carpet
<block:atum:linen_carpet_light_blue>, Light Blue Linen Carpet
<block:atum:linen_carpet_lime>, Lime Linen Carpet
<block:atum:linen_carpet_magenta>, Magenta Linen Carpet
<block:atum:linen_carpet_orange>, Orange Linen Carpet
<block:atum:linen_carpet_pink>, Pink Linen Carpet
<block:atum:linen_carpet_purple>, Purple Linen Carpet
<block:atum:linen_carpet_red>, Red Linen Carpet
<block:atum:linen_carpet_silver>, Silver Linen Carpet
<block:atum:linen_carpet_white>, White Linen Carpet
<block:atum:linen_carpet_yellow>, Yellow Linen Carpet
<block:atum:linen_cyan>, Cyan Linen
<block:atum:linen_gray>, Gray Linen
<block:atum:linen_green>, Green Linen
<block:atum:linen_light_blue>, Light Blue Linen
<block:atum:linen_lime>, Lime Linen
<block:atum:linen_magenta>, Magenta Linen
<block:atum:linen_orange>, Orange Linen
<block:atum:linen_pink>, Pink Linen
<block:atum:linen_purple>, Purple Linen
<block:atum:linen_red>, Red Linen
<block:atum:linen_silver>, Silver Linen
<block:atum:linen_white>, White Linen
<block:atum:linen_yellow>, Yellow Linen
<block:atum:lit_redstone_ore>, Redstone Ore
<block:atum:marl>, Marl
<block:atum:oasis_grass>, Oasis Grass
<block:atum:ophidian_tongue>, Ophidian Tongue Vine
<block:atum:palm_crate>, Palm Crate
<block:atum:palm_door>, Palm Door
<block:atum:palm_fence>, Palm Fence
<block:atum:palm_fence_gate>, Palm Fence Gate
<block:atum:palm_hatch>, Palm Hatch
<block:atum:palm_ladder>, Palm Ladder
<block:atum:palm_leaves>, Palm Leaves
<block:atum:palm_log>, Palm Wood
<block:atum:palm_planks>, Palm Planks
<block:atum:palm_sapling>, Palm Sapling
<block:atum:palm_slab>, Palm Wood Slab
<block:atum:palm_stairs>, Palm Stairs
<block:atum:palm_torch>, Palm Torch
<block:atum:palm_torch_unlit>, Unlit Palm Torch
<block:atum:papyrus>, Papyrus
<block:atum:pharaoh_torch>, Royal Torch
<block:atum:pharaoh_torch_unlit>, Unlit Royal Torch
<block:atum:poison_trap>, Poison Trap
<block:atum:porphyry>, Porphyry
<block:atum:porphyry_brick_carved>, Carved Porphyry Brick
<block:atum:porphyry_brick_pillar>, Pillar Porphyry Brick
<block:atum:porphyry_brick_polished>, Polished Porphyry Brick
<block:atum:porphyry_brick_smooth>, Smooth Porphyry
<block:atum:porphyry_brick_tiled>, Tiled Porphyry Brick
<block:atum:porphyry_carved_slab>, Carved Porphyry Slab
<block:atum:porphyry_carved_stairs>, Carved Porphyry Stairs
<block:atum:porphyry_carved_wall>, Carved Porphyry Wall
<block:atum:porphyry_pillar_slab>, Pillar Porphyry Slab
<block:atum:porphyry_pillar_stairs>, Pillar Porphyry Stairs
<block:atum:porphyry_pillar_wall>, Pillar Porphyry Wall
<block:atum:porphyry_polished_slab>, Polished Porphyry Slab
<block:atum:porphyry_polished_stairs>, Polished Porphyry Stairs
<block:atum:porphyry_polished_wall>, Polished Porphyry Wall
<block:atum:porphyry_smooth_slab>, Smooth Porphyry Slab
<block:atum:porphyry_smooth_stairs>, Smooth Porphyry Stairs
<block:atum:porphyry_smooth_wall>, Smooth Porphyry Wall
<block:atum:porphyry_tiled_slab>, Tiled Porphyry Slab
<block:atum:porphyry_tiled_stairs>, Tiled Porphyry Stairs
<block:atum:porphyry_tiled_wall>, Tiled Porphyry Wall
<block:atum:portal>, Atum Portal
<block:atum:quern>, Quern
<block:atum:ra_stone>, Ra Stone
<block:atum:radiant_beacon>, Radiant Beacon
<block:atum:radiant_beacon_framed>, Radiant Beacon
<block:atum:redstone_ore>, Redstone Ore
<block:atum:relic_ore>, Relic Ore
<block:atum:sand>, Strange Sand
<block:atum:sand_layer>, Sand Layer
<block:atum:sarcophagus>, Sarcophagus
<block:atum:shrub>, Dry Shrub
<block:atum:small_stairs>, Limestone Small Brick Stairs
<block:atum:small_wall>, Small Limestone Brick Wall
<block:atum:smoke_trap>, Smoke Trap
<block:atum:smooth_stairs>, Limestone Stairs
<block:atum:spinning_wheel>, Spinning Wheel
<block:atum:tar_trap>, Tar Trap
<block:atum:thin_crystal_black_stained_glass>, Black Stained Thin Crystal Glass
<block:atum:thin_crystal_blue_stained_glass>, Blue Stained Thin Crystal Glass
<block:atum:thin_crystal_brown_stained_glass>, Brown Stained Thin Crystal Glass
<block:atum:thin_crystal_cyan_stained_glass>, Cyan Stained Thin Crystal Glass
<block:atum:thin_crystal_glass>, Thin Crystal Glass
<block:atum:thin_crystal_gray_stained_glass>, Gray Stained Thin Crystal Glass
<block:atum:thin_crystal_green_stained_glass>, Green Stained Thin Crystal Glass
<block:atum:thin_crystal_light_blue_stained_glass>, Light Blue Stained Thin Crystal Glass
<block:atum:thin_crystal_lime_stained_glass>, Lime Stained Thin Crystal Glass
<block:atum:thin_crystal_magenta_stained_glass>, Magenta Stained Thin Crystal Glass
<block:atum:thin_crystal_orange_stained_glass>, Orange Stained Thin Crystal Glass
<block:atum:thin_crystal_pink_stained_glass>, Pink Stained Thin Crystal Glass
<block:atum:thin_crystal_purple_stained_glass>, Purple Stained Thin Crystal Glass
<block:atum:thin_crystal_red_stained_glass>, Red Stained Thin Crystal Glass
<block:atum:thin_crystal_silver_stained_glass>, Silver Stained Thin Crystal Glass
<block:atum:thin_crystal_white_stained_glass>, White Stained Thin Crystal Glass
<block:atum:thin_crystal_yellow_stained_glass>, Yellow Stained Thin Crystal Glass
<block:atum:thin_framed_black_stained_glass>, Black Stained Thin Framed Glass
<block:atum:thin_framed_blue_stained_glass>, Blue Stained Thin Framed Glass
<block:atum:thin_framed_brown_stained_glass>, Brown Stained Thin Framed Glass
<block:atum:thin_framed_cyan_stained_glass>, Cyan Stained Thin Framed Glass
<block:atum:thin_framed_glass>, Thin Framed Glass
<block:atum:thin_framed_gray_stained_glass>, Gray Stained Thin Framed Glass
<block:atum:thin_framed_green_stained_glass>, Green Stained Thin Framed Glass
<block:atum:thin_framed_light_blue_stained_glass>, Light Blue Stained Thin Framed Glass
<block:atum:thin_framed_lime_stained_glass>, Lime Stained Thin Framed Glass
<block:atum:thin_framed_magenta_stained_glass>, Magenta Stained Thin Framed Glass
<block:atum:thin_framed_orange_stained_glass>, Orange Stained Thin Framed Glass
<block:atum:thin_framed_pink_stained_glass>, Pink Stained Thin Framed Glass
<block:atum:thin_framed_purple_stained_glass>, Purple Stained Thin Framed Glass
<block:atum:thin_framed_red_stained_glass>, Red Stained Thin Framed Glass
<block:atum:thin_framed_silver_stained_glass>, Silver Stained Thin Framed Glass
<block:atum:thin_framed_white_stained_glass>, White Stained Thin Framed Glass
<block:atum:thin_framed_yellow_stained_glass>, Yellow Stained Thin Framed Glass
<block:atum:weed>, Dry Shrub
<block:avatarmod:cloudblock>, Cloud Block
<block:betteranimalsplus:bearhead>, tile.null.name
<block:betteranimalsplus:bearhead_1>, Bear Head
<block:betteranimalsplus:bearhead_2>, Bear Head
<block:betteranimalsplus:bearhead_3>, Bear Head
<block:betteranimalsplus:boarhead>, tile.null.name
<block:betteranimalsplus:boarhead_1>, Boar Head
<block:betteranimalsplus:boarhead_2>, Boar Head
<block:betteranimalsplus:boarhead_3>, Boar Head
<block:betteranimalsplus:boarhead_4>, Boar Head
<block:betteranimalsplus:coyotehead>, tile.null.name
<block:betteranimalsplus:coyotehead_1>, Coyote Head
<block:betteranimalsplus:deerhead>, tile.null.name
<block:betteranimalsplus:deerhead_1>, Deer Head
<block:betteranimalsplus:deerhead_2>, Deer Head
<block:betteranimalsplus:deerhead_3>, Deer Head
<block:betteranimalsplus:deerhead_4>, Deer Head
<block:betteranimalsplus:foxhead>, tile.null.name
<block:betteranimalsplus:foxhead_1>, Fox Head
<block:betteranimalsplus:foxhead_2>, Fox Head
<block:betteranimalsplus:foxhead_3>, Fox Head
<block:betteranimalsplus:foxhead_4>, Fox Head
<block:betteranimalsplus:handoffate>, Hand Of Fate
<block:betteranimalsplus:hirschgeistskull>, tile.null.name
<block:betteranimalsplus:hirschgeistskull_1>, Hirschgeist Skull
<block:betteranimalsplus:moosehead>, tile.null.name
<block:betteranimalsplus:moosehead_1>, Moose Head
<block:betteranimalsplus:moosehead_2>, Moose Head
<block:betteranimalsplus:moosehead_3>, Moose Head
<block:betteranimalsplus:moosehead_4>, Moose Head
<block:betteranimalsplus:reindeerhead>, tile.null.name
<block:betteranimalsplus:reindeerhead_1>, Reindeer Head
<block:betteranimalsplus:reindeerhead_2>, Reindeer Head
<block:betteranimalsplus:reindeerhead_3>, Reindeer Head
<block:betteranimalsplus:reindeerhead_4>, Reindeer Head
<block:betteranimalsplus:trillium>, Trillium
<block:betteranimalsplus:turkey_cooked>, Cooked Turkey
<block:betteranimalsplus:turkey_eaten_cooked>, Cooked Half Eaten Turkey
<block:betteranimalsplus:turkey_eaten_raw>, Raw Half Eaten Turkey
<block:betteranimalsplus:turkey_raw>, Raw Turkey
<block:betteranimalsplus:wolfhead>, tile.null.name
<block:betteranimalsplus:wolfhead_1>, Wolf Head
<block:betteranimalsplus:wolfhead_2>, Wolf Head
<block:betteranimalsplus:wolfhead_3>, Wolf Head
<block:betteranimalsplus:wolfhead_4>, Wolf Head
<block:betteranimalsplus:wolfhead_5>, Wolf Head
<block:betteranimalsplus:wolfhead_6>, Wolf Head
<block:bibliocraft:armorstand>, tile.BiblioCraft:ArmorStand.name
<block:bibliocraft:bell>, Desk Bell
<block:bibliocraft:bookcase>, tile.BiblioCraft:Bookcase.name
<block:bibliocraft:bookcasecreative>, tile.BiblioCraft:BookcaseCreative.name
<block:bibliocraft:case>, tile.BiblioCraft:Case.name
<block:bibliocraft:clipboard>, tile.BiblioCraft:Clipboard.name
<block:bibliocraft:clock>, tile.BiblioCraft:Clock.name
<block:bibliocraft:cookiejar>, Cookie Jar
<block:bibliocraft:desk>, tile.BiblioCraft:Desk.name
<block:bibliocraft:dinnerplate>, Dinner Plate
<block:bibliocraft:discrack>, Disc Rack
<block:bibliocraft:fancysign>, tile.BiblioCraft:FancySign.name
<block:bibliocraft:fancyworkbench>, tile.BiblioCraft:FancyWorkbench.name
<block:bibliocraft:framedchest>, tile.BiblioCraft:FramedChest.name
<block:bibliocraft:furniturepaneler>, tile.BiblioCraft:FurniturePaneler.name
<block:bibliocraft:label>, tile.BiblioCraft:Label.name
<block:bibliocraft:lampgold>, tile.BiblioCraft:LampGold.name
<block:bibliocraft:lampiron>, tile.BiblioCraft:LampIron.name
<block:bibliocraft:lanterngold>, tile.BiblioCraft:LanternGold.name
<block:bibliocraft:lanterniron>, tile.BiblioCraft:LanternIron.name
<block:bibliocraft:mapframe>, tile.BiblioCraft:MapFrame.name
<block:bibliocraft:markerpole>, tile.BiblioCraft:MarkerPole.name
<block:bibliocraft:paintingframeborderless>, tile.BiblioCraft:PaintingFrameBorderless.name
<block:bibliocraft:paintingframefancy>, tile.BiblioCraft:PaintingFrameFancy.name
<block:bibliocraft:paintingframeflat>, tile.BiblioCraft:PaintingFrameFlat.name
<block:bibliocraft:paintingframemiddle>, tile.BiblioCraft:PaintingFrameMiddle.name
<block:bibliocraft:paintingframesimple>, tile.BiblioCraft:PaintingFrameSimple.name
<block:bibliocraft:paintingpress>, Painting Press
<block:bibliocraft:potionshelf>, tile.BiblioCraft:PotionShelf.name
<block:bibliocraft:printingpress>, Printing Press
<block:bibliocraft:seat>, tile.BiblioCraft:Seat.name
<block:bibliocraft:shelf>, tile.BiblioCraft:Shelf.name
<block:bibliocraft:swordpedestal>, tile.BiblioCraft:SwordPedestal.name
<block:bibliocraft:table>, tile.BiblioCraft:Table.name
<block:bibliocraft:toolrack>, tile.BiblioCraft:ToolRack.name
<block:bibliocraft:typesettingtable>, Typesetting Table
<block:bibliocraft:typewriter>, tile.BiblioCraft:Typewriter.name
<block:bigreactors:blockblutonium>, Blutonium Block
<block:bigreactors:blockcyanite>, Cyanite Block
<block:bigreactors:blockgraphite>, Graphite Block
<block:bigreactors:blockludicrite>, Ludicrite Block
<block:bigreactors:blocksteel>, Steel Block
<block:bigreactors:blockyellorium>, Yellorium Block
<block:bigreactors:cyanite>, tile.bigreactors:cyanite.name
<block:bigreactors:oreanglesite>, Anglesite Ore
<block:bigreactors:orebenitoite>, Benitoite Ore
<block:bigreactors:oreyellorite>, Yellorite Ore
<block:bigreactors:reactoraccessport>, Reactor Access Port (Legacy)
<block:bigreactors:reactorcasing>, Reactor Casing (Legacy)
<block:bigreactors:reactorcomputerport>, Reactor Computer Port (Legacy)
<block:bigreactors:reactorcontroller>, Reactor Controller (Legacy)
<block:bigreactors:reactorcontrolrod>, Reactor Control Rod (Legacy)
<block:bigreactors:reactorcoolantport>, Reactor Coolant Port (Legacy)
<block:bigreactors:reactorfuelrod>, Reactor Fuel Rod (Legacy)
<block:bigreactors:reactorglass>, Reactor Glass (Legacy)
<block:bigreactors:reactorpowertaprf>, Reactor Redstone Flux Power Tap (Legacy)
<block:bigreactors:reactorpowertaptesla>, Reactor Tesla Power Tap (Legacy)
<block:bigreactors:reactorrednetport>, Reactor RedNet Port (Legacy)
<block:bigreactors:reactorredstoneport>, Reactor Redstone Port (Legacy)
<block:bigreactors:turbinebearing>, Turbine Rotor Bearing (Legacy)
<block:bigreactors:turbinecomputerport>, Turbine Computer Port (Legacy)
<block:bigreactors:turbinecontroller>, Turbine Controller (Legacy)
<block:bigreactors:turbinefluidport>, Turbine Fluid Port (Legacy)
<block:bigreactors:turbineglass>, Turbine Glass (Legacy)
<block:bigreactors:turbinehousing>, Turbine Housing (Legacy)
<block:bigreactors:turbinepowertaprf>, Turbine Redstone Flux Power Tap (Legacy)
<block:bigreactors:turbinepowertaptesla>, Turbine Tesla Power Tap (Legacy)
<block:bigreactors:turbinerotorblade>, Turbine Rotor Blade (Legacy)
