+---------------------------------------------------------------------------------------------------------+-------------------------------------------------------+----------+
| Class                                                                                                   | Registry name                                         | Ticking? |
| com.mjr.extraplanets.tileEntities.machines.TileEntityBasicCrystallizer                                  | minecraft:extraplanetsbasic crystallizer              |      yes |
| com.mjr.extraplanets.tileEntities.machines.TileEntityBasicDecontaminationUnit                           | minecraft:extraplanetsbasic decontamination unit      |      yes |
| com.mjr.extraplanets.tileEntities.machines.TileEntityBasicDecrystallizer                                | minecraft:extraplanetsbasic decrystallizer            |      yes |
| com.mjr.extraplanets.tileEntities.machines.TileEntityBasicDensifier                                     | minecraft:extraplanetsbasic densifier                 |      yes |
| com.mjr.extraplanets.tileEntities.machines.TileEntityBasicPurifier                                      | minecraft:extraplanetsbasic purifier                  |      yes |
| com.mjr.extraplanets.tileEntities.machines.TileEntityBasicSmasher                                       | minecraft:extraplanetsbasic smasher                   |      yes |
| com.mjr.extraplanets.tileEntities.machines.TileEntityBasicSolarEvaporationChamber                       | minecraft:extraplanetsbasic solar evaporation chamber |      yes |
| com.mjr.extraplanets.tileEntities.machines.TileEntitySolar                                              | minecraft:extraplanetssolar panel                     |      yes |
| com.mjr.extraplanets.tileEntities.machines.TileEntityUltimateFuelLoader                                 | minecraft:extraplanetsultimatefuelloader              |      yes |
| com.mjr.extraplanets.tileEntities.machines.TileEntityUltimateOxygenCompressor                           | minecraft:extraplanetsultimate oxygen compressor      |      yes |
| com.mjr.extraplanets.tileEntities.machines.TileEntityUltimateOxygenDecompressor                         | minecraft:extraplanetsultimate oxygen decompressor    |      yes |
| com.mjr.extraplanets.tileEntities.machines.TileEntityUltimateRefinery                                   | minecraft:extraplanetsultimaterefinery                |      yes |
| com.mjr.extraplanets.tileEntities.machines.TileEntityVehicleChanger                                     | minecraft:extraplanetsvehiclechanger                  |      yes |
| com.mjr.extraplanets.tileEntities.treasureChests.TileEntityT10TreasureChest                             | minecraft:extraplanetstier 10 treasure chest          |      yes |
| com.mjr.extraplanets.tileEntities.treasureChests.TileEntityT4TreasureChest                              | minecraft:extraplanetstier 4 treasure chest           |      yes |
| com.mjr.extraplanets.tileEntities.treasureChests.TileEntityT5TreasureChest                              | minecraft:extraplanetstier 5 treasure chest           |      yes |
| com.mjr.extraplanets.tileEntities.treasureChests.TileEntityT6TreasureChest                              | minecraft:extraplanetstier 6 treasure chest           |      yes |
| com.mjr.extraplanets.tileEntities.treasureChests.TileEntityT7TreasureChest                              | minecraft:extraplanetstier 7 treasure chest           |      yes |
| com.mjr.extraplanets.tileEntities.treasureChests.TileEntityT8TreasureChest                              | minecraft:extraplanetstier 8 treasure chest           |      yes |
| com.mjr.extraplanets.tileEntities.treasureChests.TileEntityT9TreasureChest                              | minecraft:extraplanetstier 9 treasure chest           |      yes |
| com.mrcrayfish.furniture.tileentity.TileEntityBath                                                      | minecraft:cfmbath                                     |        - |
| com.mrcrayfish.furniture.tileentity.TileEntityBedsideCabinet                                            | minecraft:cfmbedsidecabinet                           |        - |
| com.mrcrayfish.furniture.tileentity.TileEntityBin                                                       | minecraft:cfmbin                                      |        - |
| com.mrcrayfish.furniture.tileentity.TileEntityBlender                                                   | minecraft:cfmblender                                  |      yes |
| com.mrcrayfish.furniture.tileentity.TileEntityCabinet                                                   | minecraft:cfmcabinet                                  |        - |
| com.mrcrayfish.furniture.tileentity.TileEntityCabinetKitchen                                            | minecraft:cfmcabinetkitchen                           |        - |
| com.mrcrayfish.furniture.tileentity.TileEntityCeilingFan                                                | minecraft:cfmceilingfan                               |      yes |
| com.mrcrayfish.furniture.tileentity.TileEntityChoppingBoard                                             | minecraft:cfmchoppingboard                            |        - |
| com.mrcrayfish.furniture.tileentity.TileEntityCoffeeTable                                               | cfm:coffee_table                                      |        - |
| com.mrcrayfish.furniture.tileentity.TileEntityColoured                                                  | minecraft:cfmcouch                                    |        - |
| com.mrcrayfish.furniture.tileentity.TileEntityComputer                                                  | minecraft:cfmcomputer                                 |        - |
| com.mrcrayfish.furniture.tileentity.TileEntityCookieJar                                                 | minecraft:cfmcookiejar                                |        - |
| com.mrcrayfish.furniture.tileentity.TileEntityCrate                                                     | minecraft:cfmcrate                                    |        - |
| com.mrcrayfish.furniture.tileentity.TileEntityCup                                                       | minecraft:cfmcup                                      |        - |
| com.mrcrayfish.furniture.tileentity.TileEntityDeskCabinet                                               | minecraft:cfmdeskcabinet                              |        - |
| com.mrcrayfish.furniture.tileentity.TileEntityDigitalClock                                              | minecraft:cfmdigitalclock                             |        - |
| com.mrcrayfish.furniture.tileentity.TileEntityDishwasher                                                | minecraft:cfmdishwasher                               |      yes |
| com.mrcrayfish.furniture.tileentity.TileEntityDoorMat                                                   | minecraft:cfmdoormat                                  |        - |
| com.mrcrayfish.furniture.tileentity.TileEntityEsky                                                      | minecraft:cfmeski                                     |        - |
| com.mrcrayfish.furniture.tileentity.TileEntityFreezer                                                   | minecraft:cfmfreezer                                  |      yes |
| com.mrcrayfish.furniture.tileentity.TileEntityFridge                                                    | minecraft:cfmfridge                                   |        - |
| com.mrcrayfish.furniture.tileentity.TileEntityGrill                                                     | minecraft:cfmgrill                                    |      yes |
| com.mrcrayfish.furniture.tileentity.TileEntityKitchenCounter                                            | minecraft:cfmkitchencounter                           |        - |
| com.mrcrayfish.furniture.tileentity.TileEntityKitchenCounterDrawer                                      | minecraft:cfmkitchencounterdrawer                     |        - |
| com.mrcrayfish.furniture.tileentity.TileEntityLightSwitch                                               | minecraft:cfmlightswitch                              |        - |
| com.mrcrayfish.furniture.tileentity.TileEntityMailBox                                                   | minecraft:cfmmailbox                                  |        - |
| com.mrcrayfish.furniture.tileentity.TileEntityMicrowave                                                 | minecraft:cfmmicrowave                                |      yes |
| com.mrcrayfish.furniture.tileentity.TileEntityMirror                                                    | minecraft:cfmmirror                                   |        - |
| com.mrcrayfish.furniture.tileentity.TileEntityModernSlidingDoor                                         | minecraft:cfmmodernslidingdoor                        |      yes |
| com.mrcrayfish.furniture.tileentity.TileEntityOven                                                      | minecraft:cfmoven                                     |      yes |
| com.mrcrayfish.furniture.tileentity.TileEntityPhotoFrame                                                | cfm:photo_frame                                       |        - |
| com.mrcrayfish.furniture.tileentity.TileEntityPlate                                                     | minecraft:cfmplate                                    |        - |
| com.mrcrayfish.furniture.tileentity.TileEntityPresent                                                   | minecraft:cfmpresent                                  |        - |
| com.mrcrayfish.furniture.tileentity.TileEntityPrinter                                                   | minecraft:cfmprinter                                  |      yes |
| com.mrcrayfish.furniture.tileentity.TileEntityShowerHead                                                | minecraft:cfmshowerhead                               |      yes |
| com.mrcrayfish.furniture.tileentity.TileEntityStereo                                                    | minecraft:cfmstereo                                   |        - |
| com.mrcrayfish.furniture.tileentity.TileEntityTV                                                        | minecraft:cfmtv                                       |        - |
| com.mrcrayfish.furniture.tileentity.TileEntityTVStand                                                   | cfm:tv_stand                                          |        - |
| com.mrcrayfish.furniture.tileentity.TileEntityToaster                                                   | minecraft:cfmtoaster                                  |      yes |
| com.mrcrayfish.furniture.tileentity.TileEntityTree                                                      | minecraft:cfmtree                                     |      yes |
| com.mrcrayfish.furniture.tileentity.TileEntityWallCabinet                                               | minecraft:cfmwallcabinet                              |        - |
| com.mrcrayfish.furniture.tileentity.TileEntityWashingMachine                                            | minecraft:cfmwashingmachine                           |      yes |
| com.pam.brewcraft.tileentities.TileEntityDistiller                                                      | minecraft:distiller                                   |      yes |
| com.pam.harvestcraft.tileentities.TileEntityApiary                                                      | minecraft:pamapiary                                   |      yes |
| com.pam.harvestcraft.tileentities.TileEntityGrinder                                                     | minecraft:pamgrinder                                  |      yes |
| com.pam.harvestcraft.tileentities.TileEntityGroundTrap                                                  | minecraft:pamgroundtrap                               |      yes |
| com.pam.harvestcraft.tileentities.TileEntityMarket                                                      | minecraft:pammarket                                   |        - |
| com.pam.harvestcraft.tileentities.TileEntityPresser                                                     | minecraft:pampresser                                  |      yes |
| com.pam.harvestcraft.tileentities.TileEntityShippingBin                                                 | minecraft:pamshippingbin                              |        - |
| com.pam.harvestcraft.tileentities.TileEntityWaterFilter                                                 | minecraft:pamwaterfilter                              |      yes |
| com.pam.harvestcraft.tileentities.TileEntityWaterTrap                                                   | minecraft:pamwatertrap                                |      yes |
| com.progwml6.natura.nether.block.furnace.tile.TileEntityNetherrackFurnace                               | minecraft:natura.netherrack_furnace                   |      yes |
| com.raptor.sdu.tileentity.TileEntityDrawersUnlimited$Slot1                                              | storagedrawersunlimited:basicdrawers.1                |        - |
| com.raptor.sdu.tileentity.TileEntityDrawersUnlimited$Slot2                                              | storagedrawersunlimited:basicdrawers.2                |        - |
| com.raptor.sdu.tileentity.TileEntityDrawersUnlimited$Slot4                                              | storagedrawersunlimited:basicdrawers.4                |        - |
| com.teammetallurgy.atum.blocks.beacon.tileentity.TileEntityHeartOfRa                                    | atum:heart_of_ra                                      |        - |
| com.teammetallurgy.atum.blocks.beacon.tileentity.TileEntityRadiantBeacon                                | atum:radiant_beacon                                   |      yes |
| com.teammetallurgy.atum.blocks.machines.tileentity.TileEntityKiln                                       | atum:kiln                                             |      yes |
| com.teammetallurgy.atum.blocks.machines.tileentity.TileEntityQuern                                      | atum:quern                                            |      yes |
| com.teammetallurgy.atum.blocks.machines.tileentity.TileEntitySpinningWheel                              | atum:spinning_wheel                                   |        - |
| com.teammetallurgy.atum.blocks.stone.limestone.chest.tileentity.TileEntityChestSpawner                  | atum:cursed_chest                                     |      yes |
| com.teammetallurgy.atum.blocks.stone.limestone.chest.tileentity.TileEntityLimestoneChest                | atum:limestone_chest                                  |      yes |
| com.teammetallurgy.atum.blocks.stone.limestone.chest.tileentity.TileEntitySarcophagus                   | atum:sarcophagus                                      |      yes |
| com.teammetallurgy.atum.blocks.stone.limestone.tileentity.furnace.TileEntityLimestoneFurnace            | atum:limestone_furnace                                |      yes |
| com.teammetallurgy.atum.blocks.trap.tileentity.TileEntityArrowTrap                                      | atum:arrow_trap                                       |      yes |
| com.teammetallurgy.atum.blocks.trap.tileentity.TileEntityBurningTrap                                    | atum:burning_trap                                     |      yes |
| com.teammetallurgy.atum.blocks.trap.tileentity.TileEntityPoisonTrap                                     | atum:poison_trap                                      |      yes |
| com.teammetallurgy.atum.blocks.trap.tileentity.TileEntitySmokeTrap                                      | atum:smoke_trap                                       |      yes |
| com.teammetallurgy.atum.blocks.trap.tileentity.TileEntityTarTrap                                        | atum:tar_trap                                         |      yes |
| com.teammetallurgy.atum.blocks.wood.tileentity.crate.TileEntityCrate                                    | atum:crate                                            |      yes |
| cpw.mods.ironchest.common.tileentity.chest.TileEntityCopperChest                                        | minecraft:ironchest.copper                            |      yes |
| cpw.mods.ironchest.common.tileentity.chest.TileEntityCrystalChest                                       | minecraft:ironchest.crystal                           |      yes |
| cpw.mods.ironchest.common.tileentity.chest.TileEntityDiamondChest                                       | minecraft:ironchest.diamond                           |      yes |
| cpw.mods.ironchest.common.tileentity.chest.TileEntityDirtChest                                          | minecraft:ironchest.dirtchest9000                     |      yes |
| cpw.mods.ironchest.common.tileentity.chest.TileEntityGoldChest                                          | minecraft:ironchest.gold                              |      yes |
| cpw.mods.ironchest.common.tileentity.chest.TileEntityIronChest                                          | minecraft:ironchest.iron                              |      yes |
| cpw.mods.ironchest.common.tileentity.chest.TileEntityObsidianChest                                      | minecraft:ironchest.obsidian                          |      yes |
| cpw.mods.ironchest.common.tileentity.chest.TileEntitySilverChest                                        | minecraft:ironchest.silver                            |      yes |
| cpw.mods.ironchest.common.tileentity.shulker.TileEntityCopperShulkerBox                                 | minecraft:ironshulkerbox.copper                       |      yes |
| cpw.mods.ironchest.common.tileentity.shulker.TileEntityCrystalShulkerBox                                | minecraft:ironshulkerbox.crystal                      |      yes |
| cpw.mods.ironchest.common.tileentity.shulker.TileEntityDiamondShulkerBox                                | minecraft:ironshulkerbox.diamond                      |      yes |
| cpw.mods.ironchest.common.tileentity.shulker.TileEntityGoldShulkerBox                                   | minecraft:ironshulkerbox.gold                         |      yes |
| cpw.mods.ironchest.common.tileentity.shulker.TileEntityIronShulkerBox                                   | minecraft:ironshulkerbox.iron                         |      yes |
| cpw.mods.ironchest.common.tileentity.shulker.TileEntityObsidianShulkerBox                               | minecraft:ironshulkerbox.obsidian                     |      yes |
| cpw.mods.ironchest.common.tileentity.shulker.TileEntitySilverShulkerBox                                 | minecraft:ironshulkerbox.silver                       |      yes |
| crazypants.enderio.base.block.painted.TileEntityPaintedBlock                                            | enderio:tile_entity_painted_block                     |      yes |
| crazypants.enderio.base.block.painted.TileEntityTwicePaintedBlock                                       | enderio:tile_entity_twice_painted_block               |      yes |
| crazypants.enderio.base.block.painted.TilePaintedPressurePlate                                          | enderio:tile_painted_pressure_plate                   |      yes |
| crazypants.enderio.base.block.skull.TileEndermanSkull                                                   | enderio:tile_enderman_skull                           |      yes |
| crazypants.enderio.conduits.conduit.TileConduitBundle                                                   | enderio:tile_conduit_bundle                           |      yes |
| crazypants.enderio.invpanel.chest.TileInventoryChest$Big                                                | enderio:tile_inventory_chest_big                      |      yes |
| crazypants.enderio.invpanel.chest.TileInventoryChest$Enormous                                           | enderio:tile_inventory_chest_enormous                 |      yes |
| crazypants.enderio.invpanel.chest.TileInventoryChest$Huge                                               | enderio:tile_inventory_chest_huge                     |      yes |
| crazypants.enderio.invpanel.chest.TileInventoryChest$Large                                              | enderio:tile_inventory_chest_large                    |      yes |
| crazypants.enderio.invpanel.chest.TileInventoryChest$Medium                                             | enderio:tile_inventory_chest_medium                   |      yes |
| crazypants.enderio.invpanel.chest.TileInventoryChest$Small                                              | enderio:tile_inventory_chest_small                    |      yes |
| crazypants.enderio.invpanel.chest.TileInventoryChest$Tiny                                               | enderio:tile_inventory_chest_tiny                     |      yes |
| crazypants.enderio.invpanel.chest.TileInventoryChest$Warehouse                                          | enderio:tile_inventory_chest_warehouse                |      yes |
| crazypants.enderio.invpanel.chest.TileInventoryChest$Warehouse13                                        | enderio:tile_inventory_chest_warehouse13              |      yes |
| crazypants.enderio.invpanel.invpanel.TileInventoryPanel                                                 | enderio:tile_inventory_panel                          |      yes |
| crazypants.enderio.invpanel.sensor.TileInventoryPanelSensor                                             | enderio:tile_inventory_panel_sensor                   |      yes |
| crazypants.enderio.machines.machine.alloy.TileAlloySmelter                                              | enderio:tile_alloy_smelter                            |      yes |
| crazypants.enderio.machines.machine.alloy.TileAlloySmelter$Enhanced                                     | enderio:tile_alloy_smelter_enhanced                   |      yes |
| crazypants.enderio.machines.machine.alloy.TileAlloySmelter$Furnace                                      | enderio:tile_alloy_smelter_furnace                    |      yes |
| crazypants.enderio.machines.machine.alloy.TileAlloySmelter$Simple                                       | enderio:tile_alloy_smelter_simple                     |      yes |
| crazypants.enderio.machines.machine.buffer.TileBuffer                                                   | enderio:tile_buffer_abstract                          |      yes |
| crazypants.enderio.machines.machine.buffer.TileBuffer$TileBufferCreative                                | enderio:tile_buffer_creative                          |      yes |
| crazypants.enderio.machines.machine.buffer.TileBuffer$TileBufferItem                                    | enderio:tile_buffer_item                              |      yes |
| crazypants.enderio.machines.machine.buffer.TileBuffer$TileBufferOmni                                    | enderio:tile_buffer_omni                              |      yes |
| crazypants.enderio.machines.machine.buffer.TileBuffer$TileBufferPower                                   | enderio:tile_buffer_power                             |      yes |
| crazypants.enderio.machines.machine.crafter.TileCrafter                                                 | enderio:tile_crafter                                  |      yes |
| crazypants.enderio.machines.machine.crafter.TileCrafter$Simple                                          | enderio:tile_simple_crafter                           |      yes |
| crazypants.enderio.machines.machine.enchanter.TileEnchanter                                             | enderio:tile_enchanter                                |      yes |
| crazypants.enderio.machines.machine.farm.TileFarmStation                                                | enderio:tile_farm_station                             |      yes |
| crazypants.enderio.machines.machine.generator.combustion.TileCombustionGenerator                        | enderio:tile_combustion_generator                     |      yes |
| crazypants.enderio.machines.machine.generator.combustion.TileCombustionGenerator$Enhanced               | enderio:tile_combustion_generator_enhanced            |      yes |
| crazypants.enderio.machines.machine.generator.lava.TileLavaGenerator                                    | enderio:tile_lava_generator                           |      yes |
| crazypants.enderio.machines.machine.generator.stirling.TileStirlingGenerator                            | enderio:tile_stirling_generator                       |      yes |
| crazypants.enderio.machines.machine.generator.stirling.TileStirlingGenerator$Simple                     | enderio:tile_stirling_generator_simple                |      yes |
| crazypants.enderio.machines.machine.generator.zombie.TileZombieGenerator                                | enderio:tile_zombie_generator                         |      yes |
| crazypants.enderio.machines.machine.generator.zombie.TileZombieGenerator$TileEnderGenerator             | enderio:tile_ender_generator                          |      yes |
| crazypants.enderio.machines.machine.generator.zombie.TileZombieGenerator$TileFrankenZombieGenerator     | enderio:tile_franken_zombie_generator                 |      yes |
| crazypants.enderio.machines.machine.ihopper.TileImpulseHopper                                           | enderio:tile_impulse_hopper                           |      yes |
| crazypants.enderio.machines.machine.killera.TileKillerJoe                                               | enderio:tile_killer_joe                               |      yes |
| crazypants.enderio.machines.machine.light.TileElectricLight                                             | enderio:tile_electric_light                           |      yes |
| crazypants.enderio.machines.machine.light.TileLightNode                                                 | enderio:tile_light_node                               |      yes |
| crazypants.enderio.machines.machine.niard.TileNiard                                                     | enderio:tile_niard                                    |      yes |
| crazypants.enderio.machines.machine.obelisk.attractor.TileAttractor                                     | enderio:tile_attractor                                |      yes |
| crazypants.enderio.machines.machine.obelisk.aversion.TileAversionObelisk                                | enderio:tile_aversion_obelisk                         |      yes |
| crazypants.enderio.machines.machine.obelisk.inhibitor.TileInhibitorObelisk                              | enderio:tile_inhibitor_obelisk                        |      yes |
| crazypants.enderio.machines.machine.obelisk.relocator.TileRelocatorObelisk                              | enderio:tile_relocator_obelisk                        |      yes |
| crazypants.enderio.machines.machine.obelisk.weather.TileWeatherObelisk                                  | enderio:tile_weather_obelisk                          |      yes |
| crazypants.enderio.machines.machine.obelisk.xp.TileExperienceObelisk                                    | enderio:tile_experience_obelisk                       |      yes |
| crazypants.enderio.machines.machine.painter.TileEntityPainter                                           | enderio:tile_entity_painter                           |      yes |
| crazypants.enderio.machines.machine.reservoir.TileReservoirBase$TileOmniReservoir                       | enderio:tile_omni_reservoir                           |      yes |
| crazypants.enderio.machines.machine.reservoir.TileReservoirBase$TileReservoir                           | enderio:tile_reservoir                                |      yes |
| crazypants.enderio.machines.machine.sagmill.TileSagMill$Enhanced                                        | enderio:tile_sag_mill_enhanced                        |      yes |
| crazypants.enderio.machines.machine.sagmill.TileSagMill$Normal                                          | enderio:tile_sag_mill                                 |      yes |
| crazypants.enderio.machines.machine.sagmill.TileSagMill$Simple                                          | enderio:tile_sag_mill_simple                          |      yes |
| crazypants.enderio.machines.machine.slicensplice.TileSliceAndSplice                                     | enderio:tile_slice_and_splice                         |      yes |
| crazypants.enderio.machines.machine.solar.TileSolarPanel                                                | enderio:tile_solar_panel                              |      yes |
| crazypants.enderio.machines.machine.soul.TileSoulBinder                                                 | enderio:tile_soul_binder                              |      yes |
| crazypants.enderio.machines.machine.spawner.TilePoweredSpawner                                          | enderio:tile_powered_spawner                          |      yes |
| crazypants.enderio.machines.machine.spawner.creative.TileCreativeSpawner                                | enderio:tile_creative_spawner                         |      yes |
| crazypants.enderio.machines.machine.tank.TileTank                                                       | enderio:tile_tank                                     |      yes |
| crazypants.enderio.machines.machine.teleport.anchor.TileTravelAnchor                                    | enderio:tile_travel_anchor                            |      yes |
| crazypants.enderio.machines.machine.teleport.telepad.TileDialingDevice                                  | enderio:tile_dialing_device                           |      yes |
| crazypants.enderio.machines.machine.teleport.telepad.TileTelePad                                        | enderio:tile_tele_pad                                 |      yes |
| crazypants.enderio.machines.machine.transceiver.TileTransceiver                                         | enderio:tile_transceiver                              |      yes |
| crazypants.enderio.machines.machine.vacuum.chest.TileVacuumChest                                        | enderio:tile_vacuum_chest                             |      yes |
| crazypants.enderio.machines.machine.vacuum.xp.TileXPVacuum                                              | enderio:tile_x_p_vacuum                               |      yes |
| crazypants.enderio.machines.machine.vat.TileVat                                                         | enderio:tile_vat                                      |      yes |
| crazypants.enderio.machines.machine.vat.TileVat$Enhanced                                                | enderio:tile_vat_enhanced                             |      yes |
| crazypants.enderio.machines.machine.wired.TileWiredCharger                                              | enderio:tile_wired_charger                            |      yes |
| crazypants.enderio.machines.machine.wired.TileWiredCharger$Enhanced                                     | enderio:tile_wired_charger_enhanced                   |      yes |
| crazypants.enderio.machines.machine.wired.TileWiredCharger$Simple                                       | enderio:tile_wired_charger_simple                     |      yes |
| crazypants.enderio.machines.machine.wireless.TileWirelessCharger                                        | enderio:tile_wireless_charger                         |      yes |
| crazypants.enderio.powertools.machine.capbank.TileCapBank                                               | enderio:tile_cap_bank                                 |      yes |
| crazypants.enderio.powertools.machine.gauge.TileGauge                                                   | enderio:tile_gauge                                    |      yes |
| crazypants.enderio.powertools.machine.monitor.TilePowerMonitor                                          | enderio:tile_power_monitor                            |      yes |
| de.johni0702.minecraft.betterportals.impl.mekanism.common.tile.TileEntityBetterTeleporter               | mekanism:mekanism_teleporter                          |      yes |
| de.johni0702.minecraft.betterportals.impl.vanilla.common.blocks.TileEntityBetterEndPortal               | minecraft:end_portal                                  |        - |
