+----------------------------+-------------------------------------------------+---------+----------+----------+-------------------------------------+--------+------------+-------------------------------------------------------------+
| *** WARNING ***                                                                                                                                                                                                                        |
| The block and item IDs are dynamic and will be different on each world!                                                                                                                                                                |
| DO NOT use them for anything "proper"!! (other than manual editing/fixing of raw world data or something)                                                                                                                              |
| *** ALSO ***                                                                                                                                                                                                                           |
| The server doesn't have a list of sub block and sub items                                                                                                                                                                              |
| (= items with different damage value or blocks with different metadata).                                                                                                                                                               |
| That is why the block and item list dumps only contain one entry per block/item class (separate ID) when run on a server.                                                                                                              |
+----------------------------+-------------------------------------------------+---------+----------+----------+-------------------------------------+--------+------------+-------------------------------------------------------------+
| Mod name                   | Registry name                                   | Item ID | Meta/dmg | Subtypes | Display name                        | Hunger | Saturation | Ore Dict keys                                               |
| Galacticraft Core          | galacticraftcore:food                           |    6835 |        6 |     true | Ground Beef (Raw)                   |      2 |        0.3 |                                                             |
| Galacticraft Core          | galacticraftcore:food                           |    6835 |        7 |     true | Beef Patty (Cooked)                 |      4 |        0.6 |                                                             |
| Galacticraft Core          | galacticraftcore:food                           |    6835 |        8 |     true | Cheeseburger                        |     14 |        1.0 |                                                             |
| Galacticraft Core          | galacticraftcore:food                           |    6835 |        9 |     true | Canned Beef                         |      8 |        0.6 |                                                             |
| Growthcraft Apples         | growthcraft_apples:applecider                   |    7810 |        0 |     true | Apple Juice                         |      1 |        0.3 | foodApplejuice                                              |
| Growthcraft Apples         | growthcraft_apples:applecider                   |    7810 |        1 |     true | Apple Cider                         |      1 |       -0.3 |                                                             |
| Growthcraft Apples         | growthcraft_apples:applecider                   |    7810 |        2 |     true | Apple Cider                         |      1 |       -0.3 |                                                             |
| Growthcraft Apples         | growthcraft_apples:applecider                   |    7810 |        3 |     true | Apple Cider                         |      1 |       -0.3 |                                                             |
| Growthcraft Apples         | growthcraft_apples:applecider                   |    7810 |        4 |     true | Silken Nectar                       |      1 |       -0.3 |                                                             |
| Growthcraft Apples         | growthcraft_apples:applecider                   |    7810 |        5 |     true | Apple Cider                         |      1 |       -0.3 |                                                             |
| Growthcraft Apples         | growthcraft_apples:applecider                   |    7810 |        6 |     true | Apple Cider                         |      1 |       -0.3 |                                                             |
| Growthcraft Apples         | growthcraft_apples:applecider                   |    7810 |        7 |     true | Apple Cider                         |      1 |       -0.3 |                                                             |
| Growthcraft Bees           | growthcraft_bees:bottlefluid_honey              |    7856 |        0 |    false | Honey Bottle                        |      2 |        0.2 | bottleHoney                                                 |
| Growthcraft Bees           | growthcraft_bees:honey_jar                      |    7850 |        0 |    false | Honey Jar                           |      6 |        0.6 | dropHoney,honeyDrop,jarHoney                                |
| Growthcraft Bees           | growthcraft_bees:mead                           |    7853 |        0 |     true | Mead Must                           |      1 |       0.45 |                                                             |
| Growthcraft Bees           | growthcraft_bees:mead                           |    7853 |        1 |     true | Mead                                |      1 |      -0.45 |                                                             |
| Growthcraft Bees           | growthcraft_bees:mead                           |    7853 |        2 |     true | Potent Mead                         |      1 |      -0.45 |                                                             |
| Growthcraft Bees           | growthcraft_bees:mead                           |    7853 |        3 |     true | Extended Mead                       |      1 |      -0.45 |                                                             |
| Growthcraft Bees           | growthcraft_bees:mead                           |    7853 |        4 |     true | Magical Mead                        |      1 |      -0.45 |                                                             |
| Growthcraft Bees           | growthcraft_bees:mead                           |    7853 |        5 |     true | Intoxicated Mead                    |      1 |      -0.45 |                                                             |
| Growthcraft Bees           | growthcraft_bees:mead                           |    7853 |        6 |     true | Mead                                |      1 |      -0.45 |                                                             |
| Growthcraft Bees           | growthcraft_bees:mead                           |    7853 |        7 |     true | Hyper-Extended Mead                 |      1 |      -0.45 |                                                             |
| Growthcraft Bees           | growthcraft_bees:mead                           |    7853 |        8 |     true | Potent-Extended Mead                |      1 |      -0.45 |                                                             |
| Growthcraft Grapes         | growthcraft_grapes:grape                        |    7833 |       10 |     true | Purple Grapes                       |      1 |        1.0 | foodFruit,foodGrapesPurple                                  |
| Growthcraft Grapes         | growthcraft_grapes:grape                        |    7833 |       13 |     true | Green Grapes                        |      1 |        1.0 | foodFruit,foodGrapesGreen                                   |
| Growthcraft Grapes         | growthcraft_grapes:grape                        |    7833 |       14 |     true | Red Grapes                          |      1 |        1.0 | foodFruit,foodGrapesRed                                     |
| Growthcraft Grapes         | growthcraft_grapes:grapewine                    |    7835 |        0 |     true | Purple Grape Juice                  |      1 |        0.3 | foodGrapejuice                                              |
| Growthcraft Grapes         | growthcraft_grapes:grapewine                    |    7835 |        1 |     true | Purple Grape Wine                   |      1 |       -0.3 |                                                             |
| Growthcraft Grapes         | growthcraft_grapes:grapewine                    |    7835 |        2 |     true | Purple Grape Wine Potent            |      1 |       -0.3 |                                                             |
| Growthcraft Grapes         | growthcraft_grapes:grapewine                    |    7835 |        3 |     true | Purple Grape Wine Extended          |      1 |       -0.3 |                                                             |
| Growthcraft Grapes         | growthcraft_grapes:grapewine                    |    7835 |        4 |     true | Purple Ambrosia                     |      1 |       -0.3 |                                                             |
| Growthcraft Grapes         | growthcraft_grapes:grapewine                    |    7835 |        5 |     true | Purple Port Wine                    |      1 |       -0.3 |                                                             |
| Growthcraft Grapes         | growthcraft_grapes:grapewine                    |    7835 |        6 |     true | Purple Grape Wine                   |      1 |       -0.3 |                                                             |
| Growthcraft Grapes         | growthcraft_grapes:grapewine                    |    7835 |        7 |     true | Purple Grape Wine                   |      1 |       -0.3 |                                                             |
| Growthcraft Grapes         | growthcraft_grapes:grapewine                    |    7835 |        8 |     true | Green Grape Juice                   |      1 |        0.3 |                                                             |
| Growthcraft Grapes         | growthcraft_grapes:grapewine                    |    7835 |        9 |     true | Green Grape Wine                    |      1 |       -0.3 |                                                             |
| Growthcraft Grapes         | growthcraft_grapes:grapewine                    |    7835 |       10 |     true | Green Grape Wine Potent             |      1 |       -0.3 |                                                             |
| Growthcraft Grapes         | growthcraft_grapes:grapewine                    |    7835 |       11 |     true | Green Grape Wine Extended           |      1 |       -0.3 |                                                             |
| Growthcraft Grapes         | growthcraft_grapes:grapewine                    |    7835 |       12 |     true | Green Ambrosia                      |      1 |       -0.3 |                                                             |
| Growthcraft Grapes         | growthcraft_grapes:grapewine                    |    7835 |       13 |     true | Green Port Wine                     |      1 |       -0.3 |                                                             |
| Growthcraft Grapes         | growthcraft_grapes:grapewine                    |    7835 |       14 |     true | Green Grape Wine                    |      1 |       -0.3 |                                                             |
| Growthcraft Grapes         | growthcraft_grapes:grapewine                    |    7835 |       15 |     true | Green Grape Wine                    |      1 |       -0.3 |                                                             |
| Growthcraft Grapes         | growthcraft_grapes:grapewine                    |    7835 |       16 |     true | Red Grape Juice                     |      1 |        0.3 |                                                             |
| Growthcraft Grapes         | growthcraft_grapes:grapewine                    |    7835 |       17 |     true | Red Grape Wine                      |      1 |       -0.3 |                                                             |
| Growthcraft Grapes         | growthcraft_grapes:grapewine                    |    7835 |       18 |     true | Red Grape Wine Potent               |      1 |       -0.3 |                                                             |
| Growthcraft Grapes         | growthcraft_grapes:grapewine                    |    7835 |       19 |     true | Red Grape Wine Extended             |      1 |       -0.3 |                                                             |
| Growthcraft Grapes         | growthcraft_grapes:grapewine                    |    7835 |       20 |     true | Red Ambrosia                        |      1 |       -0.3 |                                                             |
| Growthcraft Grapes         | growthcraft_grapes:grapewine                    |    7835 |       21 |     true | Red Port Wine                       |      1 |       -0.3 |                                                             |
| Growthcraft Grapes         | growthcraft_grapes:grapewine                    |    7835 |       22 |     true | Red Grape Wine                      |      1 |       -0.3 |                                                             |
| Growthcraft Grapes         | growthcraft_grapes:grapewine                    |    7835 |       23 |     true | Red Grape Wine                      |      1 |       -0.3 |                                                             |
| Growthcraft Hops           | growthcraft_hops:hopale                         |    7865 |        0 |     true | Ale Wort                            |      1 |        0.3 |                                                             |
| Growthcraft Hops           | growthcraft_hops:hopale                         |    7865 |        1 |     true | Ale                                 |      1 |       -0.6 |                                                             |
| Growthcraft Hops           | growthcraft_hops:hopale                         |    7865 |        2 |     true | Ale                                 |      1 |       -0.6 |                                                             |
| Growthcraft Hops           | growthcraft_hops:hopale                         |    7865 |        3 |     true | Ale                                 |      1 |       -0.6 |                                                             |
| Growthcraft Hops           | growthcraft_hops:hopale                         |    7865 |        4 |     true | Ale Wort                            |      1 |        0.3 |                                                             |
| Growthcraft Hops           | growthcraft_hops:hopale                         |    7865 |        5 |     true | Ale                                 |      1 |       -0.6 |                                                             |
| Growthcraft Hops           | growthcraft_hops:hopale                         |    7865 |        6 |     true | Ale                                 |      1 |       -0.6 |                                                             |
| Growthcraft Hops           | growthcraft_hops:hopale                         |    7865 |        7 |     true | Ale                                 |      1 |       -0.6 |                                                             |
| Growthcraft Hops           | growthcraft_hops:hopale                         |    7865 |        8 |     true | Ale                                 |      1 |       -0.6 |                                                             |
| Growthcraft Hops           | growthcraft_hops:lager                          |    7864 |        0 |     true | Lager Wort                          |      1 |        0.3 |                                                             |
| Growthcraft Hops           | growthcraft_hops:lager                          |    7864 |        1 |     true | Lager                               |      1 |       -0.6 |                                                             |
| Growthcraft Hops           | growthcraft_hops:lager                          |    7864 |        2 |     true | Lager                               |      1 |       -0.6 |                                                             |
| Growthcraft Hops           | growthcraft_hops:lager                          |    7864 |        3 |     true | Lager                               |      1 |       -0.6 |                                                             |
| Growthcraft Hops           | growthcraft_hops:lager                          |    7864 |        4 |     true | Lager                               |      1 |       -0.6 |                                                             |
| Growthcraft Hops           | growthcraft_hops:lager                          |    7864 |        5 |     true | Lager                               |      1 |       -0.6 |                                                             |
| Growthcraft Hops           | growthcraft_hops:lager                          |    7864 |        6 |     true | Lager                               |      1 |       -0.6 |                                                             |
| Growthcraft Hops           | growthcraft_hops:lager                          |    7864 |        7 |     true | Lager                               |      1 |       -0.6 |                                                             |
| Growthcraft Hops           | growthcraft_hops:lager                          |    7864 |        8 |     true | Lager                               |      1 |       -0.6 |                                                             |
| Growthcraft Milk           | growthcraft_milk:bottlefluid_butter_milk        |    7889 |        0 |    false | Butter Milk Bottle                  |      6 |        0.4 | bottleButtermilk                                            |
| Growthcraft Milk           | growthcraft_milk:bottlefluid_milk               |    7888 |        0 |    false | Milk Bottle                         |      4 |        0.3 | bottleMilk                                                  |
| Growthcraft Milk           | growthcraft_milk:bottlefluid_skim_milk          |    7893 |        0 |    false | Skim Milk Bottle                    |      2 |        0.2 | bottleSkimmilk                                              |
| Growthcraft Milk           | growthcraft_milk:bottlefluid_whey               |    7894 |        0 |    false | Whey Bottle                         |      1 |        0.1 | bottleWhey,foodStock                                        |
| Growthcraft Milk           | growthcraft_milk:butter                         |    7871 |        0 |     true | Butter                              |      2 |        0.3 | foodButter                                                  |
| Growthcraft Milk           | growthcraft_milk:butter                         |    7871 |        1 |     true | Salted Butter                       |      2 |        0.3 | foodButter                                                  |
| Growthcraft Milk           | growthcraft_milk:cheese_aged_slice              |    7875 |        0 |     true | Gorgonzola Cheese Slice             |      3 |        0.3 | foodCheese                                                  |
| Growthcraft Milk           | growthcraft_milk:cheese_aged_slice              |    7875 |        1 |     true | Emmentaler Cheese Slice             |      3 |        0.3 | foodCheese                                                  |
| Growthcraft Milk           | growthcraft_milk:cheese_aged_slice              |    7875 |        2 |     true | Appenzeller Cheese Slice            |      3 |        0.3 | foodCheese                                                  |
| Growthcraft Milk           | growthcraft_milk:cheese_aged_slice              |    7875 |        3 |     true | Asiago Cheese Slice                 |      3 |        0.3 | foodCheese                                                  |
| Growthcraft Milk           | growthcraft_milk:cheese_aged_slice              |    7875 |        4 |     true | Parmesan Cheese Slice               |      3 |        0.3 | foodCheese                                                  |
| Growthcraft Milk           | growthcraft_milk:cheese_aged_slice              |    7875 |        5 |     true | Casu Marzu Cheese Slice             |      3 |        0.3 | foodCheese                                                  |
| Growthcraft Milk           | growthcraft_milk:cheese_simple_slice            |    7877 |        0 |     true | Ricotta Cheese                      |      2 |        0.3 | foodCheese                                                  |
| Growthcraft Milk           | growthcraft_milk:cheese_waxed_slice             |    7876 |        0 |     true | Cheddar Cheese Slice                |      4 |        0.3 | foodCheese                                                  |
| Growthcraft Milk           | growthcraft_milk:cheese_waxed_slice             |    7876 |        1 |     true | Monterey Cheese Slice               |      4 |        0.3 | foodCheese                                                  |
| Growthcraft Milk           | growthcraft_milk:cheese_waxed_slice             |    7876 |        2 |     true | Gouda Cheese Slice                  |      4 |        0.3 | foodCheese                                                  |
| Growthcraft Milk           | growthcraft_milk:cheese_waxed_slice             |    7876 |        3 |     true | Provolone Cheese Slice              |      4 |        0.3 | foodCheese                                                  |
| Growthcraft Milk           | growthcraft_milk:ice_cream                      |    7872 |        0 |     true | Ice Cream                           |      2 |        0.3 | foodIceCream                                                |
| Growthcraft Milk           | growthcraft_milk:ice_cream                      |    7872 |        1 |     true | Chocolate Ice Cream                 |      2 |        0.3 | foodIceCream                                                |
| Growthcraft Milk           | growthcraft_milk:ice_cream                      |    7872 |        2 |     true | Purple Grape Ice Cream              |      2 |        0.3 | foodIceCream                                                |
| Growthcraft Milk           | growthcraft_milk:ice_cream                      |    7872 |        3 |     true | Apple Ice Cream                     |      2 |        0.3 | foodIceCream                                                |
| Growthcraft Milk           | growthcraft_milk:ice_cream                      |    7872 |        4 |     true | Honey Ice Cream                     |      2 |        0.3 | foodIceCream                                                |
| Growthcraft Milk           | growthcraft_milk:ice_cream                      |    7872 |        5 |     true | Watermelon Ice Cream                |      2 |        0.3 | foodIceCream                                                |
| Growthcraft Milk           | growthcraft_milk:kumisbottle                    |    7883 |        0 |     true | Kumis Fermented                     |      1 |       -0.3 |                                                             |
| Growthcraft Milk           | growthcraft_milk:kumisbottle                    |    7883 |        1 |     true | Kumis Potent                        |      1 |       -0.3 |                                                             |
| Growthcraft Milk           | growthcraft_milk:kumisbottle                    |    7883 |        2 |     true | Kumis Extended                      |      1 |       -0.3 |                                                             |
| Growthcraft Milk           | growthcraft_milk:kumisbottle                    |    7883 |        3 |     true | Kumis Hyper-Extended                |      1 |       -0.3 |                                                             |
| Growthcraft Milk           | growthcraft_milk:kumisbottle                    |    7883 |        4 |     true | Kumis Potent Extended               |      1 |       -0.3 |                                                             |
| Growthcraft Milk           | growthcraft_milk:kumisbottle                    |    7883 |        5 |     true | Kumis Potent Hyper-Extended         |      1 |       -0.3 |                                                             |
| Growthcraft Milk           | growthcraft_milk:kumisbottle                    |    7883 |        6 |     true | Kumis                               |      1 |       -0.3 |                                                             |
| Growthcraft Milk           | growthcraft_milk:yogurt                         |    7873 |        0 |     true | Yogurt                              |      2 |        0.3 | foodYogurt                                                  |
| Growthcraft Milk           | growthcraft_milk:yogurt                         |    7873 |        1 |     true | Chocolate Yogurt                    |      2 |        0.3 |                                                             |
| Growthcraft Milk           | growthcraft_milk:yogurt                         |    7873 |        2 |     true | Purple Grape Yogurt                 |      2 |        0.3 |                                                             |
| Growthcraft Milk           | growthcraft_milk:yogurt                         |    7873 |        3 |     true | Apple Yogurt                        |      2 |        0.3 |                                                             |
