+----------------------------------------+----+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Registry name                          | ID | Effects                                                                                                                                                                                |
| netherex:frigid_health                 | 65 | PotionEffect:{Potion:[reg:netherex:frostbitten,name:mob_effect.netherex:frostbitten,isBad:true,isBeneficial:false],amplifier:0,duration:600,isSplashPotion:false,isAmbient:false}      |
| netherex:sorrow                        | 67 | PotionEffect:{Potion:[reg:netherex:crying,name:mob_effect.netherex:crying,isBad:true,isBeneficial:false],amplifier:0,duration:600,isSplashPotion:false,isAmbient:false}                |
| quark:danger_sight                     | 53 | PotionEffect:{Potion:[reg:quark:danger_sight,name:quark.potion.danger_sight.name,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}        |
| quark:haste                            | 44 | PotionEffect:{Potion:[reg:minecraft:haste,name:effect.digSpeed,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                          |
| quark:long_danger_sight                | 54 | PotionEffect:{Potion:[reg:quark:danger_sight,name:quark.potion.danger_sight.name,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}        |
| quark:long_haste                       | 45 | PotionEffect:{Potion:[reg:minecraft:haste,name:effect.digSpeed,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                          |
| quark:long_mining_fatigue              | 48 | PotionEffect:{Potion:[reg:minecraft:mining_fatigue,name:effect.digSlowDown,isBad:true,isBeneficial:false],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}              |
| quark:long_resistance                  | 51 | PotionEffect:{Potion:[reg:minecraft:resistance,name:effect.resistance,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                   |
| quark:mining_fatigue                   | 47 | PotionEffect:{Potion:[reg:minecraft:mining_fatigue,name:effect.digSlowDown,isBad:true,isBeneficial:false],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}              |
| quark:resistance                       | 50 | PotionEffect:{Potion:[reg:minecraft:resistance,name:effect.resistance,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                   |
| quark:strong_haste                     | 46 | PotionEffect:{Potion:[reg:minecraft:haste,name:effect.digSpeed,isBad:false,isBeneficial:true],amplifier:1,duration:1800,isSplashPotion:false,isAmbient:false}                          |
| quark:strong_mining_fatigue            | 49 | PotionEffect:{Potion:[reg:minecraft:mining_fatigue,name:effect.digSlowDown,isBad:true,isBeneficial:false],amplifier:1,duration:1800,isSplashPotion:false,isAmbient:false}              |
| quark:strong_resistance                | 52 | PotionEffect:{Potion:[reg:minecraft:resistance,name:effect.resistance,isBad:false,isBeneficial:true],amplifier:1,duration:1800,isSplashPotion:false,isAmbient:false}                   |
| railcraft:creosote                     | 37 | PotionEffect:{Potion:[reg:railcraft:creosote,name:potion.railcraft.creosote,isBad:false,isBeneficial:false],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}            |
| railcraft:long_creosote                | 38 | PotionEffect:{Potion:[reg:railcraft:creosote,name:potion.railcraft.creosote,isBad:false,isBeneficial:false],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}            |
| railcraft:strong_creosote              | 39 | PotionEffect:{Potion:[reg:railcraft:creosote,name:potion.railcraft.creosote,isBad:false,isBeneficial:false],amplifier:1,duration:1800,isSplashPotion:false,isAmbient:false}            |
| tektopia:village_bless                 | 68 | PotionEffect:{Potion:[reg:tektopia:village_bless,name:effect.village_bless.name,isBad:false,isBeneficial:false],amplifier:0,duration:1,isSplashPotion:false,isAmbient:false}           |
| toughasnails:cold_resistance_type      | 40 | PotionEffect:{Potion:[reg:toughasnails:cold_resistance,name:potion.cold_resistance,isBad:false,isBeneficial:true],amplifier:0,duration:1200,isSplashPotion:false,isAmbient:false}      |
| toughasnails:heat_resistance_type      | 42 | PotionEffect:{Potion:[reg:toughasnails:heat_resistance,name:potion.heat_resistance,isBad:false,isBeneficial:true],amplifier:0,duration:1200,isSplashPotion:false,isAmbient:false}      |
| toughasnails:long_cold_resistance_type | 41 | PotionEffect:{Potion:[reg:toughasnails:cold_resistance,name:potion.cold_resistance,isBad:false,isBeneficial:true],amplifier:0,duration:2400,isSplashPotion:false,isAmbient:false}      |
| toughasnails:long_heat_resistance_type | 43 | PotionEffect:{Potion:[reg:toughasnails:heat_resistance,name:potion.heat_resistance,isBad:false,isBeneficial:true],amplifier:0,duration:2400,isSplashPotion:false,isAmbient:false}      |
+----------------------------------------+----+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Registry name                          | ID | Effects                                                                                                                                                                                |
+----------------------------------------+----+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
