+----------------------------------------------+---------+-------------+-----------+------------+----------+-----------+----------------------------------------------------------------+
| Name                                         | Density | Temperature | Viscosity | Luminosity | Rarity   | isGaseous | Block                                                          |
| fluid_booze_lager_extended                   |    1080 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_hops:fluid_lagerbooze_extended                     |
| fluid_booze_lager_hyperextended              |    1080 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_hops:fluid_lagerbooze_hyperextended                |
| fluid_booze_lager_intoxicated                |    1080 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_hops:fluid_lagerbooze_intoxicated                  |
| fluid_booze_lager_magical                    |    1080 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_hops:fluid_lagerbooze_magical                      |
| fluid_booze_lager_normal                     |    1080 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_hops:fluid_lagerbooze_normal                       |
| fluid_booze_lager_poisoned                   |    1080 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_hops:fluid_lagerbooze_poisoned                     |
| fluid_booze_lager_potent                     |    1080 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_hops:fluid_lagerbooze_potent                       |
| fluid_booze_lager_potentextended             |    1080 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_hops:fluid_lagerbooze_potentextended               |
| fluid_booze_lager_young                      |    1080 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_hops:fluid_lagerbooze_young                        |
| fluid_booze_mead_ethereal                    |    1000 |         300 |      1200 |          0 | COMMON   |     false | growthcraft_bees:fluid_mead_mead_ethereal                      |
| fluid_booze_mead_extended                    |    1000 |         300 |      1200 |          0 | COMMON   |     false | growthcraft_bees:fluid_mead_mead_extended                      |
| fluid_booze_mead_fermented                   |    1000 |         300 |      1200 |          0 | COMMON   |     false | growthcraft_bees:fluid_mead_mead_fermented                     |
| fluid_booze_mead_hyperextended               |    1000 |         300 |      1200 |          0 | COMMON   |     false | growthcraft_bees:fluid_mead_mead_hyperextended                 |
| fluid_booze_mead_intoxicated                 |    1000 |         300 |      1200 |          0 | COMMON   |     false | growthcraft_bees:fluid_mead_mead_intoxicated                   |
| fluid_booze_mead_poisoned                    |    1000 |         300 |      1200 |          0 | COMMON   |     false | growthcraft_bees:fluid_mead_mead_poisoned                      |
| fluid_booze_mead_potent                      |    1000 |         300 |      1200 |          0 | COMMON   |     false | growthcraft_bees:fluid_mead_mead_potent                        |
| fluid_booze_mead_potentextended              |    1000 |         300 |      1200 |          0 | COMMON   |     false | growthcraft_bees:fluid_mead_mead_potentextended                |
| fluid_booze_mead_young                       |    1000 |         300 |      1200 |          0 | COMMON   |     false | growthcraft_bees:fluid_mead_mead_young                         |
| fluid_booze_purple_ambrosia                  |    1120 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_grapes:fluid_grapebooze_purple_ambrosia            |
| fluid_booze_purple_juice                     |    1120 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_grapes:fluid_grapebooze_purple_juice               |
| fluid_booze_purple_portwine                  |    1120 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_grapes:fluid_grapebooze_purple_portwine            |
| fluid_booze_purple_wine                      |    1120 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_grapes:fluid_grapebooze_purple_wine                |
| fluid_booze_purple_wine_extended             |    1120 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_grapes:fluid_grapebooze_purple_wine_extended       |
| fluid_booze_purple_wine_intoxicated          |    1120 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_grapes:fluid_grapebooze_purple_wine_intoxicated    |
| fluid_booze_purple_wine_poisoned             |    1120 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_grapes:fluid_grapebooze_purple_wine_poisoned       |
| fluid_booze_purple_wine_potent               |    1120 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_grapes:fluid_grapebooze_purple_wine_potent         |
| fluid_booze_red_ambrosia                     |    1120 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_grapes:fluid_grapebooze_red_ambrosia               |
| fluid_booze_red_juice                        |    1120 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_grapes:fluid_grapebooze_red_juice                  |
| fluid_booze_red_portwine                     |    1120 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_grapes:fluid_grapebooze_red_portwine               |
| fluid_booze_red_wine                         |    1120 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_grapes:fluid_grapebooze_red_wine                   |
| fluid_booze_red_wine_extended                |    1120 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_grapes:fluid_grapebooze_red_wine_extended          |
| fluid_booze_red_wine_intoxicated             |    1120 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_grapes:fluid_grapebooze_red_wine_intoxicated       |
| fluid_booze_red_wine_poisoned                |    1120 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_grapes:fluid_grapebooze_red_wine_poisoned          |
| fluid_booze_red_wine_potent                  |    1120 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_grapes:fluid_grapebooze_red_wine_potent            |
| fluid_booze_sake_extended                    |    1120 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_rice:fluid_sakebooze_sake_extended                 |
| fluid_booze_sake_fermented                   |    1120 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_rice:fluid_sakebooze_sake_fermented                |
| fluid_booze_sake_hyperextended               |    1120 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_rice:fluid_sakebooze_sake_hyperextended            |
| fluid_booze_sake_magical                     |    1000 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_rice:fluid_sakebooze_sake_magical                  |
| fluid_booze_sake_mash                        |    1120 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_rice:fluid_sakebooze_sake_mash                     |
| fluid_booze_sake_poisoned                    |    1120 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_rice:fluid_sakebooze_sake_poisoned                 |
| fluid_booze_sake_potent                      |    1120 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_rice:fluid_sakebooze_sake_potent                   |
| fluid_booze_sake_potent_extended             |    1000 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_rice:fluid_sakebooze_sake_potent_extended          |
| fluid_booze_sake_potent_hyperextended        |    1000 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_rice:fluid_sakebooze_sake_potent_hyperextended     |
| fluid_booze_sake_water                       |    1000 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_rice:fluid_sakebooze_sake_water                    |
| fluid_butter_milk                            |    1000 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_milk:fluid_butter_milk                             |
| fluid_cheese_appenzeller                     |    1000 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_milk:fluid_cheese_appenzeller                      |
| fluid_cheese_asiago                          |    1000 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_milk:fluid_cheese_asiago                           |
| fluid_cheese_casu_marzu                      |    1000 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_milk:fluid_cheese_casu_marzu                       |
| fluid_cheese_cheddar                         |    1000 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_milk:fluid_cheese_cheddar                          |
| fluid_cheese_emmentaler                      |    1000 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_milk:fluid_cheese_emmentaler                       |
| fluid_cheese_gorgonzola                      |    1000 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_milk:fluid_cheese_gorgonzola                       |
| fluid_cheese_gouda                           |    1000 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_milk:fluid_cheese_gouda                            |
| fluid_cheese_monterey                        |    1000 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_milk:fluid_cheese_monterey                         |
| fluid_cheese_parmesan                        |    1000 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_milk:fluid_cheese_parmesan                         |
| fluid_cheese_provolone                       |    1000 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_milk:fluid_cheese_provolone                        |
| fluid_cheese_ricotta                         |    1000 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_milk:fluid_cheese_ricotta                          |
| fluid_condensed_milk                         |    1000 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_milk:fluid_condensed_milk                          |
| fluid_cream                                  |    1000 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_milk:fluid_cream                                   |
| fluid_honey                                  |    1420 |         300 |     73600 |          0 | COMMON   |     false | growthcraft_bees:fluid_honey                                   |
| fluid_milk                                   |    1030 |         300 |      3000 |          0 | COMMON   |     false | growthcraft_milk:fluid_milk                                    |
| fluid_milk_curds                             |    1000 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_milk:fluid_milk_curds                              |
| fluid_rennet                                 |    1000 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_milk:fluid_rennet                                  |
| fluid_skim_milk                              |    1000 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_milk:fluid_skim_milk                               |
| fluid_whey                                   |    1000 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_milk:fluid_whey                                    |
| frozen_water_fluid                           |     800 |         300 |      1500 |          0 | COMMON   |     false | extraplanets:frozen_water                                      |
| fuel                                         |     400 |         300 |       900 |          0 | COMMON   |     false | galacticraftcore:fuel                                          |
| fuelcolumn                                   |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                              |
| fuelgc                                       |     400 |         300 |       900 |          0 | COMMON   |     false | -                                                              |
| glass                                        |    2000 |         625 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_glass                                        |
| glowstone                                    |    -500 |        1773 |       100 |         15 | COMMON   |      true | enderio:block_fluid_glowstone                                  |
| glowstone_fluid                              |     800 |         300 |      1500 |          0 | COMMON   |     false | extraplanets:glowstone                                         |
| gold                                         |    2000 |         532 |     10000 |         10 | RARE     |     false | tconstruct:molten_gold                                         |
| heavywater                                   |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                              |
| helium                                       |       1 |         295 |         1 |          0 | COMMON   |      true | -                                                              |
| honey                                        |    1000 |         300 |      1500 |          0 | COMMON   |     false | biomesoplenty:honey                                            |
| hootch                                       |     900 |         300 |      1000 |          0 | COMMON   |     false | enderio:block_fluid_hootch                                     |
| hot_spring_water                             |    1000 |         300 |      1000 |          0 | COMMON   |     false | biomesoplenty:hot_spring_water                                 |
| hydrogen                                     |       1 |         295 |         1 |          0 | COMMON   |      true | -                                                              |
| ichor                                        |    1000 |         300 |      3500 |          0 | COMMON   |     false | netherex:ichor                                                 |
| infected_water_fluid                         |     800 |         300 |      1500 |          0 | COMMON   |     false | extraplanets:infected_water                                    |
| iron                                         |    2000 |         769 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_iron                                         |
| knightmetal                                  |    1000 |        1000 |      1000 |         15 | COMMON   |     false | twilightforest:molten_knightmetal                              |
| knightslime                                  |    2000 |         520 |     10000 |         10 | EPIC     |     false | tconstruct:molten_knightslime                                  |
| lava                                         |    3000 |        1300 |      6000 |         15 | COMMON   |     false | minecraft:lava                                                 |
| lead                                         |    2000 |         400 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_lead                                         |
| liquid_caramel_fluid                         |    1000 |         300 |       300 |          0 | COMMON   |     false | extraplanets:liquid_caramel                                    |
| liquid_chocolate_fluid                       |    1000 |         300 |       300 |          0 | COMMON   |     false | extraplanets:liquid_chocolate                                  |
| liquid_hydrocarbon_fluid                     |     800 |         300 |      1500 |          0 | COMMON   |     false | extraplanets:liquid_hydrocarbon                                |
| liquid_sunshine                              |     200 |         300 |       400 |          0 | COMMON   |     false | enderio:block_fluid_liquid_sunshine                            |
| liquidargon                                  |     900 |          87 |       100 |          0 | COMMON   |     false | -                                                              |
| liquidchlorine                               |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                              |
| liquiddeuterium                              |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                              |
| liquidethene                                 |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                              |
| liquidfusionfuel                             |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                              |
| liquidhydrogen                               |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                              |
| liquidhydrogenchloride                       |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                              |
| liquidlithium                                |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                              |
| liquidmethane                                |     450 |         109 |       120 |          0 | COMMON   |     false | -                                                              |
| liquidnitrogen                               |     808 |          90 |       130 |          0 | COMMON   |     false | -                                                              |
| liquidoxygen                                 |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                              |
| liquidsodium                                 |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                              |
| liquidsulfurdioxide                          |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                              |
| liquidsulfurtrioxide                         |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                              |
| liquidtritium                                |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                              |
| magma_fluid                                  |     800 |         300 |      1500 |          0 | COMMON   |     false | extraplanets:magma                                             |
| manyullyn                                    |    2000 |        1000 |     10000 |         10 | RARE     |     false | tconstruct:molten_manyullyn                                    |
| melodic_alloy                                |    9000 |        1213 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_melodic_alloy                              |
| methane                                      |       1 |         295 |        11 |          0 | COMMON   |      true | -                                                              |
| methane_fluid                                |     800 |         300 |      1500 |          0 | COMMON   |     false | extraplanets:methane                                           |
| milk                                         |    1000 |         320 |      1000 |          0 | COMMON   |     false | tconstruct:milk                                                |
| nickel                                       |    2000 |         727 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_nickel                                       |
| nitrogen                                     |       1 |         295 |        12 |          0 | COMMON   |      true | -                                                              |
| nitrogen_fluid                               |     800 |         300 |      1500 |          0 | COMMON   |     false | extraplanets:nitrogen                                          |
| nitrogen_ice_fluid                           |     800 |         300 |      1500 |          0 | COMMON   |     false | extraplanets:nitrogen_ice                                      |
| nutrient_distillation                        |    1500 |         300 |      3000 |          0 | COMMON   |     false | enderio:block_fluid_nutrient_distillation                      |
| obsidian                                     |    2000 |        1000 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_obsidian                                     |
| oil                                          |     800 |         300 |      1500 |          0 | COMMON   |     false | galacticraftcore:crude_oil_still                               |
| oilgc                                        |     800 |         300 |      1500 |          0 | COMMON   |     false | -                                                              |
| oxygen                                       |       1 |         295 |        13 |          0 | COMMON   |      true | -                                                              |
| pigiron                                      |    2000 |         600 |     10000 |         10 | EPIC     |     false | tconstruct:molten_pigiron                                      |
| poison                                       |    1000 |         300 |      1000 |          0 | COMMON   |     false | biomesoplenty:poison                                           |
| pulsating_iron                               |    9000 |        1405 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_pulsating_iron                             |
| purified_water                               |    1000 |         300 |      1000 |          0 | COMMON   |     false | toughasnails:purified_water                                    |
| purpleslime                                  |    1600 |         370 |      1600 |          0 | COMMON   |     false | tconstruct:purpleslime                                         |
| radioactive_water_fluid                      |     800 |         300 |      1500 |          0 | COMMON   |     false | extraplanets:radioactive_water                                 |
| redstone                                     |    1200 |        1973 |      1500 |          6 | COMMON   |     false | enderio:block_fluid_redstone                                   |
| redstone_alloy                               |    9000 |        1357 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_redstone_alloy                             |
| rocket_fuel                                  |     900 |         300 |      1000 |          0 | COMMON   |     false | enderio:block_fluid_rocket_fuel                                |
| salt_fluid                                   |     800 |         300 |      1500 |          0 | COMMON   |     false | extraplanets:salt                                              |
| sand                                         |   50000 |         300 |     10000 |          0 | COMMON   |     false | biomesoplenty:sand                                             |
| silver                                       |    2000 |         480 |     10000 |         10 | RARE     |     false | tconstruct:molten_silver                                       |
| soularium                                    |    9000 |         636 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_soularium                                  |
| steam                                        |    1000 |         300 |      1000 |          0 | COMMON   |      true | railcraft:steam                                                |
| steel                                        |    2000 |         681 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_steel                                        |
| stellar_alloy                                |    9000 |        1475 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_stellar_alloy                              |
| stone                                        |    2000 |         800 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_stone                                        |
| sulfuricacid                                 |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                              |
| sulphuricacid                                |    6229 |         300 |      1400 |          0 | COMMON   |     false | galacticraftplanets:sulphuric_acid                             |
| tin                                          |    2000 |         350 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_tin                                          |
| vapor_of_levity                              |     -10 |           5 |       100 |          0 | COMMON   |      true | enderio:block_fluid_vapor_of_levity                            |
| vibrant_alloy                                |    9000 |         913 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_vibrant_alloy                              |
| vivid_alloy                                  |    9000 |         923 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_vivid_alloy                                |
| water                                        |    1000 |         300 |      1000 |          0 | COMMON   |     false | minecraft:water                                                |
| xpjuice                                      |     800 |         300 |      1500 |         10 | COMMON   |     false | -                                                              |
| yellorium                                    |     100 |         295 |       100 |         10 | UNCOMMON |     false | bigreactors:yellorium                                          |
| zinc                                         |    2000 |         375 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_zinc                                         |
+----------------------------------------------+---------+-------------+-----------+------------+----------+-----------+----------------------------------------------------------------+
| Name                                         | Density | Temperature | Viscosity | Luminosity | Rarity   | isGaseous | Block                                                          |
+----------------------------------------------+---------+-------------+-----------+------------+----------+-----------+----------------------------------------------------------------+
