+-------------------------------+--------------------------------------------------------------------+------------+---------------------+
| NOTE: The Hardness and Resistance values are the raw base values in the fields                                                        |
| of the Block class in question. The actual final values may be different                                                              |
| for different states of the block, or they may depend on a TileEntity etc.                                                            |
+-------------------------------+--------------------------------------------------------------------+------------+---------------------+
| Mod name                      | Registry name                                                      |   Hardness |          Resistance |
| Atum 2                        | atum:ceramic_tile_red                                              |       0.50 |               30.00 |
| Atum 2                        | atum:ceramic_tile_silver                                           |       0.50 |               30.00 |
| Atum 2                        | atum:ceramic_tile_white                                            |       0.50 |               30.00 |
| Atum 2                        | atum:ceramic_tile_yellow                                           |       0.50 |               30.00 |
| Atum 2                        | atum:ceramic_wall_black                                            |       2.00 |               10.00 |
| Atum 2                        | atum:ceramic_wall_blue                                             |       2.00 |               10.00 |
| Atum 2                        | atum:ceramic_wall_brown                                            |       2.00 |               10.00 |
| Atum 2                        | atum:ceramic_wall_cyan                                             |       2.00 |               10.00 |
| Atum 2                        | atum:ceramic_wall_gray                                             |       2.00 |               10.00 |
| Atum 2                        | atum:ceramic_wall_green                                            |       2.00 |               10.00 |
| Atum 2                        | atum:ceramic_wall_light_blue                                       |       2.00 |               10.00 |
| Atum 2                        | atum:ceramic_wall_lime                                             |       2.00 |               10.00 |
| Atum 2                        | atum:ceramic_wall_magenta                                          |       2.00 |               10.00 |
| Atum 2                        | atum:ceramic_wall_orange                                           |       2.00 |               10.00 |
| Atum 2                        | atum:ceramic_wall_pink                                             |       2.00 |               10.00 |
| Atum 2                        | atum:ceramic_wall_purple                                           |       2.00 |               10.00 |
| Atum 2                        | atum:ceramic_wall_red                                              |       2.00 |               10.00 |
| Atum 2                        | atum:ceramic_wall_silver                                           |       2.00 |               10.00 |
| Atum 2                        | atum:ceramic_wall_white                                            |       2.00 |               10.00 |
| Atum 2                        | atum:ceramic_wall_yellow                                           |       2.00 |               10.00 |
| Atum 2                        | atum:ceramic_white                                                 |       1.50 |               30.00 |
| Atum 2                        | atum:ceramic_yellow                                                |       1.50 |               30.00 |
| Atum 2                        | atum:chest_spawner                                                 |       3.00 |               30.00 |
| Atum 2                        | atum:chiseled_stairs                                               |       1.50 |               30.00 |
| Atum 2                        | atum:chiseled_wall                                                 |       2.00 |               10.00 |
| Atum 2                        | atum:coal_ore                                                      |       3.00 |               15.00 |
| Atum 2                        | atum:cracked_brick_stairs                                          |       1.50 |               30.00 |
| Atum 2                        | atum:cracked_brick_wall                                            |       2.00 |               10.00 |
| Atum 2                        | atum:cracked_stairs                                                |       1.50 |               30.00 |
| Atum 2                        | atum:crystal_black_stained_glass                                   |       0.30 |                1.50 |
| Atum 2                        | atum:crystal_blue_stained_glass                                    |       0.30 |                1.50 |
| Atum 2                        | atum:crystal_brown_stained_glass                                   |       0.30 |                1.50 |
| Atum 2                        | atum:crystal_cyan_stained_glass                                    |       0.30 |                1.50 |
| Atum 2                        | atum:crystal_glass                                                 |       0.30 |                1.50 |
| Atum 2                        | atum:crystal_gray_stained_glass                                    |       0.30 |                1.50 |
| Atum 2                        | atum:crystal_green_stained_glass                                   |       0.30 |                1.50 |
| Atum 2                        | atum:crystal_light_blue_stained_glass                              |       0.30 |                1.50 |
| Atum 2                        | atum:crystal_lime_stained_glass                                    |       0.30 |                1.50 |
| Atum 2                        | atum:crystal_magenta_stained_glass                                 |       0.30 |                1.50 |
| Atum 2                        | atum:crystal_orange_stained_glass                                  |       0.30 |                1.50 |
| Atum 2                        | atum:crystal_pink_stained_glass                                    |       0.30 |                1.50 |
| Atum 2                        | atum:crystal_purple_stained_glass                                  |       0.30 |                1.50 |
| Atum 2                        | atum:crystal_red_stained_glass                                     |       0.30 |                1.50 |
| Atum 2                        | atum:crystal_silver_stained_glass                                  |       0.30 |                1.50 |
| Atum 2                        | atum:crystal_white_stained_glass                                   |       0.30 |                1.50 |
| Atum 2                        | atum:crystal_yellow_stained_glass                                  |       0.30 |                1.50 |
| Atum 2                        | atum:date_block                                                    |       0.35 |                1.75 |
| Atum 2                        | atum:dead_grass                                                    |       0.00 |                0.00 |
| Atum 2                        | atum:deadwood_branch                                               |       0.80 |               15.00 |
| Atum 2                        | atum:deadwood_crate                                                |       3.00 |               15.00 |
| Atum 2                        | atum:deadwood_door                                                 |       3.00 |               15.00 |
| Atum 2                        | atum:deadwood_fence                                                |       2.00 |               15.00 |
| Atum 2                        | atum:deadwood_fence_gate                                           |       2.00 |               15.00 |
| Atum 2                        | atum:deadwood_hatch                                                |       3.00 |               15.00 |
| Atum 2                        | atum:deadwood_ladder                                               |       0.40 |                2.00 |
| Atum 2                        | atum:deadwood_leaves                                               |       0.20 |                1.00 |
| Atum 2                        | atum:deadwood_log                                                  |       1.00 |               10.00 |
| Atum 2                        | atum:deadwood_planks                                               |       2.00 |               15.00 |
| Atum 2                        | atum:deadwood_slab                                                 |       2.00 |               15.00 |
| Atum 2                        | atum:deadwood_stairs                                               |       2.00 |               15.00 |
| Atum 2                        | atum:deadwood_torch                                                |       0.00 |                0.00 |
| Atum 2                        | atum:deadwood_torch_unlit                                          |       0.00 |                0.00 |
| Atum 2                        | atum:diamond_ore                                                   |       3.00 |               15.00 |
| Atum 2                        | atum:dirty_bone_block                                              |       2.00 |               10.00 |
| Atum 2                        | atum:dirty_bone_slab                                               |       2.00 |               10.00 |
| Atum 2                        | atum:emerald_ore                                                   |       3.00 |               15.00 |
| Atum 2                        | atum:emmer_wheat                                                   |       0.00 |                0.00 |
| Atum 2                        | atum:fertile_soil                                                  |       0.50 |                2.50 |
| Atum 2                        | atum:fertile_soil_tilled                                           |       0.50 |                2.50 |
| Atum 2                        | atum:flax_block                                                    |       0.00 |                0.00 |
| Atum 2                        | atum:framed_black_stained_glass                                    |       0.30 |                1.50 |
| Atum 2                        | atum:framed_blue_stained_glass                                     |       0.30 |                1.50 |
| Atum 2                        | atum:framed_brown_stained_glass                                    |       0.30 |                1.50 |
| Atum 2                        | atum:framed_cyan_stained_glass                                     |       0.30 |                1.50 |
| Atum 2                        | atum:framed_glass                                                  |       0.30 |                1.50 |
| Atum 2                        | atum:framed_gray_stained_glass                                     |       0.30 |                1.50 |
| Atum 2                        | atum:framed_green_stained_glass                                    |       0.30 |                1.50 |
| Atum 2                        | atum:framed_light_blue_stained_glass                               |       0.30 |                1.50 |
| Atum 2                        | atum:framed_lime_stained_glass                                     |       0.30 |                1.50 |
| Atum 2                        | atum:framed_magenta_stained_glass                                  |       0.30 |                1.50 |
| Atum 2                        | atum:framed_orange_stained_glass                                   |       0.30 |                1.50 |
| Atum 2                        | atum:framed_pink_stained_glass                                     |       0.30 |                1.50 |
| Atum 2                        | atum:framed_purple_stained_glass                                   |       0.30 |                1.50 |
| Atum 2                        | atum:framed_red_stained_glass                                      |       0.30 |                1.50 |
| Atum 2                        | atum:framed_silver_stained_glass                                   |       0.30 |                1.50 |
| Atum 2                        | atum:framed_white_stained_glass                                    |       0.30 |                1.50 |
| Atum 2                        | atum:framed_yellow_stained_glass                                   |       0.30 |                1.50 |
| Atum 2                        | atum:gold_ore                                                      |       3.00 |               15.00 |
| Atum 2                        | atum:heart_of_ra                                                   |       0.00 |                0.00 |
| Atum 2                        | atum:iron_ore                                                      |       3.00 |               15.00 |
| Atum 2                        | atum:khnumite_block                                                |       2.00 |               10.00 |
| Atum 2                        | atum:khnumite_face                                                 |       2.00 |               10.00 |
| Atum 2                        | atum:khnumite_raw                                                  |       0.60 |                3.00 |
| Atum 2                        | atum:kiln                                                          |       3.50 |               17.50 |
| Atum 2                        | atum:kiln_fake                                                     |       1.50 |               30.00 |
| Atum 2                        | atum:lapis_ore                                                     |       3.00 |               15.00 |
| Atum 2                        | atum:large_stairs                                                  |       1.50 |               30.00 |
| Atum 2                        | atum:large_wall                                                    |       2.00 |               10.00 |
| Atum 2                        | atum:limestone                                                     |       1.50 |               30.00 |
| Atum 2                        | atum:limestone_brick_carved                                        |       1.50 |               30.00 |
| Atum 2                        | atum:limestone_brick_carved_door                                   |       3.00 |               15.00 |
| Atum 2                        | atum:limestone_brick_chiseled                                      |       1.50 |               30.00 |
| Atum 2                        | atum:limestone_brick_chiseled_door                                 |       3.00 |               15.00 |
| Atum 2                        | atum:limestone_brick_cracked_brick                                 |       1.50 |               30.00 |
| Atum 2                        | atum:limestone_brick_cracked_brick_door                            |       3.00 |               15.00 |
| Atum 2                        | atum:limestone_brick_large                                         |       1.50 |               30.00 |
| Atum 2                        | atum:limestone_brick_large_door                                    |       3.00 |               15.00 |
| Atum 2                        | atum:limestone_brick_small                                         |       1.50 |               30.00 |
| Atum 2                        | atum:limestone_brick_small_door                                    |       3.00 |               15.00 |
| Atum 2                        | atum:limestone_carved_slab                                         |       2.00 |               10.00 |
| Atum 2                        | atum:limestone_chest                                               |       3.00 |               30.00 |
| Atum 2                        | atum:limestone_chiseled_slab                                       |       2.00 |               10.00 |
| Atum 2                        | atum:limestone_cracked                                             |       1.50 |               30.00 |
| Atum 2                        | atum:limestone_cracked_brick_slab                                  |       2.00 |               10.00 |
| Atum 2                        | atum:limestone_cracked_door                                        |       3.00 |               15.00 |
| Atum 2                        | atum:limestone_cracked_slab                                        |       2.00 |               10.00 |
| Atum 2                        | atum:limestone_cracked_wall                                        |       2.00 |               10.00 |
| Atum 2                        | atum:limestone_door                                                |       3.00 |               15.00 |
| Atum 2                        | atum:limestone_furnace                                             |       3.50 |               17.50 |
| Atum 2                        | atum:limestone_furnace_lit                                         |       3.50 |               17.50 |
| Atum 2                        | atum:limestone_gravel                                              |       0.60 |                3.00 |
| Atum 2                        | atum:limestone_large_slab                                          |       2.00 |               10.00 |
| Atum 2                        | atum:limestone_small_slab                                          |       2.00 |               10.00 |
| Atum 2                        | atum:limestone_smooth_slab                                         |       2.00 |               10.00 |
| Atum 2                        | atum:limestone_torch                                               |       0.00 |                0.00 |
| Atum 2                        | atum:limestone_torch_unlit                                         |       0.00 |                0.00 |
| Atum 2                        | atum:limestone_wall                                                |       2.00 |               10.00 |
| Atum 2                        | atum:linen_black                                                   |       0.60 |                3.00 |
| Atum 2                        | atum:linen_blue                                                    |       0.60 |                3.00 |
| Atum 2                        | atum:linen_brown                                                   |       0.60 |                3.00 |
| Atum 2                        | atum:linen_carpet_black                                            |       0.10 |                3.00 |
| Atum 2                        | atum:linen_carpet_blue                                             |       0.10 |                3.00 |
| Atum 2                        | atum:linen_carpet_brown                                            |       0.10 |                3.00 |
| Atum 2                        | atum:linen_carpet_cyan                                             |       0.10 |                3.00 |
| Atum 2                        | atum:linen_carpet_gray                                             |       0.10 |                3.00 |
| Atum 2                        | atum:linen_carpet_green                                            |       0.10 |                3.00 |
| Atum 2                        | atum:linen_carpet_light_blue                                       |       0.10 |                3.00 |
| Atum 2                        | atum:linen_carpet_lime                                             |       0.10 |                3.00 |
| Atum 2                        | atum:linen_carpet_magenta                                          |       0.10 |                3.00 |
| Atum 2                        | atum:linen_carpet_orange                                           |       0.10 |                3.00 |
| Atum 2                        | atum:linen_carpet_pink                                             |       0.10 |                3.00 |
| Atum 2                        | atum:linen_carpet_purple                                           |       0.10 |                3.00 |
| Atum 2                        | atum:linen_carpet_red                                              |       0.10 |                3.00 |
| Atum 2                        | atum:linen_carpet_silver                                           |       0.10 |                3.00 |
| Atum 2                        | atum:linen_carpet_white                                            |       0.10 |                3.00 |
| Atum 2                        | atum:linen_carpet_yellow                                           |       0.10 |                3.00 |
| Atum 2                        | atum:linen_cyan                                                    |       0.60 |                3.00 |
| Atum 2                        | atum:linen_gray                                                    |       0.60 |                3.00 |
| Atum 2                        | atum:linen_green                                                   |       0.60 |                3.00 |
| Atum 2                        | atum:linen_light_blue                                              |       0.60 |                3.00 |
| Atum 2                        | atum:linen_lime                                                    |       0.60 |                3.00 |
| Atum 2                        | atum:linen_magenta                                                 |       0.60 |                3.00 |
| Atum 2                        | atum:linen_orange                                                  |       0.60 |                3.00 |
| Atum 2                        | atum:linen_pink                                                    |       0.60 |                3.00 |
| Atum 2                        | atum:linen_purple                                                  |       0.60 |                3.00 |
| Atum 2                        | atum:linen_red                                                     |       0.60 |                3.00 |
| Atum 2                        | atum:linen_silver                                                  |       0.60 |                3.00 |
| Atum 2                        | atum:linen_white                                                   |       0.60 |                3.00 |
| Atum 2                        | atum:linen_yellow                                                  |       0.60 |                3.00 |
| Atum 2                        | atum:lit_redstone_ore                                              |       3.00 |               15.00 |
| Atum 2                        | atum:marl                                                          |       0.60 |                3.00 |
| Atum 2                        | atum:oasis_grass                                                   |       0.00 |                0.00 |
| Atum 2                        | atum:ophidian_tongue                                               |       0.20 |                1.00 |
| Atum 2                        | atum:palm_crate                                                    |       3.00 |               15.00 |
| Atum 2                        | atum:palm_door                                                     |       3.00 |               15.00 |
| Atum 2                        | atum:palm_fence                                                    |       2.00 |               15.00 |
| Atum 2                        | atum:palm_fence_gate                                               |       2.00 |               15.00 |
| Atum 2                        | atum:palm_hatch                                                    |       3.00 |               15.00 |
| Atum 2                        | atum:palm_ladder                                                   |       0.40 |                2.00 |
| Atum 2                        | atum:palm_leaves                                                   |       0.20 |                1.00 |
| Atum 2                        | atum:palm_log                                                      |       2.00 |               10.00 |
| Atum 2                        | atum:palm_planks                                                   |       2.00 |               15.00 |
| Atum 2                        | atum:palm_sapling                                                  |       0.00 |                0.00 |
| Atum 2                        | atum:palm_slab                                                     |       2.00 |               15.00 |
| Atum 2                        | atum:palm_stairs                                                   |       2.00 |               15.00 |
| Atum 2                        | atum:palm_torch                                                    |       0.00 |                0.00 |
| Atum 2                        | atum:palm_torch_unlit                                              |       0.00 |                0.00 |
| Atum 2                        | atum:papyrus                                                       |       0.00 |                0.00 |
| Atum 2                        | atum:pharaoh_torch                                                 |       0.00 |                0.00 |
| Atum 2                        | atum:pharaoh_torch_unlit                                           |       0.00 |                0.00 |
| Atum 2                        | atum:poison_trap                                                   |       1.50 |                7.50 |
| Atum 2                        | atum:porphyry                                                      |       1.50 |               30.00 |
| Atum 2                        | atum:porphyry_brick_carved                                         |       1.50 |               30.00 |
| Atum 2                        | atum:porphyry_brick_pillar                                         |       1.50 |               30.00 |
| Atum 2                        | atum:porphyry_brick_polished                                       |       1.50 |               30.00 |
| Atum 2                        | atum:porphyry_brick_smooth                                         |       1.50 |               30.00 |
| Atum 2                        | atum:porphyry_brick_tiled                                          |       1.50 |               30.00 |
| Atum 2                        | atum:porphyry_carved_slab                                          |       2.00 |               10.00 |
| Atum 2                        | atum:porphyry_carved_stairs                                        |       1.50 |               30.00 |
| Atum 2                        | atum:porphyry_carved_wall                                          |       2.00 |               10.00 |
| Atum 2                        | atum:porphyry_pillar_slab                                          |       2.00 |               10.00 |
| Atum 2                        | atum:porphyry_pillar_stairs                                        |       1.50 |               30.00 |
| Atum 2                        | atum:porphyry_pillar_wall                                          |       2.00 |               10.00 |
| Atum 2                        | atum:porphyry_polished_slab                                        |       2.00 |               10.00 |
| Atum 2                        | atum:porphyry_polished_stairs                                      |       1.50 |               30.00 |
| Atum 2                        | atum:porphyry_polished_wall                                        |       2.00 |               10.00 |
| Atum 2                        | atum:porphyry_smooth_slab                                          |       2.00 |               10.00 |
| Atum 2                        | atum:porphyry_smooth_stairs                                        |       1.50 |               30.00 |
| Atum 2                        | atum:porphyry_smooth_wall                                          |       2.00 |               10.00 |
| Atum 2                        | atum:porphyry_tiled_slab                                           |       2.00 |               10.00 |
| Atum 2                        | atum:porphyry_tiled_stairs                                         |       1.50 |               30.00 |
| Atum 2                        | atum:porphyry_tiled_wall                                           |       2.00 |               10.00 |
| Atum 2                        | atum:portal                                                        |      -1.00 |                0.00 |
| Atum 2                        | atum:quern                                                         |       1.50 |                7.50 |
| Atum 2                        | atum:ra_stone                                                      |       0.50 |                2.50 |
| Atum 2                        | atum:radiant_beacon                                                |       3.00 |               15.00 |
| Atum 2                        | atum:radiant_beacon_framed                                         |       3.00 |               15.00 |
| Atum 2                        | atum:redstone_ore                                                  |       3.00 |               15.00 |
| Atum 2                        | atum:relic_ore                                                     |       3.00 |               15.00 |
| Atum 2                        | atum:sand                                                          |       0.50 |                2.50 |
| Atum 2                        | atum:sand_layer                                                    |       0.10 |                0.50 |
| Atum 2                        | atum:sarcophagus                                                   |       4.00 |               30.00 |
| Atum 2                        | atum:shrub                                                         |       0.00 |                0.00 |
| Atum 2                        | atum:small_stairs                                                  |       1.50 |               30.00 |
| Atum 2                        | atum:small_wall                                                    |       2.00 |               10.00 |
| Atum 2                        | atum:smoke_trap                                                    |       1.50 |                7.50 |
| Atum 2                        | atum:smooth_stairs                                                 |       1.50 |               30.00 |
| Atum 2                        | atum:spinning_wheel                                                |       1.20 |                6.00 |
| Atum 2                        | atum:tar_trap                                                      |       1.50 |                7.50 |
| Atum 2                        | atum:thin_crystal_black_stained_glass                              |       0.30 |                1.50 |
| Atum 2                        | atum:thin_crystal_blue_stained_glass                               |       0.30 |                1.50 |
| Atum 2                        | atum:thin_crystal_brown_stained_glass                              |       0.30 |                1.50 |
| Atum 2                        | atum:thin_crystal_cyan_stained_glass                               |       0.30 |                1.50 |
| Atum 2                        | atum:thin_crystal_glass                                            |       0.30 |                1.50 |
