+-----------------------------------------------------+-----+
| Registry name                                       |  ID |
| minecraft:block.slime.step                          |  98 |
| minecraft:block.snow.break                          |  99 |
| minecraft:block.snow.fall                           | 100 |
| minecraft:block.snow.hit                            | 101 |
| minecraft:block.snow.place                          | 102 |
| minecraft:block.snow.step                           | 103 |
| minecraft:block.stone.break                         | 104 |
| minecraft:block.stone.fall                          | 105 |
| minecraft:block.stone.hit                           | 106 |
| minecraft:block.stone.place                         | 107 |
| minecraft:block.stone.step                          | 108 |
| minecraft:block.stone_button.click_off              | 109 |
| minecraft:block.stone_button.click_on               | 110 |
| minecraft:block.stone_pressureplate.click_off       | 111 |
| minecraft:block.stone_pressureplate.click_on        | 112 |
| minecraft:block.tripwire.attach                     | 113 |
| minecraft:block.tripwire.click_off                  | 114 |
| minecraft:block.tripwire.click_on                   | 115 |
| minecraft:block.tripwire.detach                     | 116 |
| minecraft:block.water.ambient                       | 117 |
| minecraft:block.waterlily.place                     | 118 |
| minecraft:block.wood.break                          | 119 |
| minecraft:block.wood.fall                           | 120 |
| minecraft:block.wood.hit                            | 121 |
| minecraft:block.wood.place                          | 122 |
| minecraft:block.wood.step                           | 123 |
| minecraft:block.wood_button.click_off               | 124 |
| minecraft:block.wood_button.click_on                | 125 |
| minecraft:block.wood_pressureplate.click_off        | 126 |
| minecraft:block.wood_pressureplate.click_on         | 127 |
| minecraft:block.wooden_door.close                   | 128 |
| minecraft:block.wooden_door.open                    | 129 |
| minecraft:block.wooden_trapdoor.close               | 130 |
| minecraft:block.wooden_trapdoor.open                | 131 |
| minecraft:enchant.thorns.hit                        | 132 |
| minecraft:entity.armorstand.break                   | 133 |
| minecraft:entity.armorstand.fall                    | 134 |
| minecraft:entity.armorstand.hit                     | 135 |
| minecraft:entity.armorstand.place                   | 136 |
| minecraft:entity.arrow.hit                          | 137 |
| minecraft:entity.arrow.hit_player                   | 138 |
| minecraft:entity.arrow.shoot                        | 139 |
| minecraft:entity.bat.ambient                        | 140 |
| minecraft:entity.bat.death                          | 141 |
| minecraft:entity.bat.hurt                           | 142 |
| minecraft:entity.bat.loop                           | 143 |
| minecraft:entity.bat.takeoff                        | 144 |
| minecraft:entity.blaze.ambient                      | 145 |
| minecraft:entity.blaze.burn                         | 146 |
| minecraft:entity.blaze.death                        | 147 |
| minecraft:entity.blaze.hurt                         | 148 |
| minecraft:entity.blaze.shoot                        | 149 |
| minecraft:entity.boat.paddle_land                   | 150 |
| minecraft:entity.boat.paddle_water                  | 151 |
| minecraft:entity.bobber.retrieve                    | 152 |
| minecraft:entity.bobber.splash                      | 153 |
| minecraft:entity.bobber.throw                       | 154 |
| minecraft:entity.cat.ambient                        | 155 |
| minecraft:entity.cat.death                          | 156 |
| minecraft:entity.cat.hiss                           | 157 |
| minecraft:entity.cat.hurt                           | 158 |
| minecraft:entity.cat.purr                           | 159 |
| minecraft:entity.cat.purreow                        | 160 |
| minecraft:entity.chicken.ambient                    | 161 |
| minecraft:entity.chicken.death                      | 162 |
| minecraft:entity.chicken.egg                        | 163 |
| minecraft:entity.chicken.hurt                       | 164 |
| minecraft:entity.chicken.step                       | 165 |
| minecraft:entity.cow.ambient                        | 166 |
| minecraft:entity.cow.death                          | 167 |
| minecraft:entity.cow.hurt                           | 168 |
| minecraft:entity.cow.milk                           | 169 |
| minecraft:entity.cow.step                           | 170 |
| minecraft:entity.creeper.death                      | 171 |
| minecraft:entity.creeper.hurt                       | 172 |
| minecraft:entity.creeper.primed                     | 173 |
| minecraft:entity.donkey.ambient                     | 174 |
| minecraft:entity.donkey.angry                       | 175 |
| minecraft:entity.donkey.chest                       | 176 |
| minecraft:entity.donkey.death                       | 177 |
| minecraft:entity.donkey.hurt                        | 178 |
| minecraft:entity.egg.throw                          | 179 |
| minecraft:entity.elder_guardian.ambient             | 180 |
| minecraft:entity.elder_guardian.ambient_land        | 181 |
| minecraft:entity.elder_guardian.curse               | 182 |
| minecraft:entity.elder_guardian.death               | 183 |
| minecraft:entity.elder_guardian.death_land          | 184 |
| minecraft:entity.elder_guardian.flop                | 185 |
| minecraft:entity.elder_guardian.hurt                | 186 |
| minecraft:entity.elder_guardian.hurt_land           | 187 |
| minecraft:entity.enderdragon.ambient                | 188 |
| minecraft:entity.enderdragon.death                  | 189 |
| minecraft:entity.enderdragon.flap                   | 190 |
| minecraft:entity.enderdragon.growl                  | 191 |
| minecraft:entity.enderdragon.hurt                   | 192 |
| minecraft:entity.enderdragon.shoot                  | 193 |
| minecraft:entity.enderdragon_fireball.explode       | 194 |
| minecraft:entity.endereye.death                     | 195 |
| minecraft:entity.endereye.launch                    | 196 |
| minecraft:entity.endermen.ambient                   | 197 |
| minecraft:entity.endermen.death                     | 198 |
| minecraft:entity.endermen.hurt                      | 199 |
| minecraft:entity.endermen.scream                    | 200 |
| minecraft:entity.endermen.stare                     | 201 |
| minecraft:entity.endermen.teleport                  | 202 |
| minecraft:entity.endermite.ambient                  | 203 |
| minecraft:entity.endermite.death                    | 204 |
| minecraft:entity.endermite.hurt                     | 205 |
| minecraft:entity.endermite.step                     | 206 |
| minecraft:entity.enderpearl.throw                   | 207 |
| minecraft:entity.evocation_fangs.attack             | 208 |
| minecraft:entity.evocation_illager.ambient          | 209 |
| minecraft:entity.evocation_illager.cast_spell       | 210 |
| minecraft:entity.evocation_illager.death            | 211 |
| minecraft:entity.evocation_illager.hurt             | 212 |
| minecraft:entity.evocation_illager.prepare_attack   | 213 |
| minecraft:entity.evocation_illager.prepare_summon   | 214 |
| minecraft:entity.evocation_illager.prepare_wololo   | 215 |
| minecraft:entity.experience_bottle.throw            | 216 |
| minecraft:entity.experience_orb.pickup              | 217 |
| minecraft:entity.firework.blast                     | 218 |
| minecraft:entity.firework.blast_far                 | 219 |
| minecraft:entity.firework.large_blast               | 220 |
| minecraft:entity.firework.large_blast_far           | 221 |
| minecraft:entity.firework.launch                    | 222 |
| minecraft:entity.firework.shoot                     | 223 |
| minecraft:entity.firework.twinkle                   | 224 |
| minecraft:entity.firework.twinkle_far               | 225 |
| minecraft:entity.generic.big_fall                   | 226 |
| minecraft:entity.generic.burn                       | 227 |
| minecraft:entity.generic.death                      | 228 |
| minecraft:entity.generic.drink                      | 229 |
| minecraft:entity.generic.eat                        | 230 |
| minecraft:entity.generic.explode                    | 231 |
| minecraft:entity.generic.extinguish_fire            | 232 |
| minecraft:entity.generic.hurt                       | 233 |
| minecraft:entity.generic.small_fall                 | 234 |
| minecraft:entity.generic.splash                     | 235 |
| minecraft:entity.generic.swim                       | 236 |
| minecraft:entity.ghast.ambient                      | 237 |
| minecraft:entity.ghast.death                        | 238 |
| minecraft:entity.ghast.hurt                         | 239 |
| minecraft:entity.ghast.scream                       | 240 |
| minecraft:entity.ghast.shoot                        | 241 |
| minecraft:entity.ghast.warn                         | 242 |
| minecraft:entity.guardian.ambient                   | 243 |
| minecraft:entity.guardian.ambient_land              | 244 |
| minecraft:entity.guardian.attack                    | 245 |
| minecraft:entity.guardian.death                     | 246 |
| minecraft:entity.guardian.death_land                | 247 |
| minecraft:entity.guardian.flop                      | 248 |
| minecraft:entity.guardian.hurt                      | 249 |
| minecraft:entity.guardian.hurt_land                 | 250 |
| minecraft:entity.horse.ambient                      | 251 |
| minecraft:entity.horse.angry                        | 252 |
| minecraft:entity.horse.armor                        | 253 |
| minecraft:entity.horse.breathe                      | 254 |
| minecraft:entity.horse.death                        | 255 |
| minecraft:entity.horse.eat                          | 256 |
| minecraft:entity.horse.gallop                       | 257 |
| minecraft:entity.horse.hurt                         | 258 |
| minecraft:entity.horse.jump                         | 259 |
| minecraft:entity.horse.land                         | 260 |
| minecraft:entity.horse.saddle                       | 261 |
| minecraft:entity.horse.step                         | 262 |
| minecraft:entity.horse.step_wood                    | 263 |
| minecraft:entity.hostile.big_fall                   | 264 |
| minecraft:entity.hostile.death                      | 265 |
| minecraft:entity.hostile.hurt                       | 266 |
| minecraft:entity.hostile.small_fall                 | 267 |
| minecraft:entity.hostile.splash                     | 268 |
| minecraft:entity.hostile.swim                       | 269 |
| minecraft:entity.husk.ambient                       | 270 |
| minecraft:entity.husk.death                         | 271 |
| minecraft:entity.husk.hurt                          | 272 |
| minecraft:entity.husk.step                          | 273 |
| minecraft:entity.illusion_illager.ambient           | 274 |
| minecraft:entity.illusion_illager.cast_spell        | 275 |
| minecraft:entity.illusion_illager.death             | 276 |
| minecraft:entity.illusion_illager.hurt              | 277 |
| minecraft:entity.illusion_illager.mirror_move       | 278 |
| minecraft:entity.illusion_illager.prepare_blindness | 279 |
| minecraft:entity.illusion_illager.prepare_mirror    | 280 |
| minecraft:entity.irongolem.attack                   | 281 |
| minecraft:entity.irongolem.death                    | 282 |
| minecraft:entity.irongolem.hurt                     | 283 |
| minecraft:entity.irongolem.step                     | 284 |
| minecraft:entity.item.break                         | 285 |
| minecraft:entity.item.pickup                        | 286 |
| minecraft:entity.itemframe.add_item                 | 287 |
| minecraft:entity.itemframe.break                    | 288 |
| minecraft:entity.itemframe.place                    | 289 |
| minecraft:entity.itemframe.remove_item              | 290 |
| minecraft:entity.itemframe.rotate_item              | 291 |
| minecraft:entity.leashknot.break                    | 292 |
| minecraft:entity.leashknot.place                    | 293 |
| minecraft:entity.lightning.impact                   | 294 |
| minecraft:entity.lightning.thunder                  | 295 |
| minecraft:entity.lingeringpotion.throw              | 296 |
| minecraft:entity.llama.ambient                      | 297 |
| minecraft:entity.llama.angry                        | 298 |
| minecraft:entity.llama.chest                        | 299 |
| minecraft:entity.llama.death                        | 300 |
| minecraft:entity.llama.eat                          | 301 |
| minecraft:entity.llama.hurt                         | 302 |
| minecraft:entity.llama.spit                         | 303 |
| minecraft:entity.llama.step                         | 304 |
| minecraft:entity.llama.swag                         | 305 |
| minecraft:entity.magmacube.death                    | 306 |
| minecraft:entity.magmacube.hurt                     | 307 |
| minecraft:entity.magmacube.jump                     | 308 |
| minecraft:entity.magmacube.squish                   | 309 |
| minecraft:entity.minecart.inside                    | 310 |
| minecraft:entity.minecart.riding                    | 311 |
| minecraft:entity.mooshroom.shear                    | 312 |
| minecraft:entity.mule.ambient                       | 313 |
| minecraft:entity.mule.chest                         | 314 |
| minecraft:entity.mule.death                         | 315 |
| minecraft:entity.mule.hurt                          | 316 |
| minecraft:entity.painting.break                     | 317 |
| minecraft:entity.painting.place                     | 318 |
| minecraft:entity.parrot.ambient                     | 319 |
| minecraft:entity.parrot.death                       | 320 |
| minecraft:entity.parrot.eat                         | 321 |
| minecraft:entity.parrot.fly                         | 322 |
| minecraft:entity.parrot.hurt                        | 323 |
| minecraft:entity.parrot.imitate.blaze               | 324 |
| minecraft:entity.parrot.imitate.creeper             | 325 |
| minecraft:entity.parrot.imitate.elder_guardian      | 326 |
| minecraft:entity.parrot.imitate.enderdragon         | 327 |
| minecraft:entity.parrot.imitate.enderman            | 328 |
| minecraft:entity.parrot.imitate.endermite           | 329 |
| minecraft:entity.parrot.imitate.evocation_illager   | 330 |
| minecraft:entity.parrot.imitate.ghast               | 331 |
| minecraft:entity.parrot.imitate.husk                | 332 |
| minecraft:entity.parrot.imitate.illusion_illager    | 333 |
| minecraft:entity.parrot.imitate.magmacube           | 334 |
| minecraft:entity.parrot.imitate.polar_bear          | 335 |
| minecraft:entity.parrot.imitate.shulker             | 336 |
| minecraft:entity.parrot.imitate.silverfish          | 337 |
| minecraft:entity.parrot.imitate.skeleton            | 338 |
| minecraft:entity.parrot.imitate.slime               | 339 |
| minecraft:entity.parrot.imitate.spider              | 340 |
| minecraft:entity.parrot.imitate.stray               | 341 |
| minecraft:entity.parrot.imitate.vex                 | 342 |
| minecraft:entity.parrot.imitate.vindication_illager | 343 |
| minecraft:entity.parrot.imitate.witch               | 344 |
| minecraft:entity.parrot.imitate.wither              | 345 |
| minecraft:entity.parrot.imitate.wither_skeleton     | 346 |
| minecraft:entity.parrot.imitate.wolf                | 347 |
| minecraft:entity.parrot.imitate.zombie              | 348 |
| minecraft:entity.parrot.imitate.zombie_pigman       | 349 |
| minecraft:entity.parrot.imitate.zombie_villager     | 350 |
| minecraft:entity.parrot.step                        | 351 |
| minecraft:entity.pig.ambient                        | 352 |
| minecraft:entity.pig.death                          | 353 |
| minecraft:entity.pig.hurt                           | 354 |
| minecraft:entity.pig.saddle                         | 355 |
| minecraft:entity.pig.step                           | 356 |
| minecraft:entity.player.attack.crit                 | 357 |
| minecraft:entity.player.attack.knockback            | 358 |
| minecraft:entity.player.attack.nodamage             | 359 |
| minecraft:entity.player.attack.strong               | 360 |
| minecraft:entity.player.attack.sweep                | 361 |
| minecraft:entity.player.attack.weak                 | 362 |
| minecraft:entity.player.big_fall                    | 363 |
| minecraft:entity.player.breath                      | 364 |
| minecraft:entity.player.burp                        | 365 |
| minecraft:entity.player.death                       | 366 |
| minecraft:entity.player.hurt                        | 367 |
| minecraft:entity.player.hurt_drown                  | 368 |
| minecraft:entity.player.hurt_on_fire                | 369 |
| minecraft:entity.player.levelup                     | 370 |
| minecraft:entity.player.small_fall                  | 371 |
| minecraft:entity.player.splash                      | 372 |
| minecraft:entity.player.swim                        | 373 |
| minecraft:entity.polar_bear.ambient                 | 374 |
| minecraft:entity.polar_bear.baby_ambient            | 375 |
| minecraft:entity.polar_bear.death                   | 376 |
| minecraft:entity.polar_bear.hurt                    | 377 |
| minecraft:entity.polar_bear.step                    | 378 |
| minecraft:entity.polar_bear.warning                 | 379 |
| minecraft:entity.rabbit.ambient                     | 380 |
| minecraft:entity.rabbit.attack                      | 381 |
| minecraft:entity.rabbit.death                       | 382 |
| minecraft:entity.rabbit.hurt                        | 383 |
| minecraft:entity.rabbit.jump                        | 384 |
| minecraft:entity.sheep.ambient                      | 385 |
| minecraft:entity.sheep.death                        | 386 |
| minecraft:entity.sheep.hurt                         | 387 |
| minecraft:entity.sheep.shear                        | 388 |
| minecraft:entity.sheep.step                         | 389 |
| minecraft:entity.shulker.ambient                    | 390 |
| minecraft:entity.shulker.close                      | 391 |
| minecraft:entity.shulker.death                      | 392 |
| minecraft:entity.shulker.hurt                       | 393 |
| minecraft:entity.shulker.hurt_closed                | 394 |
| minecraft:entity.shulker.open                       | 395 |
| minecraft:entity.shulker.shoot                      | 396 |
| minecraft:entity.shulker.teleport                   | 397 |
| minecraft:entity.shulker_bullet.hit                 | 398 |
| minecraft:entity.shulker_bullet.hurt                | 399 |
| minecraft:entity.silverfish.ambient                 | 400 |
| minecraft:entity.silverfish.death                   | 401 |
| minecraft:entity.silverfish.hurt                    | 402 |
| minecraft:entity.silverfish.step                    | 403 |
| minecraft:entity.skeleton.ambient                   | 404 |
| minecraft:entity.skeleton.death                     | 405 |
| minecraft:entity.skeleton.hurt                      | 406 |
| minecraft:entity.skeleton.shoot                     | 407 |
| minecraft:entity.skeleton.step                      | 408 |
| minecraft:entity.skeleton_horse.ambient             | 409 |
| minecraft:entity.skeleton_horse.death               | 410 |
| minecraft:entity.skeleton_horse.hurt                | 411 |
| minecraft:entity.slime.attack                       | 412 |
| minecraft:entity.slime.death                        | 413 |
| minecraft:entity.slime.hurt                         | 414 |
| minecraft:entity.slime.jump                         | 415 |
| minecraft:entity.slime.squish                       | 416 |
| minecraft:entity.small_magmacube.death              | 417 |
| minecraft:entity.small_magmacube.hurt               | 418 |
| minecraft:entity.small_magmacube.squish             | 419 |
| minecraft:entity.small_slime.death                  | 420 |
| minecraft:entity.small_slime.hurt                   | 421 |
| minecraft:entity.small_slime.jump                   | 422 |
| minecraft:entity.small_slime.squish                 | 423 |
| minecraft:entity.snowball.throw                     | 424 |
| minecraft:entity.snowman.ambient                    | 425 |
| minecraft:entity.snowman.death                      | 426 |
| minecraft:entity.snowman.hurt                       | 427 |
| minecraft:entity.snowman.shoot                      | 428 |
| minecraft:entity.spider.ambient                     | 429 |
| minecraft:entity.spider.death                       | 430 |
| minecraft:entity.spider.hurt                        | 431 |
| minecraft:entity.spider.step                        | 432 |
| minecraft:entity.splash_potion.break                | 433 |
| minecraft:entity.splash_potion.throw                | 434 |
| minecraft:entity.squid.ambient                      | 435 |
| minecraft:entity.squid.death                        | 436 |
| minecraft:entity.squid.hurt                         | 437 |
| minecraft:entity.stray.ambient                      | 438 |
| minecraft:entity.stray.death                        | 439 |
| minecraft:entity.stray.hurt                         | 440 |
| minecraft:entity.stray.step                         | 441 |
| minecraft:entity.tnt.primed                         | 442 |
| minecraft:entity.vex.ambient                        | 443 |
| minecraft:entity.vex.charge                         | 444 |
| minecraft:entity.vex.death                          | 445 |
| minecraft:entity.vex.hurt                           | 446 |
| minecraft:entity.villager.ambient                   | 447 |
| minecraft:entity.villager.death                     | 448 |
| minecraft:entity.villager.hurt                      | 449 |
| minecraft:entity.villager.no                        | 450 |
| minecraft:entity.villager.trading                   | 451 |
| minecraft:entity.villager.yes                       | 452 |
| minecraft:entity.vindication_illager.ambient        | 453 |
| minecraft:entity.vindication_illager.death          | 454 |
| minecraft:entity.vindication_illager.hurt           | 455 |
| minecraft:entity.witch.ambient                      | 456 |
| minecraft:entity.witch.death                        | 457 |
| minecraft:entity.witch.drink                        | 458 |
| minecraft:entity.witch.hurt                         | 459 |
| minecraft:entity.witch.throw                        | 460 |
| minecraft:entity.wither.ambient                     | 461 |
| minecraft:entity.wither.break_block                 | 462 |
| minecraft:entity.wither.death                       | 463 |
| minecraft:entity.wither.hurt                        | 464 |
| minecraft:entity.wither.shoot                       | 465 |
| minecraft:entity.wither.spawn                       | 466 |
| minecraft:entity.wither_skeleton.ambient            | 467 |
| minecraft:entity.wither_skeleton.death              | 468 |
| minecraft:entity.wither_skeleton.hurt               | 469 |
| minecraft:entity.wither_skeleton.step               | 470 |
| minecraft:entity.wolf.ambient                       | 471 |
| minecraft:entity.wolf.death                         | 472 |
| minecraft:entity.wolf.growl                         | 473 |
| minecraft:entity.wolf.howl                          | 474 |
| minecraft:entity.wolf.hurt                          | 475 |
| minecraft:entity.wolf.pant                          | 476 |
| minecraft:entity.wolf.shake                         | 477 |
| minecraft:entity.wolf.step                          | 478 |
| minecraft:entity.wolf.whine                         | 479 |
| minecraft:entity.zombie.ambient                     | 480 |
| minecraft:entity.zombie.attack_door_wood            | 481 |
| minecraft:entity.zombie.attack_iron_door            | 482 |
| minecraft:entity.zombie.break_door_wood             | 483 |
| minecraft:entity.zombie.death                       | 484 |
| minecraft:entity.zombie.hurt                        | 485 |
| minecraft:entity.zombie.infect                      | 486 |
| minecraft:entity.zombie.step                        | 487 |
| minecraft:entity.zombie_horse.ambient               | 488 |
| minecraft:entity.zombie_horse.death                 | 489 |
| minecraft:entity.zombie_horse.hurt                  | 490 |
| minecraft:entity.zombie_pig.ambient                 | 491 |
| minecraft:entity.zombie_pig.angry                   | 492 |
| minecraft:entity.zombie_pig.death                   | 493 |
| minecraft:entity.zombie_pig.hurt                    | 494 |
| minecraft:entity.zombie_villager.ambient            | 495 |
| minecraft:entity.zombie_villager.converted          | 496 |
| minecraft:entity.zombie_villager.cure               | 497 |
| minecraft:entity.zombie_villager.death              | 498 |
| minecraft:entity.zombie_villager.hurt               | 499 |
| minecraft:entity.zombie_villager.step               | 500 |
| minecraft:item.armor.equip_chain                    | 501 |
| minecraft:item.armor.equip_diamond                  | 502 |
| minecraft:item.armor.equip_elytra                   | 503 |
| minecraft:item.armor.equip_generic                  | 504 |
| minecraft:item.armor.equip_gold                     | 505 |
| minecraft:item.armor.equip_iron                     | 506 |
| minecraft:item.armor.equip_leather                  | 507 |
| minecraft:item.bottle.empty                         | 508 |
| minecraft:item.bottle.fill                          | 509 |
| minecraft:item.bottle.fill_dragonbreath             | 510 |
| minecraft:item.bucket.empty                         | 511 |
