+----------------------------------------------------+----------+-------------------------------------------+------------------------------------------------------------------+---------------------------------------------+
| Registry name                                      | Meta/dmg | Display name                              | Ore Dict Keys                                                    | NBT                                         |
| atum:framed_blue_stained_glass                     |        0 | Blue Stained Framed Glass                 | blockGlass                                                       |                                             |
| atum:framed_brown_stained_glass                    |        0 | Brown Stained Framed Glass                | blockGlass                                                       |                                             |
| atum:framed_cyan_stained_glass                     |        0 | Cyan Stained Framed Glass                 | blockGlass                                                       |                                             |
| atum:framed_glass                                  |        0 | Framed Glass                              | blockGlass                                                       |                                             |
| atum:framed_gray_stained_glass                     |        0 | Gray Stained Framed Glass                 | blockGlass                                                       |                                             |
| atum:framed_green_stained_glass                    |        0 | Green Stained Framed Glass                | blockGlass                                                       |                                             |
| atum:framed_light_blue_stained_glass               |        0 | Light Blue Stained Framed Glass           | blockGlass                                                       |                                             |
| atum:framed_lime_stained_glass                     |        0 | Lime Stained Framed Glass                 | blockGlass                                                       |                                             |
| atum:framed_magenta_stained_glass                  |        0 | Magenta Stained Framed Glass              | blockGlass                                                       |                                             |
| atum:framed_orange_stained_glass                   |        0 | Orange Stained Framed Glass               | blockGlass                                                       |                                             |
| atum:framed_pink_stained_glass                     |        0 | Pink Stained Framed Glass                 | blockGlass                                                       |                                             |
| atum:framed_purple_stained_glass                   |        0 | Purple Stained Framed Glass               | blockGlass                                                       |                                             |
| atum:framed_red_stained_glass                      |        0 | Red Stained Framed Glass                  | blockGlass                                                       |                                             |
| atum:framed_silver_stained_glass                   |        0 | Silver Stained Framed Glass               | blockGlass                                                       |                                             |
| atum:framed_white_stained_glass                    |        0 | White Stained Framed Glass                | blockGlass                                                       |                                             |
| atum:framed_yellow_stained_glass                   |        0 | Yellow Stained Framed Glass               | blockGlass                                                       |                                             |
| atum:gold_ore                                      |        0 | Gold Ore                                  | oreGold                                                          |                                             |
| atum:iron_ore                                      |        0 | Iron Ore                                  | oreIron                                                          |                                             |
| atum:khnumite                                      |        0 | Khnumite                                  | ingotKhnumite                                                    |                                             |
| atum:khnumite_raw                                  |        0 | Raw Khnumite                              | stoneKhnumite                                                    |                                             |
| atum:lapis_ore                                     |        0 | Lapis Ore                                 | oreLapis                                                         |                                             |
| atum:limestone                                     |        0 | Limestone                                 | stone,stoneLimestone                                             |                                             |
| atum:limestone_chest                               |        0 | Limestone Chest                           | chest,chestStone,chestWood                                       |                                             |
| atum:limestone_cracked                             |        0 | Cracked Limestone                         | cobblestone                                                      |                                             |
| atum:limestone_gravel                              |        0 | Limestone Gravel                          | gravel                                                           |                                             |
| atum:linen_black                                   |        0 | Black Linen                               | wool,woolBlack                                                   |                                             |
| atum:linen_blue                                    |        0 | Blue Linen                                | wool,woolBlue                                                    |                                             |
| atum:linen_brown                                   |        0 | Brown Linen                               | wool,woolBrown                                                   |                                             |
| atum:linen_carpet_black                            |        0 | Black Linen Carpet                        | carpet                                                           |                                             |
| atum:linen_carpet_blue                             |        0 | Blue Linen Carpet                         | carpet                                                           |                                             |
| atum:linen_carpet_brown                            |        0 | Brown Linen Carpet                        | carpet                                                           |                                             |
| atum:linen_carpet_cyan                             |        0 | Cyan Linen Carpet                         | carpet                                                           |                                             |
| atum:linen_carpet_gray                             |        0 | Gray Linen Carpet                         | carpet                                                           |                                             |
| atum:linen_carpet_green                            |        0 | Green Linen Carpet                        | carpet                                                           |                                             |
| atum:linen_carpet_light_blue                       |        0 | Light Blue Linen Carpet                   | carpet                                                           |                                             |
| atum:linen_carpet_lime                             |        0 | Lime Linen Carpet                         | carpet                                                           |                                             |
| atum:linen_carpet_magenta                          |        0 | Magenta Linen Carpet                      | carpet                                                           |                                             |
| atum:linen_carpet_orange                           |        0 | Orange Linen Carpet                       | carpet                                                           |                                             |
| atum:linen_carpet_pink                             |        0 | Pink Linen Carpet                         | carpet                                                           |                                             |
| atum:linen_carpet_purple                           |        0 | Purple Linen Carpet                       | carpet                                                           |                                             |
| atum:linen_carpet_red                              |        0 | Red Linen Carpet                          | carpet                                                           |                                             |
| atum:linen_carpet_silver                           |        0 | Silver Linen Carpet                       | carpet                                                           |                                             |
| atum:linen_carpet_white                            |        0 | White Linen Carpet                        | carpet                                                           |                                             |
| atum:linen_carpet_yellow                           |        0 | Yellow Linen Carpet                       | carpet                                                           |                                             |
| atum:linen_cyan                                    |        0 | Cyan Linen                                | wool,woolCyan                                                    |                                             |
| atum:linen_gray                                    |        0 | Gray Linen                                | wool,woolGray                                                    |                                             |
| atum:linen_green                                   |        0 | Green Linen                               | wool,woolGreen                                                   |                                             |
| atum:linen_light_blue                              |        0 | Light Blue Linen                          | wool,woolLightBlue                                               |                                             |
| atum:linen_lime                                    |        0 | Lime Linen                                | wool,woolLime                                                    |                                             |
| atum:linen_magenta                                 |        0 | Magenta Linen                             | wool,woolMagenta                                                 |                                             |
| atum:linen_orange                                  |        0 | Orange Linen                              | wool,woolOrange                                                  |                                             |
| atum:linen_pink                                    |        0 | Pink Linen                                | wool,woolPink                                                    |                                             |
| atum:linen_purple                                  |        0 | Purple Linen                              | wool,woolPurple                                                  |                                             |
| atum:linen_red                                     |        0 | Red Linen                                 | wool,woolRed                                                     |                                             |
| atum:linen_silver                                  |        0 | Silver Linen                              | wool,woolSilver                                                  |                                             |
| atum:linen_thread                                  |        0 | Linen Thread                              | string                                                           |                                             |
| atum:linen_white                                   |        0 | White Linen                               | wool,woolWhite                                                   |                                             |
| atum:linen_yellow                                  |        0 | Yellow Linen                              | wool,woolYellow                                                  |                                             |
| atum:loot_diamond_broach                           |        0 | Diamond Brooch                            | relic                                                            |                                             |
| atum:loot_diamond_idol                             |        0 | Diamond Idol                              | relic                                                            |                                             |
| atum:loot_diamond_necklace                         |        0 | Diamond Necklace                          | relic                                                            |                                             |
| atum:loot_diamond_ring                             |        0 | Diamond Ring                              | relic                                                            |                                             |
| atum:loot_diamond_scepter                          |        0 | Diamond Scepter                           | relic                                                            |                                             |
| atum:loot_dirty_broach                             |        0 | Dirty Brooch                              | relic                                                            |                                             |
| atum:loot_dirty_idol                               |        0 | Dirty Idol                                | relic                                                            |                                             |
| atum:loot_dirty_necklace                           |        0 | Dirty Necklace                            | relic                                                            |                                             |
| atum:loot_dirty_ring                               |        0 | Dirty Ring                                | relic                                                            |                                             |
| atum:loot_dirty_scepter                            |        0 | Dirty Scepter                             | relic                                                            |                                             |
| atum:loot_emerald_broach                           |        0 | Emerald Brooch                            | relic                                                            |                                             |
| atum:loot_emerald_idol                             |        0 | Emerald Idol                              | relic                                                            |                                             |
| atum:loot_emerald_necklace                         |        0 | Emerald Necklace                          | relic                                                            |                                             |
| atum:loot_emerald_ring                             |        0 | Emerald Ring                              | relic                                                            |                                             |
| atum:loot_emerald_scepter                          |        0 | Emerald Scepter                           | relic                                                            |                                             |
| atum:loot_gold_broach                              |        0 | Golden Brooch                             | relic                                                            |                                             |
| atum:loot_gold_idol                                |        0 | Golden Idol                               | relic                                                            |                                             |
| atum:loot_gold_necklace                            |        0 | Gold Necklace                             | relic                                                            |                                             |
| atum:loot_gold_ring                                |        0 | Gold Ring                                 | relic                                                            |                                             |
| atum:loot_gold_scepter                             |        0 | Golden Scepter                            | relic                                                            |                                             |
| atum:loot_ruby_broach                              |        0 | Ruby Brooch                               | relic                                                            |                                             |
| atum:loot_ruby_idol                                |        0 | Ruby Idol                                 | relic                                                            |                                             |
| atum:loot_ruby_necklace                            |        0 | Ruby Necklace                             | relic                                                            |                                             |
| atum:loot_ruby_ring                                |        0 | Ruby Ring                                 | relic                                                            |                                             |
| atum:loot_ruby_scepter                             |        0 | Ruby Scepter                              | relic                                                            |                                             |
| atum:loot_sapphire_broach                          |        0 | Sapphire Brooch                           | relic                                                            |                                             |
| atum:loot_sapphire_idol                            |        0 | Sapphire Idol                             | relic                                                            |                                             |
| atum:loot_sapphire_necklace                        |        0 | Sapphire Necklace                         | relic                                                            |                                             |
| atum:loot_sapphire_ring                            |        0 | Sapphire Ring                             | relic                                                            |                                             |
| atum:loot_sapphire_scepter                         |        0 | Sapphire Scepter                          | relic                                                            |                                             |
| atum:loot_silver_broach                            |        0 | Silver Brooch                             | relic                                                            |                                             |
| atum:loot_silver_idol                              |        0 | Silver Idol                               | relic                                                            |                                             |
| atum:loot_silver_necklace                          |        0 | Silver Necklace                           | relic                                                            |                                             |
| atum:loot_silver_ring                              |        0 | Silver Ring                               | relic                                                            |                                             |
| atum:loot_silver_scepter                           |        0 | Silver Scepter                            | relic                                                            |                                             |
| atum:ophidian_tongue                               |        0 | Ophidian Tongue Vine                      | vine                                                             |                                             |
| atum:palm_crate                                    |        0 | Palm Crate                                | chest,chestWood,crate                                            |                                             |
| atum:palm_door                                     |        0 | Palm Door                                 | doorWood                                                         |                                             |
| atum:palm_fence                                    |        0 | Palm Fence                                | fenceWood                                                        |                                             |
| atum:palm_fence_gate                               |        0 | Palm Fence Gate                           | fenceGateWood                                                    |                                             |
| atum:palm_leaves                                   |        0 | Palm Leaves                               | treeLeaves                                                       |                                             |
| atum:palm_log                                      |        0 | Palm Wood                                 | logPalm,logWood                                                  |                                             |
| atum:palm_planks                                   |        0 | Palm Planks                               | plankPalm,plankWood                                              |                                             |
| atum:palm_sapling                                  |        0 | Palm Sapling                              | treeSapling                                                      |                                             |
| atum:palm_slab                                     |        0 | Palm Wood Slab                            | slabWood                                                         |                                             |
| atum:palm_stairs                                   |        0 | Palm Stairs                               | stairWood                                                        |                                             |
| atum:palm_stick                                    |        0 | Palm Stick                                | stickWood                                                        |                                             |
| atum:porphyry                                      |        0 | Porphyry                                  | stonePorphyry                                                    |                                             |
| atum:porphyry_brick_polished                       |        0 | Polished Porphyry Brick                   | stonePorphyryPolished                                            |                                             |
| atum:redstone_ore                                  |        0 | Redstone Ore                              | oreRedstone                                                      |                                             |
| atum:relic_ore                                     |        0 | Relic Ore                                 | oreRelic                                                         |                                             |
| atum:sand                                          |        0 | Strange Sand                              | sand                                                             |                                             |
| atum:scroll                                        |        0 | Scroll                                    | paper                                                            |                                             |
| atum:thin_crystal_black_stained_glass              |        0 | Black Stained Thin Crystal Glass          | paneGlass,paneGlassBlack                                         |                                             |
| atum:thin_crystal_blue_stained_glass               |        0 | Blue Stained Thin Crystal Glass           | paneGlass,paneGlassBlue                                          |                                             |
| atum:thin_crystal_brown_stained_glass              |        0 | Brown Stained Thin Crystal Glass          | paneGlass,paneGlassBrown                                         |                                             |
| atum:thin_crystal_cyan_stained_glass               |        0 | Cyan Stained Thin Crystal Glass           | paneGlass,paneGlassCyan                                          |                                             |
| atum:thin_crystal_glass                            |        0 | Thin Crystal Glass                        | paneGlass,paneGlassColorless                                     |                                             |
| atum:thin_crystal_gray_stained_glass               |        0 | Gray Stained Thin Crystal Glass           | paneGlass,paneGlassGray                                          |                                             |
| atum:thin_crystal_green_stained_glass              |        0 | Green Stained Thin Crystal Glass          | paneGlass,paneGlassGreen                                         |                                             |
| atum:thin_crystal_light_blue_stained_glass         |        0 | Light Blue Stained Thin Crystal Glass     | paneGlass,paneGlassLightBlue                                     |                                             |
| atum:thin_crystal_lime_stained_glass               |        0 | Lime Stained Thin Crystal Glass           | paneGlass,paneGlassLime                                          |                                             |
| atum:thin_crystal_magenta_stained_glass            |        0 | Magenta Stained Thin Crystal Glass        | paneGlass,paneGlassMagenta                                       |                                             |
| atum:thin_crystal_orange_stained_glass             |        0 | Orange Stained Thin Crystal Glass         | paneGlass,paneGlassOrange                                        |                                             |
| atum:thin_crystal_pink_stained_glass               |        0 | Pink Stained Thin Crystal Glass           | paneGlass,paneGlassPink                                          |                                             |
| atum:thin_crystal_purple_stained_glass             |        0 | Purple Stained Thin Crystal Glass         | paneGlass,paneGlassPurple                                        |                                             |
| atum:thin_crystal_red_stained_glass                |        0 | Red Stained Thin Crystal Glass            | paneGlass,paneGlassRed                                           |                                             |
| atum:thin_crystal_silver_stained_glass             |        0 | Silver Stained Thin Crystal Glass         | paneGlass,paneGlassLightGray                                     |                                             |
| atum:thin_crystal_white_stained_glass              |        0 | White Stained Thin Crystal Glass          | paneGlass,paneGlassWhite                                         |                                             |
| atum:thin_crystal_yellow_stained_glass             |        0 | Yellow Stained Thin Crystal Glass         | paneGlass,paneGlassYellow                                        |                                             |
| atum:thin_framed_black_stained_glass               |        0 | Black Stained Thin Framed Glass           | paneGlass,paneGlassBlack                                         |                                             |
| atum:thin_framed_blue_stained_glass                |        0 | Blue Stained Thin Framed Glass            | paneGlass,paneGlassBlue                                          |                                             |
| atum:thin_framed_brown_stained_glass               |        0 | Brown Stained Thin Framed Glass           | paneGlass,paneGlassBrown                                         |                                             |
| atum:thin_framed_cyan_stained_glass                |        0 | Cyan Stained Thin Framed Glass            | paneGlass,paneGlassCyan                                          |                                             |
| atum:thin_framed_glass                             |        0 | Thin Framed Glass                         | paneGlass,paneGlassColorless                                     |                                             |
| atum:thin_framed_gray_stained_glass                |        0 | Gray Stained Thin Framed Glass            | paneGlass,paneGlassGray                                          |                                             |
| atum:thin_framed_green_stained_glass               |        0 | Green Stained Thin Framed Glass           | paneGlass,paneGlassGreen                                         |                                             |
| atum:thin_framed_light_blue_stained_glass          |        0 | Light Blue Stained Thin Framed Glass      | paneGlass,paneGlassLightBlue                                     |                                             |
| atum:thin_framed_lime_stained_glass                |        0 | Lime Stained Thin Framed Glass            | paneGlass,paneGlassLime                                          |                                             |
