+-----+--------------------------------------------+-------------------------------+-------+----------+------+-------+---------+------------+-------------------------------------------------------------------+----------------------------+
|  ID | Registry name                              | Biome name                    | temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                                              | Valid for                  |
|  48 | biomesoplenty:brushland                    | Brushland                     |  1.50 | WARM     | 0.10 | false | false   |            | DRY, HOT, SAVANNA, SPARSE                                         | spawn, stronghold, village |
|  49 | biomesoplenty:chaparral                    | Chaparral                     |  0.80 | MEDIUM   | 0.40 | false | false   |            | DRY, PLAINS                                                       | spawn, stronghold, village |
|  50 | biomesoplenty:cherry_blossom_grove         | Cherry Blossom Grove          |  0.55 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, LUSH, MAGICAL, WET                                 |                            |
|  51 | biomesoplenty:cold_desert                  | Cold Desert                   |  0.20 | MEDIUM   | 0.00 | false | false   |            | COLD, DRY, SNOWY                                                  |                            |
|  52 | biomesoplenty:coniferous_forest            | Coniferous Forest             |  0.45 | MEDIUM   | 0.50 | false | false   |            | COLD, CONIFEROUS, DENSE, FOREST                                   | spawn, stronghold, village |
|  53 | biomesoplenty:crag                         | Crag                          |  0.50 | MEDIUM   | 0.50 | false | false   |            | COLD, DRY, HILLS, MAGICAL, MOUNTAIN, WASTELAND                    | stronghold                 |
|  54 | biomesoplenty:dead_forest                  | Dead Forest                   |  0.30 | MEDIUM   | 0.30 | false | false   |            | COLD, DEAD, DRY, FOREST, SPARSE                                   | stronghold                 |
|  55 | biomesoplenty:dead_swamp                   | Dead Swamp                    |  0.60 | MEDIUM   | 0.90 | false | false   |            | COLD, DEAD, SPARSE, SPOOKY, SWAMP, WET                            |                            |
|  56 | biomesoplenty:eucalyptus_forest            | Eucalyptus Forest             |  0.95 | MEDIUM   | 0.90 | false | false   |            | DENSE, FOREST, JUNGLE, LUSH, WET                                  | spawn                      |
|  57 | biomesoplenty:fen                          | Fen                           |  0.40 | MEDIUM   | 0.40 | false | false   |            | COLD, DEAD, DENSE, FOREST, SWAMP, WET                             |                            |
|  58 | biomesoplenty:flower_field                 | Flower Field                  |  0.70 | MEDIUM   | 0.70 | false | false   |            | LUSH, PLAINS                                                      | spawn                      |
|  59 | biomesoplenty:grassland                    | Grassland                     |  0.60 | MEDIUM   | 0.70 | false | false   |            | HILLS, PLAINS, WET                                                | spawn, village             |
|  60 | biomesoplenty:grove                        | Grove                         |  0.60 | MEDIUM   | 0.80 | false | false   |            | FOREST, LUSH, PLAINS, SPARSE, WET                                 | spawn, stronghold, village |
|  61 | biomesoplenty:highland                     | Highland                      |  0.60 | MEDIUM   | 0.80 | false | false   |            | HILLS, MOUNTAIN, WET                                              | spawn, stronghold          |
|  62 | biomesoplenty:land_of_lakes                | Land of Lakes                 |  0.50 | MEDIUM   | 0.90 | false | false   |            | DENSE, FOREST, SWAMP, WET                                         | spawn                      |
|  63 | biomesoplenty:lavender_fields              | Lavender Fields               |  0.70 | MEDIUM   | 0.70 | false | false   |            | LUSH, MAGICAL, PLAINS                                             |                            |
|  64 | biomesoplenty:lush_desert                  | Lush Desert                   |  1.20 | WARM     | 0.40 | false | false   |            | DRY, HOT, LUSH, SANDY, SAVANNA, SPARSE                            | village                    |
|  65 | biomesoplenty:lush_swamp                   | Lush Swamp                    |  0.70 | MEDIUM   | 1.00 | false | false   |            | DENSE, LUSH, SWAMP, WET                                           | spawn                      |
|  66 | biomesoplenty:mangrove                     | Mangrove                      |  0.85 | MEDIUM   | 0.30 | false | false   |            | DENSE, LUSH, SWAMP, WATER, WET                                    |                            |
|  67 | biomesoplenty:maple_woods                  | Maple Woods                   |  0.25 | MEDIUM   | 0.80 | false | false   |            | COLD, CONIFEROUS, DENSE, FOREST                                   | spawn, stronghold          |
|  68 | biomesoplenty:marsh                        | Marsh                         |  0.60 | MEDIUM   | 0.80 | false | false   |            | LUSH, WET                                                         |                            |
|  69 | biomesoplenty:meadow                       | Meadow                        |  0.40 | MEDIUM   | 0.70 | false | false   |            | COLD, FOREST, LUSH, PLAINS, SPARSE, WET                           | spawn, village             |
|  70 | biomesoplenty:moor                         | Moor                          |  0.60 | MEDIUM   | 1.00 | false | false   |            | HILLS, SWAMP, WET                                                 | stronghold                 |
|  71 | biomesoplenty:mountain                     | Mountain                      |  0.50 | MEDIUM   | 0.10 | false | false   |            | DRY, FOREST, MOUNTAIN, SPARSE                                     | stronghold                 |
|  72 | biomesoplenty:mystic_grove                 | Mystic Grove                  |  0.70 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, LUSH, MAGICAL, RARE, WET                           |                            |
|  73 | biomesoplenty:ominous_woods                | Ominous Woods                 |  0.60 | MEDIUM   | 0.60 | false | false   |            | DEAD, DENSE, FOREST, MAGICAL, RARE, SPOOKY, WET                   | stronghold                 |
|  74 | biomesoplenty:orchard                      | Orchard                       |  0.70 | MEDIUM   | 0.70 | false | false   |            | DENSE, FOREST, LUSH, PLAINS                                       | spawn, village             |
|  75 | biomesoplenty:outback                      | Outback                       |  2.00 | WARM     | 0.05 | false | false   |            | DRY, HOT, SANDY, SAVANNA, SPARSE                                  | spawn, stronghold, village |
|  76 | biomesoplenty:overgrown_cliffs             | Overgrown Cliffs              |  0.95 | MEDIUM   | 0.75 | false | false   |            | DENSE, HILLS, JUNGLE, LUSH, MOUNTAIN, WET                         | stronghold                 |
|  77 | biomesoplenty:prairie                      | Prairie                       |  0.80 | MEDIUM   | 0.30 | false | false   |            | DRY, PLAINS, SPARSE                                               | spawn, village             |
|  78 | biomesoplenty:quagmire                     | Quagmire                      |  0.60 | MEDIUM   | 0.90 | false | false   |            | DEAD, SWAMP, WASTELAND, WET                                       |                            |
|  79 | biomesoplenty:rainforest                   | Rainforest                    |  0.95 | MEDIUM   | 1.20 | false | false   |            | DENSE, FOREST, HILLS, JUNGLE, LUSH, WET                           | stronghold                 |
|  80 | biomesoplenty:redwood_forest               | RedwoodForest                 |  0.70 | MEDIUM   | 0.70 | false | false   |            | DENSE, FOREST                                                     | stronghold                 |
|  81 | biomesoplenty:sacred_springs               | Sacred Springs                |  0.85 | MEDIUM   | 0.90 | false | false   |            | DENSE, FOREST, JUNGLE, LUSH, MAGICAL, RARE, WET                   |                            |
|  82 | biomesoplenty:seasonal_forest              | Seasonal Forest               |  0.40 | MEDIUM   | 0.80 | false | false   |            | COLD, DENSE, FOREST                                               | spawn, stronghold, village |
|  83 | biomesoplenty:shield                       | Shield                        |  0.40 | MEDIUM   | 0.80 | false | false   |            | COLD, DENSE, FOREST, WET                                          | spawn                      |
|  84 | biomesoplenty:shrubland                    | Shrubland                     |  0.60 | MEDIUM   | 0.05 | false | false   |            | DRY, PLAINS, SPARSE                                               | spawn, stronghold, village |
|  85 | biomesoplenty:snowy_coniferous_forest      | Snowy Coniferous Forest       | -0.25 | COLD     | 0.50 |  true | false   |            | COLD, CONIFEROUS, DENSE, FOREST, SNOWY                            | spawn, stronghold          |
|  86 | biomesoplenty:snowy_forest                 | Snowy Forest                  | -0.25 | COLD     | 0.50 |  true | false   |            | COLD, FOREST, SNOWY, SPARSE, WET                                  | spawn, stronghold          |
|  87 | biomesoplenty:steppe                       | Steppe                        |  0.75 | MEDIUM   | 0.10 | false | false   |            | DRY, PLAINS, SANDY                                                | stronghold, village        |
|  88 | biomesoplenty:temperate_rainforest         | Temperate Rainforest          |  0.75 | MEDIUM   | 1.20 | false | false   |            | DENSE, FOREST, LUSH, WET                                          | spawn, stronghold          |
|  89 | biomesoplenty:tropical_rainforest          | Tropical Rainforest           |  1.00 | WARM     | 1.00 | false | false   |            | DENSE, HOT, JUNGLE, LUSH, WET                                     | stronghold                 |
|  90 | biomesoplenty:tundra                       | Tundra                        |  0.20 | MEDIUM   | 0.50 | false | false   |            | COLD, DEAD, SPARSE, WASTELAND, WET                                |                            |
|  91 | biomesoplenty:wasteland                    | Wasteland                     |  2.00 | WARM     | 0.00 | false | false   |            | DEAD, DRY, SPARSE, WASTELAND                                      | stronghold                 |
|  92 | biomesoplenty:wetland                      | Wetland                       |  0.60 | MEDIUM   | 0.70 | false | false   |            | DENSE, FOREST, LUSH, SWAMP, WET                                   | spawn                      |
|  93 | biomesoplenty:woodland                     | Woodland                      |  0.70 | MEDIUM   | 0.50 | false | false   |            | DENSE, DRY, FOREST                                                | spawn, village             |
|  94 | biomesoplenty:xeric_shrubland              | Xeric Shrubland               |  1.75 | WARM     | 0.10 | false | false   |            | DRY, HOT, LUSH, SANDY, SAVANNA, SPARSE                            | village                    |
|  95 | biomesoplenty:alps_foothills               | AlpsFoothills                 | -0.25 | COLD     | 0.30 |  true | false   |            | COLD, DRY, FOREST, MOUNTAIN, SNOWY, SPARSE                        | stronghold                 |
|  96 | biomesoplenty:mountain_foothills           | MountainFoothills             |  0.50 | MEDIUM   | 0.10 | false | false   |            | DRY, FOREST, HILLS, MOUNTAIN, SPARSE                              | stronghold                 |
|  97 | biomesoplenty:redwood_forest_edge          | RedwoodForestEdge             |  0.70 | MEDIUM   | 0.70 | false | false   |            | DENSE, FOREST                                                     | stronghold                 |
|  98 | biomesoplenty:pasture                      | Pasture                       |  0.80 | MEDIUM   | 0.30 | false | false   |            | DRY, PLAINS, SPARSE                                               | spawn                      |
|  99 | biomesoplenty:glacier                      | Glacier                       | -0.50 | COLD     | 0.20 | false | false   |            | COLD, SNOWY, WASTELAND                                            | stronghold                 |
| 100 | biomesoplenty:oasis                        | Oasis                         |  2.00 | WARM     | 0.50 | false | false   |            | HOT, JUNGLE, LUSH, SANDY, SPARSE, WET                             |                            |
| 101 | biomesoplenty:snowy_tundra                 | SnowyTundra                   |  0.00 | COLD     | 0.50 | false | false   |            | COLD, DEAD, SNOWY, SPARSE, WASTELAND, WET                         |                            |
| 102 | biomesoplenty:coral_reef                   | Coral Reef                    |  0.50 | MEDIUM   | 0.50 | false | false   |            | OCEAN, WATER                                                      |                            |
| 103 | biomesoplenty:kelp_forest                  | Kelp Forest                   |  0.50 | MEDIUM   | 0.50 | false | false   |            | OCEAN, WATER                                                      |                            |
| 104 | biomesoplenty:origin_island                | Origin Island                 |  0.60 | MEDIUM   | 0.60 | false | false   |            | FOREST, RARE, WATER                                               | spawn                      |
| 105 | biomesoplenty:tropical_island              | Tropical Island               |  0.95 | MEDIUM   | 1.00 | false | false   |            | DENSE, JUNGLE, LUSH, WATER, WET                                   | spawn                      |
| 106 | biomesoplenty:volcanic_island              | Volcanic Island               |  1.20 | WARM     | 0.20 | false | false   |            | DEAD, DRY, HOT, MOUNTAIN, WASTELAND, WATER                        | stronghold                 |
| 107 | biomesoplenty:flower_island                | Flower Island                 |  0.80 | MEDIUM   | 0.80 | false | false   |            | DENSE, LUSH, MAGICAL, PLAINS, WATER                               | stronghold                 |
| 108 | biomesoplenty:corrupted_sands              | Corrupted Sands               |  2.00 | WARM     | 0.00 | false | false   |            | DENSE, DRY, HOT, NETHER, SANDY                                    | stronghold                 |
| 109 | biomesoplenty:fungi_forest                 | Fungi Forest                  |  2.00 | WARM     | 0.00 | false | false   |            | DENSE, HOT, MUSHROOM, NETHER                                      | stronghold                 |
| 110 | biomesoplenty:phantasmagoric_inferno       | Phantasmagoric Inferno        |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, MAGICAL, NETHER, SPOOKY, WASTELAND                      | stronghold                 |
| 111 | biomesoplenty:undergarden                  | Undergarden                   |  2.00 | WARM     | 0.00 | false | false   |            | HOT, LUSH, NETHER                                                 | stronghold                 |
| 112 | biomesoplenty:visceral_heap                | Visceral Heap                 |  2.00 | WARM     | 0.00 | false | false   |            | HOT, NETHER, WET                                                  | stronghold                 |
| 113 | atum:dead_oasis                            | Dead Oasis                    |  2.00 | WARM     | 0.00 | false | false   |            | ATUM, DEAD, DRY, HOT, RARE, SANDY, SPARSE                         | stronghold                 |
| 114 | atum:deadwood_forest                       | Deadwood Forest               |  2.00 | WARM     | 0.00 | false | false   |            | ATUM, DRY, FOREST, HOT, SANDY, SPARSE                             | stronghold                 |
| 115 | atum:dried_river                           | Dried River                   |  2.00 | WARM     | 0.00 | false | false   |            | ATUM, DRY, HOT, RIVER, SANDY, SPARSE, WATER                       |                            |
| 116 | atum:limestone_crags                       | Limestone Crags               |  2.00 | WARM     | 0.00 | false | false   |            | ATUM, DRY, HILLS, HOT, RARE, SANDY, SPARSE                        | stronghold                 |
| 117 | atum:limestone_mountains                   | Limestone Mountains           |  2.00 | WARM     | 0.00 | false | false   |            | ATUM, DRY, HOT, MOUNTAIN, SANDY, SPARSE                           | stronghold                 |
| 118 | atum:oasis                                 | Oasis                         |  2.00 | WARM     | 0.00 | false | false   |            | LUSH, OASIS, RARE, WET                                            | stronghold                 |
| 119 | atum:sand_dunes                            | Sand Dunes                    |  2.00 | WARM     | 0.00 | false | false   |            | ATUM, DRY, HILLS, HOT, SANDY, SPARSE                              | stronghold                 |
| 120 | atum:sand_hills                            | Sand Hills                    |  2.00 | WARM     | 0.00 | false | false   |            | ATUM, DRY, HILLS, HOT, SANDY, SPARSE                              | stronghold                 |
| 121 | atum:sand_plains                           | Sand Plains                   |  2.00 | WARM     | 0.00 | false | false   |            | ATUM, DRY, HOT, PLAINS, SANDY, SPARSE                             | stronghold                 |
| 122 | twilightforest:twilight_lake               | Twilight Lake                 |  0.66 | MEDIUM   | 1.00 | false | false   |            | OCEAN, TWILIGHT, WATER                                            |                            |
| 123 | twilightforest:twilight_forest             | Twilight Forest               |  0.50 | MEDIUM   | 0.50 | false | false   |            | FOREST, TWILIGHT                                                  | stronghold                 |
| 124 | twilightforest:dense_twilight_forest       | Dense Twilight Forest         |  0.70 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, TWILIGHT                                           | stronghold                 |
| 125 | twilightforest:twilight_highlands          | Twilight Highlands            |  0.40 | MEDIUM   | 0.70 | false | false   |            | CONIFEROUS, FOREST, MOUNTAIN, TWILIGHT                            | stronghold                 |
| 126 | twilightforest:mushroom_forest             | Mushroom Forest               |  0.80 | MEDIUM   | 0.80 | false | false   |            | FOREST, MUSHROOM, TWILIGHT                                        | stronghold                 |
| 127 | minecraft:void                             | The Void                      |  0.50 | MEDIUM   | 0.50 | false | false   |            | VOID                                                              | stronghold                 |
| 128 | twilightforest:twilight_swamp              | Twilight Swamp                |  0.80 | MEDIUM   | 0.90 | false | false   |            | SWAMP, TWILIGHT, WET                                              |                            |
| 129 | minecraft:mutated_plains                   | Sunflower Plains              |  0.80 | MEDIUM   | 0.40 | false | false   |            | PLAINS, RARE                                                      | stronghold                 |
| 130 | minecraft:mutated_desert                   | Desert M                      |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, RARE, SANDY                                             | stronghold                 |
| 131 | minecraft:mutated_extreme_hills            | Extreme Hills M               |  0.20 | MEDIUM   | 0.30 | false | false   |            | MOUNTAIN, RARE, SPARSE                                            | stronghold                 |
| 132 | minecraft:mutated_forest                   | Flower Forest                 |  0.70 | MEDIUM   | 0.80 | false | false   |            | FOREST, HILLS, RARE                                               | stronghold                 |
| 133 | minecraft:mutated_taiga                    | Taiga M                       |  0.25 | MEDIUM   | 0.80 | false | false   |            | COLD, CONIFEROUS, FOREST, MOUNTAIN, RARE                          | stronghold                 |
| 134 | minecraft:mutated_swampland                | Swampland M                   |  0.80 | MEDIUM   | 0.90 | false | false   |            | HILLS, RARE, SWAMP, WET                                           |                            |
| 135 | twilightforest:twilight_stream             | Twilight Stream               |  0.50 | MEDIUM   | 0.10 | false | false   |            | RIVER, TWILIGHT, WATER                                            |                            |
| 136 | twilightforest:snowy_forest                | Snowy Forest                  |  0.09 | COLD     | 0.90 |  true | false   |            | COLD, CONIFEROUS, FOREST, SNOWY, TWILIGHT                         | stronghold                 |
| 137 | twilightforest:twilight_glacier            | Twilight Glacier              |  0.00 | COLD     | 0.10 |  true | false   |            | COLD, SNOWY, TWILIGHT, WASTELAND                                  | stronghold                 |
| 138 | twilightforest:twilight_clearing           | Twilight Clearing             |  0.80 | MEDIUM   | 0.40 | false | false   |            | PLAINS, SPARSE, TWILIGHT                                          | stronghold                 |
| 139 | twilightforest:oak_savannah                | Oak Savanna                   |  0.90 | MEDIUM   | 0.00 | false | false   |            | FOREST, SPARSE, TWILIGHT                                          | stronghold                 |
| 140 | minecraft:mutated_ice_flats                | Ice Plains Spikes             |  0.00 | COLD     | 0.50 |  true | false   |            | COLD, HILLS, RARE, SNOWY                                          | stronghold                 |
| 141 | twilightforest:firefly_forest              | Firefly Forest                |  0.50 | MEDIUM   | 1.00 | false | false   |            | FOREST, LUSH, TWILIGHT                                            | stronghold                 |
| 142 | twilightforest:deep_mushroom_forest        | Deep Mushroom Forest          |  0.80 | MEDIUM   | 1.00 | false | false   |            | FOREST, MUSHROOM, TWILIGHT                                        | stronghold                 |
| 143 | twilightforest:dark_forest                 | Dark Forest                   |  0.70 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, SPOOKY, TWILIGHT                                   | stronghold                 |
| 144 | twilightforest:enchanted_forest            | Enchanted Forest              |  0.50 | MEDIUM   | 0.50 | false | false   |            | FOREST, MAGICAL, TWILIGHT                                         | stronghold                 |
| 145 | twilightforest:fire_swamp                  | Fire Swamp                    |  1.00 | WARM     | 0.40 | false | false   |            | HOT, SWAMP, TWILIGHT, WASTELAND                                   | stronghold                 |
| 146 | twilightforest:dark_forest_center          | Dark Forest Center            |  0.50 | MEDIUM   | 0.50 | false | false   |            | DENSE, FOREST, MAGICAL, SPOOKY, TWILIGHT                          | stronghold                 |
| 147 | twilightforest:highlands_center            | Final Plateau                 |  0.30 | MEDIUM   | 0.20 | false | false   |            | DEAD, DRY, MESA, TWILIGHT, WASTELAND                              | stronghold                 |
| 148 | twilightforest:thornlands                  | Thornlands                    |  0.30 | MEDIUM   | 0.20 | false | false   |            | DEAD, DRY, HILLS, TWILIGHT, WASTELAND                             | stronghold                 |
| 149 | minecraft:mutated_jungle                   | Jungle M                      |  0.95 | MEDIUM   | 0.90 | false | false   |            | DENSE, HOT, JUNGLE, MOUNTAIN, RARE, WET                           | stronghold                 |
| 150 | twilightforest:spooky_forest               | Spooky Forest                 |  0.50 | MEDIUM   | 1.00 | false | false   |            | DEAD, DENSE, FOREST, SPOOKY, TWILIGHT                             | stronghold                 |
| 151 | minecraft:mutated_jungle_edge              | JungleEdge M                  |  0.95 | MEDIUM   | 0.80 | false | false   |            | HILLS, HOT, JUNGLE, RARE, SPARSE                                  | stronghold                 |
| 152 | galacticraftcore:outer space               | Space                         |  0.50 | MEDIUM   | 0.00 | false | false   |            | DEAD, DRY, SPARSE, SPOOKY                                         | stronghold                 |
| 153 | galacticraftplanets:outer space 1          | Venus Mountain                |  4.00 | WARM     | 0.00 | false | false   |            | DEAD, DRY, HOT, SANDY                                             | stronghold                 |
| 154 | galacticraftplanets:outer space 2          | Venus Valley                  |  4.00 | WARM     | 0.00 | false | false   |            | DEAD, DRY, HOT, SANDY                                             |                            |
| 155 | minecraft:mutated_birch_forest             | Birch Forest M                |  0.60 | MEDIUM   | 0.60 | false | false   |            | DENSE, FOREST, HILLS, RARE, SUPER_BIRCH_TREES, THEMED_TREES       | stronghold                 |
| 156 | minecraft:mutated_birch_forest_hills       | Birch Forest Hills M          |  0.60 | MEDIUM   | 0.60 | false | false   |            | DENSE, FOREST, MOUNTAIN, RARE, SUPER_BIRCH_TREES, THEMED_TREES    | stronghold                 |
| 157 | minecraft:mutated_roofed_forest            | Roofed Forest M               |  0.70 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, MOUNTAIN, RARE, SPOOKY                             | stronghold                 |
