+---------------------+----------------------------------+----------------------------------+----+-------------------------+--------+---------------+
| Mod name            | Registry name                    | Potion Name                      | ID | Liquid color            | Is bad | Is beneficial |
| Tinkers' Construct  | tconstruct:dot                   | potion.dot                       | 46 | 0x00FFFFFF (  16777215) |   true |         false |
| Tinkers' Construct  | tconstruct:enderference          | potion.enderference              | 42 | 0x0021985F (   2201695) |   true |         false |
| Tinkers' Construct  | tconstruct:insatiable            | potion.insatiable                | 43 | 0x00FFFFFF (  16777215) |   true |         false |
| Tinkers' Construct  | tconstruct:magnetic              | potion.magnetic                  | 44 | 0x00FFFFFF (  16777215) |  false |         false |
| Tinkers' Construct  | tconstruct:momentum              | potion.momentum                  | 45 | 0x00FFFFFF (  16777215) |  false |         false |
| Tinkers' Construct  | tconstruct:splinter              | potion.splinter                  | 47 | 0x00FFFFFF (  16777215) |   true |         false |
| Tough As Nails      | toughasnails:cold_resistance     | potion.cold_resistance           | 32 | 0x0077A9FF (   7842303) |  false |          true |
| Tough As Nails      | toughasnails:heat_resistance     | potion.heat_resistance           | 33 | 0x00E54720 (  15025952) |  false |          true |
| Tough As Nails      | toughasnails:hydration           | potion.hydration                 | 34 | 0x001B5FD3 (   1794003) |  false |          true |
| Tough As Nails      | toughasnails:hyperthermia        | potion.hyperthermia              | 30 | 0x00FFA300 (  16753408) |   true |         false |
| Tough As Nails      | toughasnails:hypothermia         | potion.hypothermia               | 29 | 0x00A8CFFF (  11063295) |   true |         false |
| Tough As Nails      | toughasnails:thirst              | potion.thirst                    | 31 | 0x0061D51A (   6411546) |   true |         false |
+---------------------+----------------------------------+----------------------------------+----+-------------------------+--------+---------------+
| Mod name            | Registry name                    | Potion Name                      | ID | Liquid color            | Is bad | Is beneficial |
+---------------------+----------------------------------+----------------------------------+----+-------------------------+--------+---------------+
