+-----+--------------------------------------------+-------------------------------+-------+----------+------+-------+---------+------------+-------------------------------------------------------------------+----------------------------+-------------------------+-------------------------+-------------------------+
|  ID | Registry name                              | Biome name                    | temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                                              | Valid for                  | waterColorMultiplier    | grassColorMultiplier    | foliageColorMultiplier  |
|  70 | biomesoplenty:moor                         | Moor                          |  0.60 | MEDIUM   | 1.00 | false | false   |            | HILLS, SWAMP, WET                                                 | stronghold                 | 0x00588276 (   5800566) | 0xFF75BF61 (  -9060511) | 0xFF53AE39 ( -11293127) |
|  71 | biomesoplenty:mountain                     | Mountain                      |  0.50 | MEDIUM   | 0.10 | false | false   |            | DRY, FOREST, MOUNTAIN, SPARSE                                     | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF9CB774 (  -6506636) | 0xFF83A352 (  -8150190) |
|  72 | biomesoplenty:mystic_grove                 | Mystic Grove                  |  0.70 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, LUSH, MAGICAL, RARE, WET                           |                            | 0x00FF107A (  16715898) | 0xFF79C05A (  -8798118) | 0xFF59AE30 ( -10899920) |
|  73 | biomesoplenty:ominous_woods                | Ominous Woods                 |  0.60 | MEDIUM   | 0.60 | false | false   |            | DEAD, DENSE, FOREST, MAGICAL, RARE, SPOOKY, WET                   | stronghold                 | 0x001E1B26 (   1973030) | 0xFF88BB66 (  -7816346) | 0xFF6BA940 (  -9721536) |
|  74 | biomesoplenty:orchard                      | Orchard                       |  0.70 | MEDIUM   | 0.70 | false | false   |            | DENSE, FOREST, LUSH, PLAINS                                       | spawn, village             | 0x00FFFFFF (  16777215) | 0xFF7FBF5C (  -8405156) | 0xFF60AE33 ( -10441165) |
|  75 | biomesoplenty:outback                      | Outback                       |  2.00 | WARM     | 0.05 | false | false   |            | DRY, HOT, SANDY, SAVANNA, SPARSE                                  | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0xFFB9B953 (  -4605613) | 0xFFA7A529 (  -5790423) |
|  76 | biomesoplenty:overgrown_cliffs             | Overgrown Cliffs              |  0.95 | MEDIUM   | 0.75 | false | false   |            | DENSE, HILLS, JUNGLE, LUSH, MOUNTAIN, WET                         | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF6AC640 (  -9779648) | 0xFF45B611 ( -12208623) |
|  77 | biomesoplenty:prairie                      | Prairie                       |  0.80 | MEDIUM   | 0.30 | false | false   |            | DRY, PLAINS, SPARSE                                               | spawn, village             | 0x00FFFFFF (  16777215) | 0xFF99BB5B (  -6702245) | 0xFF81A932 (  -8279758) |
|  78 | biomesoplenty:quagmire                     | Quagmire                      |  0.60 | MEDIUM   | 0.90 | false | false   |            | DEAD, SWAMP, WASTELAND, WET                                       |                            | 0x00CC5100 (  13390080) | 0xFF7ABE62 (  -8733086) | 0xFF59AD3B ( -10900165) |
|  79 | biomesoplenty:rainforest                   | Rainforest                    |  0.95 | MEDIUM   | 1.20 | false | false   |            | DENSE, FOREST, HILLS, JUNGLE, LUSH, WET                           | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF4ECB39 ( -11613383) | 0xFF23BD07 ( -14435065) |
|  80 | biomesoplenty:redwood_forest               | RedwoodForest                 |  0.70 | MEDIUM   | 0.70 | false | false   |            | DENSE, FOREST                                                     | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF7FBF5C (  -8405156) | 0xFF60AE33 ( -10441165) |
|  81 | biomesoplenty:sacred_springs               | Sacred Springs                |  0.85 | MEDIUM   | 0.90 | false | false   |            | DENSE, FOREST, JUNGLE, LUSH, MAGICAL, RARE, WET                   |                            | 0x00FFFFFF (  16777215) | 0xFF64C647 ( -10172857) | 0xFF3EB61A ( -12667366) |
|  82 | biomesoplenty:seasonal_forest              | Seasonal Forest               |  0.40 | MEDIUM   | 0.80 | false | false   |            | COLD, DENSE, FOREST                                               | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0xFF85B976 (  -8013450) | 0xFF67A754 (  -9984172) |
|  83 | biomesoplenty:shield                       | Shield                        |  0.40 | MEDIUM   | 0.80 | false | false   |            | COLD, DENSE, FOREST, WET                                          | spawn                      | 0x00FFFFFF (  16777215) | 0xFF85B976 (  -8013450) | 0xFF67A754 (  -9984172) |
|  84 | biomesoplenty:shrubland                    | Shrubland                     |  0.60 | MEDIUM   | 0.05 | false | false   |            | DRY, PLAINS, SPARSE                                               | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0xFFA4B76E (  -5982354) | 0xFF8CA44A (  -7560118) |
|  85 | biomesoplenty:snowy_coniferous_forest      | Snowy Coniferous Forest       | -0.25 | COLD     | 0.50 |  true | false   |            | COLD, CONIFEROUS, DENSE, FOREST, SNOWY                            | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
|  86 | biomesoplenty:snowy_forest                 | Snowy Forest                  | -0.25 | COLD     | 0.50 |  true | false   |            | COLD, FOREST, SNOWY, SPARSE, WET                                  | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
|  87 | biomesoplenty:steppe                       | Steppe                        |  0.75 | MEDIUM   | 0.10 | false | false   |            | DRY, PLAINS, SANDY                                                | stronghold, village        | 0x00FFFFFF (  16777215) | 0xFFA8B863 (  -5719965) | 0xFF92A53C (  -7166660) |
|  88 | biomesoplenty:temperate_rainforest         | Temperate Rainforest          |  0.75 | MEDIUM   | 1.20 | false | false   |            | DENSE, FOREST, LUSH, WET                                          | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFF67C450 (  -9976752) | 0xFF41B524 ( -12471004) |
|  89 | biomesoplenty:tropical_rainforest          | Tropical Rainforest           |  1.00 | WARM     | 1.00 | false | false   |            | DENSE, HOT, JUNGLE, LUSH, WET                                     | stronghold                 | 0x005DFF00 (   6160128) | 0xFF47CD33 ( -12071629) | 0xFF1ABF00 ( -15024384) |
|  90 | biomesoplenty:tundra                       | Tundra                        |  0.20 | MEDIUM   | 0.50 | false | false   |            | COLD, DEAD, SPARSE, WASTELAND, WET                                |                            | 0x00FFFFFF (  16777215) | 0xFF88B688 (  -7817592) | 0xFF6BA36A (  -9723030) |
|  91 | biomesoplenty:wasteland                    | Wasteland                     |  2.00 | WARM     | 0.00 | false | false   |            | DEAD, DRY, SPARSE, WASTELAND                                      | stronghold                 | 0x00CC5100 (  13390080) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
|  92 | biomesoplenty:wetland                      | Wetland                       |  0.60 | MEDIUM   | 0.70 | false | false   |            | DENSE, FOREST, LUSH, SWAMP, WET                                   | spawn                      | 0x00636084 (   6512772) | 0xFF83BD65 (  -8143515) | 0xFF65AB3E ( -10114242) |
|  93 | biomesoplenty:woodland                     | Woodland                      |  0.70 | MEDIUM   | 0.50 | false | false   |            | DENSE, DRY, FOREST                                                | spawn, village             | 0x00FFFFFF (  16777215) | 0xFF8CBD5F (  -7553697) | 0xFF70AB38 (  -9393352) |
|  94 | biomesoplenty:xeric_shrubland              | Xeric Shrubland               |  1.75 | WARM     | 0.10 | false | false   |            | DRY, HOT, LUSH, SANDY, SAVANNA, SPARSE                            | village                    | 0x00FFFFFF (  16777215) | 0xFFB2B952 (  -5064366) | 0xFF9FA726 (  -6314202) |
|  95 | biomesoplenty:alps_foothills               | AlpsFoothills                 | -0.25 | COLD     | 0.30 |  true | false   |            | COLD, DRY, FOREST, MOUNTAIN, SNOWY, SPARSE                        | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
|  96 | biomesoplenty:mountain_foothills           | MountainFoothills             |  0.50 | MEDIUM   | 0.10 | false | false   |            | DRY, FOREST, HILLS, MOUNTAIN, SPARSE                              | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF9CB774 (  -6506636) | 0xFF83A352 (  -8150190) |
|  97 | biomesoplenty:redwood_forest_edge          | RedwoodForestEdge             |  0.70 | MEDIUM   | 0.70 | false | false   |            | DENSE, FOREST                                                     | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF7FBF5C (  -8405156) | 0xFF60AE33 ( -10441165) |
