+----------------------+----------------------------------------------+---------+----------+----------+--------------------------+------------+----------------------------------------------------+
| *** WARNING ***                                                                                                                                                                                  |
| The block and item IDs are dynamic and will be different on each world!                                                                                                                          |
| DO NOT use them for anything "proper"!! (other than manual editing/fixing of raw world data or something)                                                                                        |
| *** ALSO ***                                                                                                                                                                                     |
| The server doesn't have a list of sub block and sub items                                                                                                                                        |
| (= items with different damage value or blocks with different metadata).                                                                                                                         |
| That is why the block and item list dumps only contain one entry per block/item class (separate ID) when run on a server.                                                                        |
+----------------------+----------------------------------------------+---------+----------+----------+--------------------------+------------+----------------------------------------------------+
| Mod name             | Registry name                                | Item ID | Meta/dmg | Subtypes | Display name             | Plant Type | Ore Dict keys                                      |
| Minecraft            | minecraft:potato                             |     392 |        0 |    false | Potato                   | Crop       | cropPotato,listAllveggie                           |
| Minecraft            | minecraft:pumpkin_seeds                      |     361 |        0 |    false | Pumpkin Seeds            | Crop       | listAllseed,seed                                   |
| Minecraft            | minecraft:wheat_seeds                        |     295 |        0 |    false | Seeds                    | Crop       | listAllseed,seed                                   |
| Mystical Agriculture | mysticalagriculture:aluminum_brass_seeds     |    8310 |        0 |    false | Aluminum Brass Seeds     | Crop       | seedsTier2                                         |
| Mystical Agriculture | mysticalagriculture:aluminum_seeds           |    8294 |        0 |    false | Aluminum Seeds           | Crop       | seedsTier2                                         |
| Mystical Agriculture | mysticalagriculture:amber_seeds              |    8306 |        0 |    false | Amber Seeds              | Crop       | seedsTier4                                         |
| Mystical Agriculture | mysticalagriculture:ardite_seeds             |    8312 |        0 |    false | Ardite Seeds             | Crop       | seedsTier3                                         |
| Mystical Agriculture | mysticalagriculture:basalt_seeds             |    8330 |        0 |    false | Basalt Seeds             | Crop       | seedsTier2                                         |
| Mystical Agriculture | mysticalagriculture:blaze_seeds              |    8288 |        0 |    false | Blaze Seeds              | Crop       | seedsTier4                                         |
| Mystical Agriculture | mysticalagriculture:bronze_seeds             |    8298 |        0 |    false | Bronze Seeds             | Crop       | seedsTier3                                         |
| Mystical Agriculture | mysticalagriculture:chicken_seeds            |    8279 |        0 |    false | Chicken Seeds            | Crop       | seedsTier2                                         |
| Mystical Agriculture | mysticalagriculture:coal_seeds               |    8265 |        0 |    false | Coal Seeds               | Crop       | seedsTier2                                         |
| Mystical Agriculture | mysticalagriculture:cobalt_seeds             |    8313 |        0 |    false | Cobalt Seeds             | Crop       | seedsTier4                                         |
| Mystical Agriculture | mysticalagriculture:conductive_iron_seeds    |    8318 |        0 |    false | Conductive Iron Seeds    | Crop       | seedsTier3                                         |
| Mystical Agriculture | mysticalagriculture:copper_seeds             |    8295 |        0 |    false | Copper Seeds             | Crop       | seedsTier2                                         |
| Mystical Agriculture | mysticalagriculture:cow_seeds                |    8280 |        0 |    false | Cow Seeds                | Crop       | seedsTier2                                         |
| Mystical Agriculture | mysticalagriculture:creeper_seeds            |    8284 |        0 |    false | Creeper Seeds            | Crop       | seedsTier3                                         |
| Mystical Agriculture | mysticalagriculture:dark_steel_seeds         |    8320 |        0 |    false | Dark Steel Seeds         | Crop       | seedsTier4                                         |
| Mystical Agriculture | mysticalagriculture:desh_seeds               |    8336 |        0 |    false | Desh Seeds               | Crop       | seedsTier5                                         |
| Mystical Agriculture | mysticalagriculture:diamond_seeds            |    8275 |        0 |    false | Diamond Seeds            | Crop       | seedsTier5                                         |
| Mystical Agriculture | mysticalagriculture:dirt_seeds               |    8257 |        0 |    false | Dirt Seeds               | Crop       | seedsTier1                                         |
| Mystical Agriculture | mysticalagriculture:dye_seeds                |    8263 |        0 |    false | Dye Seeds                | Crop       | seedsTier2                                         |
| Mystical Agriculture | mysticalagriculture:electrical_steel_seeds   |    8316 |        0 |    false | Electrical Steel Seeds   | Crop       | seedsTier3                                         |
| Mystical Agriculture | mysticalagriculture:emerald_seeds            |    8276 |        0 |    false | Emerald Seeds            | Crop       | seedsTier5                                         |
| Mystical Agriculture | mysticalagriculture:end_seeds                |    8273 |        0 |    false | End Seeds                | Crop       | seedsTier4                                         |
| Mystical Agriculture | mysticalagriculture:end_steel_seeds          |    8324 |        0 |    false | End Steel Seeds          | Crop       | seedsTier5                                         |
| Mystical Agriculture | mysticalagriculture:ender_amethyst_seeds     |    8338 |        0 |    false | Ender Amethyst Seeds     | Crop       | seedsTier5                                         |
| Mystical Agriculture | mysticalagriculture:ender_biotite_seeds      |    8337 |        0 |    false | Ender Biotite Seeds      | Crop       | seedsTier3                                         |
| Mystical Agriculture | mysticalagriculture:enderman_seeds           |    8290 |        0 |    false | Enderman Seeds           | Crop       | seedsTier4                                         |
| Mystical Agriculture | mysticalagriculture:energetic_alloy_seeds    |    8322 |        0 |    false | Energetic Alloy Seeds    | Crop       | seedsTier4                                         |
| Mystical Agriculture | mysticalagriculture:experience_seeds         |    8274 |        0 |    false | Experience Seeds         | Crop       | seedsTier4                                         |
| Mystical Agriculture | mysticalagriculture:fiery_ingot_seeds        |    8334 |        0 |    false | Fiery Ingot Seeds        | Crop       | seedsTier4                                         |
| Mystical Agriculture | mysticalagriculture:fire_seeds               |    8262 |        0 |    false | Fire Seeds               | Crop       | seedsTier2                                         |
| Mystical Agriculture | mysticalagriculture:ghast_seeds              |    8289 |        0 |    false | Ghast Seeds              | Crop       | seedsTier4                                         |
| Mystical Agriculture | mysticalagriculture:glowstone_ingot_seeds    |    8326 |        0 |    false | Glowstone Ingot Seeds    | Crop       | seedsTier4                                         |
| Mystical Agriculture | mysticalagriculture:glowstone_seeds          |    8268 |        0 |    false | Glowstone Seeds          | Crop       | seedsTier3                                         |
| Mystical Agriculture | mysticalagriculture:gold_seeds               |    8271 |        0 |    false | Gold Seeds               | Crop       | seedsTier4                                         |
| Mystical Agriculture | mysticalagriculture:grains_of_infinity_seeds |    8315 |        0 |    false | Grains of Infinity Seeds | Crop       | seedsTier2                                         |
| Mystical Agriculture | mysticalagriculture:graphite_seeds           |    8300 |        0 |    false | Graphite Seeds           | Crop       | seedsTier3                                         |
| Mystical Agriculture | mysticalagriculture:guardian_seeds           |    8287 |        0 |    false | Guardian Seeds           | Crop       | seedsTier3                                         |
| Mystical Agriculture | mysticalagriculture:ice_seeds                |    8261 |        0 |    false | Ice Seeds                | Crop       | seedsTier1                                         |
| Mystical Agriculture | mysticalagriculture:iron_seeds               |    8266 |        0 |    false | Iron Seeds               | Crop       | seedsTier3                                         |
| Mystical Agriculture | mysticalagriculture:ironwood_seeds           |    8332 |        0 |    false | Ironwood Seeds           | Crop       | seedsTier3                                         |
| Mystical Agriculture | mysticalagriculture:knightmetal_seeds        |    8333 |        0 |    false | Knightmetal Seeds        | Crop       | seedsTier4                                         |
| Mystical Agriculture | mysticalagriculture:knightslime_seeds        |    8311 |        0 |    false | Knightslime Seeds        | Crop       | seedsTier3                                         |
| Mystical Agriculture | mysticalagriculture:lapis_lazuli_seeds       |    8272 |        0 |    false | Lapis Lazuli Seeds       | Crop       | seedsTier4                                         |
| Mystical Agriculture | mysticalagriculture:lead_seeds               |    8299 |        0 |    false | Lead Seeds               | Crop       | seedsTier3                                         |
| Mystical Agriculture | mysticalagriculture:limestone_seeds          |    8329 |        0 |    false | Limestone Seeds          | Crop       | seedsTier2                                         |
| Mystical Agriculture | mysticalagriculture:malachite_seeds          |    8308 |        0 |    false | Malachite Seeds          | Crop       | seedsTier4                                         |
| Mystical Agriculture | mysticalagriculture:manyullyn_seeds          |    8314 |        0 |    false | Manyullyn Seeds          | Crop       | seedsTier5                                         |
| Mystical Agriculture | mysticalagriculture:marble_seeds             |    8328 |        0 |    false | Marble Seeds             | Crop       | seedsTier2                                         |
| Mystical Agriculture | mysticalagriculture:meteoric_iron_seeds      |    8335 |        0 |    false | Meteoric Iron Seeds      | Crop       | seedsTier4                                         |
| Mystical Agriculture | mysticalagriculture:nature_seeds             |    8258 |        0 |    false | Nature Seeds             | Crop       | seedsTier1                                         |
| Mystical Agriculture | mysticalagriculture:nether_quartz_seeds      |    8267 |        0 |    false | Nether Quartz Seeds      | Crop       | seedsTier3                                         |
| Mystical Agriculture | mysticalagriculture:nether_seeds             |    8264 |        0 |    false | Nether Seeds             | Crop       | seedsTier2                                         |
| Mystical Agriculture | mysticalagriculture:obsidian_seeds           |    8270 |        0 |    false | Obsidian Seeds           | Crop       | seedsTier3                                         |
| Mystical Agriculture | mysticalagriculture:osmium_seeds             |    8325 |        0 |    false | Osmium Seeds             | Crop       | seedsTier4                                         |
| Mystical Agriculture | mysticalagriculture:peridot_seeds            |    8305 |        0 |    false | Peridot Seeds            | Crop       | seedsTier4                                         |
| Mystical Agriculture | mysticalagriculture:pig_seeds                |    8278 |        0 |    false | Pig Seeds                | Crop       | seedsTier2                                         |
| Mystical Agriculture | mysticalagriculture:pulsating_iron_seeds     |    8321 |        0 |    false | Pulsating Iron Seeds     | Crop       | seedsTier4                                         |
| Mystical Agriculture | mysticalagriculture:rabbit_seeds             |    8286 |        0 |    false | Rabbit Seeds             | Crop       | seedsTier3                                         |
| Mystical Agriculture | mysticalagriculture:redstone_alloy_seeds     |    8317 |        0 |    false | Redstone Alloy Seeds     | Crop       | seedsTier3                                         |
| Mystical Agriculture | mysticalagriculture:redstone_seeds           |    8269 |        0 |    false | Redstone Seeds           | Crop       | seedsTier3                                         |
| Mystical Agriculture | mysticalagriculture:refined_obsidian_seeds   |    8327 |        0 |    false | Refined Obsidian Seeds   | Crop       | seedsTier5                                         |
| Mystical Agriculture | mysticalagriculture:ruby_seeds               |    8303 |        0 |    false | Ruby Seeds               | Crop       | seedsTier4                                         |
| Mystical Agriculture | mysticalagriculture:saltpeter_seeds          |    8296 |        0 |    false | Saltpeter Seeds          | Crop       | seedsTier3                                         |
| Mystical Agriculture | mysticalagriculture:sapphire_seeds           |    8304 |        0 |    false | Sapphire Seeds           | Crop       | seedsTier4                                         |
| Mystical Agriculture | mysticalagriculture:sheep_seeds              |    8281 |        0 |    false | Sheep Seeds              | Crop       | seedsTier2                                         |
| Mystical Agriculture | mysticalagriculture:silicon_seeds            |    8292 |        0 |    false | Silicon Seeds            | Crop       | seedsTier2                                         |
| Mystical Agriculture | mysticalagriculture:skeleton_seeds           |    8283 |        0 |    false | Skeleton Seeds           | Crop       | seedsTier3                                         |
| Mystical Agriculture | mysticalagriculture:slime_seeds              |    8282 |        0 |    false | Slime Seeds              | Crop       | seedsTier2                                         |
| Mystical Agriculture | mysticalagriculture:soularium_seeds          |    8319 |        0 |    false | Soularium Seeds          | Crop       | seedsTier4                                         |
| Mystical Agriculture | mysticalagriculture:spider_seeds             |    8285 |        0 |    false | Spider Seeds             | Crop       | seedsTier3                                         |
| Mystical Agriculture | mysticalagriculture:steel_seeds              |    8301 |        0 |    false | Steel Seeds              | Crop       | seedsTier4                                         |
| Mystical Agriculture | mysticalagriculture:steeleaf_seeds           |    8331 |        0 |    false | Steeleaf Seeds           | Crop       | seedsTier3                                         |
| Mystical Agriculture | mysticalagriculture:stone_seeds              |    8256 |        0 |    false | Stone Seeds              | Crop       | seedsTier1                                         |
| Mystical Agriculture | mysticalagriculture:sulfur_seeds             |    8293 |        0 |    false | Sulfur Seeds             | Crop       | seedsTier2                                         |
| Mystical Agriculture | mysticalagriculture:tanzanite_seeds          |    8309 |        0 |    false | Tanzanite Seeds          | Crop       | seedsTier4                                         |
| Mystical Agriculture | mysticalagriculture:tier1_inferium_seeds     |    8251 |        0 |    false | Inferium Seeds           | Crop       |                                                    |
| Mystical Agriculture | mysticalagriculture:tier2_inferium_seeds     |    8252 |        0 |    false | Inferium Seeds           | Crop       |                                                    |
| Mystical Agriculture | mysticalagriculture:tier3_inferium_seeds     |    8253 |        0 |    false | Inferium Seeds           | Crop       |                                                    |
| Mystical Agriculture | mysticalagriculture:tier4_inferium_seeds     |    8254 |        0 |    false | Inferium Seeds           | Crop       |                                                    |
| Mystical Agriculture | mysticalagriculture:tier5_inferium_seeds     |    8255 |        0 |    false | Inferium Seeds           | Crop       |                                                    |
| Mystical Agriculture | mysticalagriculture:tin_seeds                |    8297 |        0 |    false | Tin Seeds                | Crop       | seedsTier3                                         |
| Mystical Agriculture | mysticalagriculture:titanium_seeds           |    8302 |        0 |    false | Titanium Seeds           | Crop       | seedsTier5                                         |
| Mystical Agriculture | mysticalagriculture:topaz_seeds              |    8307 |        0 |    false | Topaz Seeds              | Crop       | seedsTier4                                         |
| Mystical Agriculture | mysticalagriculture:vibrant_alloy_seeds      |    8323 |        0 |    false | Vibrant Alloy Seeds      | Crop       | seedsTier5                                         |
| Mystical Agriculture | mysticalagriculture:water_seeds              |    8260 |        0 |    false | Water Seeds              | Crop       | seedsTier1                                         |
| Mystical Agriculture | mysticalagriculture:wither_skeleton_seeds    |    8291 |        0 |    false | Wither Skeleton Seeds    | Crop       | seedsTier5                                         |
| Mystical Agriculture | mysticalagriculture:wood_seeds               |    8259 |        0 |    false | Wood Seeds               | Crop       | seedsTier1                                         |
| Mystical Agriculture | mysticalagriculture:yellorium_seeds          |    8339 |        0 |    false | Yellorium Seeds          | Crop       | seedsTier5                                         |
| Mystical Agriculture | mysticalagriculture:zombie_seeds             |    8277 |        0 |    false | Zombie Seeds             | Crop       | seedsTier1                                         |
| Natura               | natura:overworld_seeds                       |    8469 |        0 |     true | Barley Seeds             | Crop       | listAllseed,seedBarley                             |
| Natura               | natura:overworld_seeds                       |    8469 |        1 |     true | Cotton Seeds             | Crop       | listAllseed,seedCotton                             |
| Natura               | natura:saguaro_fruit_item                    |    8472 |        0 |    false | Saguaro Fruit            | Crop       |                                                    |
| Pam's BrewCraft      | brewcraft:hopsitem                           |    8991 |        0 |    false | Hops                     | Crop       | cropHops                                           |
| Pam's BrewCraft      | brewcraft:hopsseeditem                       |    8992 |        0 |    false | Hops Seed                | Crop       | seedHops                                           |
| Pam's HarvestCraft   | harvestcraft:agaveitem                       |    9170 |        0 |    false | Agave                    | Crop       | cropAgave,listAllfruit                             |
| Pam's HarvestCraft   | harvestcraft:agaveseeditem                   |    9171 |        0 |    false | Agave Seed               | Crop       | listAllseed,seedAgave                              |
| Pam's HarvestCraft   | harvestcraft:amaranthitem                    |    9172 |        0 |    false | Amaranth                 | Crop       | cropAmaranth,listAllgrain                          |
| Pam's HarvestCraft   | harvestcraft:amaranthseeditem                |    9173 |        0 |    false | Amaranth Seed            | Crop       | listAllseed,seedAmaranth                           |
| Pam's HarvestCraft   | harvestcraft:arrowrootitem                   |    9174 |        0 |    false | Arrowroot                | Crop       | cropArrowroot,listAllveggie                        |
| Pam's HarvestCraft   | harvestcraft:arrowrootseeditem               |    9175 |        0 |    false | Arrowroot Seed           | Crop       | listAllseed,seedArrowroot                          |
| Pam's HarvestCraft   | harvestcraft:artichokeitem                   |    9120 |        0 |    false | Artichoke                | Crop       | cropArtichoke,listAllgreenveggie,listAllveggie     |
| Pam's HarvestCraft   | harvestcraft:artichokeseeditem               |    9121 |        0 |    false | Artichoke Seed           | Crop       | listAllseed,seedArtichoke                          |
| Pam's HarvestCraft   | harvestcraft:asparagusitem                   |    9058 |        0 |    false | Asparagus                | Crop       | cropAsparagus,listAllgreenveggie,listAllveggie     |
| Pam's HarvestCraft   | harvestcraft:asparagusseeditem               |    9059 |        0 |    false | Asparagus Seed           | Crop       | listAllseed,seedAsparagus                          |
| Pam's HarvestCraft   | harvestcraft:bambooshootitem                 |    9068 |        0 |    false | Bamboo Shoot             | Crop       | cropBambooshoot,listAllveggie                      |
| Pam's HarvestCraft   | harvestcraft:bambooshootseeditem             |    9069 |        0 |    false | Bamboo Shoot Seed        | Crop       | listAllseed,seedBambooshoot                        |
| Pam's HarvestCraft   | harvestcraft:barleyitem                      |    9060 |        0 |    false | Barley                   | Crop       | cropBarley,listAllgrain                            |
| Pam's HarvestCraft   | harvestcraft:barleyseeditem                  |    9061 |        0 |    false | Barley Seed              | Crop       | listAllseed,seedBarley                             |
| Pam's HarvestCraft   | harvestcraft:beanitem                        |    9130 |        0 |    false | Beans                    | Crop       | cropBean,listAllveggie                             |
| Pam's HarvestCraft   | harvestcraft:beanseeditem                    |    9131 |        0 |    false | Bean Seed                | Crop       | listAllseed,seedBean                               |
| Pam's HarvestCraft   | harvestcraft:beetitem                        |    9078 |        0 |    false | Beet                     | Crop       | cropBeet,listAllveggie                             |
| Pam's HarvestCraft   | harvestcraft:beetseeditem                    |    9079 |        0 |    false | Beet Seed                | Crop       | listAllseed,seedBeet                               |
| Pam's HarvestCraft   | harvestcraft:bellpepperitem                  |    9134 |        0 |    false | Bellpepper               | Crop       | cropBellpepper,listAllpepper,listAllveggie         |
| Pam's HarvestCraft   | harvestcraft:bellpepperseeditem              |    9135 |        0 |    false | Bellpepper Seed          | Crop       | listAllseed,seedBellpepper                         |
| Pam's HarvestCraft   | harvestcraft:blackberryitem                  |    9046 |        0 |    false | Blackberry               | Crop       | cropBlackberry,listAllberry,listAllfruit           |
| Pam's HarvestCraft   | harvestcraft:blackberryseeditem              |    9047 |        0 |    false | Blackberry Seed          | Crop       | listAllseed,seedBlackberry                         |
| Pam's HarvestCraft   | harvestcraft:blueberryitem                   |    9048 |        0 |    false | Blueberry                | Crop       | cropBlueberry,listAllberry,listAllfruit            |
| Pam's HarvestCraft   | harvestcraft:blueberryseeditem               |    9049 |        0 |    false | Blueberry Seed           | Crop       | listAllseed,seedBlueberry                          |
| Pam's HarvestCraft   | harvestcraft:broccoliitem                    |    9110 |        0 |    false | Broccoli                 | Crop       | cropBroccoli,listAllgreenveggie,listAllveggie      |
| Pam's HarvestCraft   | harvestcraft:broccoliseeditem                |    9111 |        0 |    false | Broccoli Seed            | Crop       | listAllseed,seedBroccoli                           |
| Pam's HarvestCraft   | harvestcraft:brusselsproutitem               |    9122 |        0 |    false | Brussel Sprout           | Crop       | cropBrusselsprout,listAllgreenveggie,listAllveggie |
| Pam's HarvestCraft   | harvestcraft:brusselsproutseeditem           |    9123 |        0 |    false | Brussel Sprout Seed      | Crop       | listAllseed,seedBrusselsprout                      |
| Pam's HarvestCraft   | harvestcraft:cabbageitem                     |    9124 |        0 |    false | Cabbage                  | Crop       | cropCabbage,listAllgreenveggie,listAllveggie       |
| Pam's HarvestCraft   | harvestcraft:cabbageseeditem                 |    9125 |        0 |    false | Cabbage Seed             | Crop       | listAllseed,seedCabbage                            |
| Pam's HarvestCraft   | harvestcraft:cactusfruititem                 |    9056 |        0 |    false | Cactus Fruit             | Crop       | cropCactusfruit,listAllfruit                       |
| Pam's HarvestCraft   | harvestcraft:cactusfruitseeditem             |    9057 |        0 |    false | Cactus Fruit Seed        | Crop       | listAllseed,seedCactusfruit                        |
| Pam's HarvestCraft   | harvestcraft:candleberryitem                 |    9050 |        0 |    false | Candleberry              | Crop       | cropCandle,cropCandleberry                         |
| Pam's HarvestCraft   | harvestcraft:candleberryseeditem             |    9051 |        0 |    false | Candleberry Seed         | Crop       | listAllseed,seedCandleberry                        |
| Pam's HarvestCraft   | harvestcraft:cantaloupeitem                  |    9070 |        0 |    false | Cantaloupe               | Crop       | cropCantaloupe,listAllfruit                        |
| Pam's HarvestCraft   | harvestcraft:cantaloupeseeditem              |    9071 |        0 |    false | Cantaloupe Seed          | Crop       | listAllseed,seedCantaloupe                         |
| Pam's HarvestCraft   | harvestcraft:cassavaitem                     |    9176 |        0 |    false | Cassava                  | Crop       | cropCassava,listAllveggie                          |
| Pam's HarvestCraft   | harvestcraft:cassavaseeditem                 |    9177 |        0 |    false | Cassava Seed             | Crop       | listAllseed,seedCassava                            |
| Pam's HarvestCraft   | harvestcraft:caulifloweritem                 |    9112 |        0 |    false | Cauliflower              | Crop       | cropCauliflower,listAllveggie                      |
| Pam's HarvestCraft   | harvestcraft:cauliflowerseeditem             |    9113 |        0 |    false | Cauliflower Seed         | Crop       | listAllseed,seedCauliflower                        |
| Pam's HarvestCraft   | harvestcraft:celeryitem                      |    9096 |        0 |    false | Celery                   | Crop       | cropCelery,listAllgreenveggie,listAllveggie        |
| Pam's HarvestCraft   | harvestcraft:celeryseeditem                  |    9097 |        0 |    false | Celery Seed              | Crop       | listAllseed,seedCelery                             |
| Pam's HarvestCraft   | harvestcraft:chickpeaitem                    |    9178 |        0 |    false | Chickpeas                | Crop       | cropChickpea,listAllveggie                         |
| Pam's HarvestCraft   | harvestcraft:chickpeaseeditem                |    9179 |        0 |    false | Chickpea Seed            | Crop       | listAllseed,seedChickpea                           |
| Pam's HarvestCraft   | harvestcraft:chilipepperitem                 |    9136 |        0 |    false | Chili Pepper             | Crop       | cropChilipepper,listAllpepper                      |
| Pam's HarvestCraft   | harvestcraft:chilipepperseeditem             |    9137 |        0 |    false | Chili Pepper Seed        | Crop       | listAllseed,seedChilipepper                        |
| Pam's HarvestCraft   | harvestcraft:coffeebeanitem                  |    9106 |        0 |    false | Coffee Beans             | Crop       | cropCoffee                                         |
| Pam's HarvestCraft   | harvestcraft:coffeeseeditem                  |    9107 |        0 |    false | Coffee Seed              | Crop       | listAllseed,seedCoffee                             |
| Pam's HarvestCraft   | harvestcraft:cornitem                        |    9066 |        0 |    false | Corn                     | Crop       | cropCorn,listAllveggie                             |
| Pam's HarvestCraft   | harvestcraft:cornseeditem                    |    9067 |        0 |    false | Corn Seed                | Crop       | listAllseed,seedCorn                               |
| Pam's HarvestCraft   | harvestcraft:cottonitem                      |    9146 |        0 |    false | Cotton                   | Crop       | cropCotton                                         |
| Pam's HarvestCraft   | harvestcraft:cottonseeditem                  |    9147 |        0 |    false | Cotton Seed              | Crop       | listAllseed,seedCotton                             |
| Pam's HarvestCraft   | harvestcraft:cranberryitem                   |    9154 |        0 |    false | Cranberry                | Crop       | cropCranberry,listAllberry,listAllfruit            |
| Pam's HarvestCraft   | harvestcraft:cranberryseeditem               |    9155 |        0 |    false | Cranberry Seed           | Crop       | listAllseed,seedCranberry                          |
| Pam's HarvestCraft   | harvestcraft:cucumberitem                    |    9072 |        0 |    false | Cucumber                 | Crop       | cropCucumber,listAllgreenveggie,listAllveggie      |
| Pam's HarvestCraft   | harvestcraft:cucumberseeditem                |    9073 |        0 |    false | Cucumber Seed            | Crop       | listAllseed,seedCucumber                           |
| Pam's HarvestCraft   | harvestcraft:curryleafitem                   |    9160 |        0 |    false | Curry Leaf               | Crop       | cropCurryleaf                                      |
| Pam's HarvestCraft   | harvestcraft:curryleafseeditem               |    9161 |        0 |    false | Curry Leaf Seed          | Crop       | listAllseed,seedCurryleaf                          |
| Pam's HarvestCraft   | harvestcraft:eggplantitem                    |    9138 |        0 |    false | Eggplant                 | Crop       | cropEggplant,listAllveggie                         |
| Pam's HarvestCraft   | harvestcraft:eggplantseeditem                |    9139 |        0 |    false | Eggplant Seed            | Crop       | listAllseed,seedEggplant                           |
| Pam's HarvestCraft   | harvestcraft:elderberryitem                  |    9180 |        0 |    false | Elderberry               | Crop       | cropElderberry,listAllberry,listAllfruit           |
| Pam's HarvestCraft   | harvestcraft:elderberryseeditem              |    9181 |        0 |    false | Elderberry Seed          | Crop       | listAllseed,seedElderberry                         |
| Pam's HarvestCraft   | harvestcraft:flaxitem                        |    9182 |        0 |    false | Flax                     | Crop       | cropFlax,listAllfiber                              |
| Pam's HarvestCraft   | harvestcraft:flaxseeditem                    |    9183 |        0 |    false | Flax Seed                | Crop       | listAllseed,seedFlax                               |
| Pam's HarvestCraft   | harvestcraft:garlicitem                      |    9098 |        0 |    false | Garlic                   | Crop       | cropGarlic,listAllherb                             |
| Pam's HarvestCraft   | harvestcraft:garlicseeditem                  |    9099 |        0 |    false | Garlic Seed              | Crop       | listAllseed,seedGarlic                             |
| Pam's HarvestCraft   | harvestcraft:gigapickleitem                  |    9166 |        0 |    false | Giga Pickle              | Crop       | foodGigapickle,foodPickles                         |
| Pam's HarvestCraft   | harvestcraft:gigapickleseeditem              |    9167 |        0 |    false | Giga Pickle Seed         | Crop       | listAllseed,seedGigapickle                         |
| Pam's HarvestCraft   | harvestcraft:gingeritem                      |    9100 |        0 |    false | Ginger                   | Crop       | cropGinger,listAllspice                            |
| Pam's HarvestCraft   | harvestcraft:gingerseeditem                  |    9101 |        0 |    false | Ginger Seed              | Crop       | listAllseed,seedGinger                             |
| Pam's HarvestCraft   | harvestcraft:grapeitem                       |    9150 |        0 |    false | Grape                    | Crop       | cropGrape,listAllfruit                             |
| Pam's HarvestCraft   | harvestcraft:grapeseeditem                   |    9151 |        0 |    false | Grape Seed               | Crop       | listAllseed,seedGrape                              |
| Pam's HarvestCraft   | harvestcraft:greengrapeitem                  |    9184 |        0 |    false | Green Grape              | Crop       | cropGrape,cropGreengrape,listAllfruit              |
| Pam's HarvestCraft   | harvestcraft:greengrapeseeditem              |    9185 |        0 |    false | Green Grape Seed         | Crop       | listAllseed,seedGreengrape                         |
| Pam's HarvestCraft   | harvestcraft:huckleberryitem                 |    9186 |        0 |    false | Huckleberry              | Crop       | cropHuckleberry,listAllberry,listAllfruit          |
| Pam's HarvestCraft   | harvestcraft:huckleberryseeditem             |    9187 |        0 |    false | Huckleberry Seed         | Crop       | listAllseed,seedHuckleberry                        |
| Pam's HarvestCraft   | harvestcraft:jicamaitem                      |    9188 |        0 |    false | Jicama                   | Crop       | cropJicama,listAllveggie                           |
| Pam's HarvestCraft   | harvestcraft:jicamaseeditem                  |    9189 |        0 |    false | Jicama Seed              | Crop       | listAllseed,seedJicama                             |
