+------------------------------------+----------------------------------------------------+----------+-------------------------------------------+---------------------------------------------+
| OreDict Key                        | Registry name                                      | Meta/dmg | Display name                              | NBT                                         |
| alcoholTiagapinotnoir              | brewcraft:tiagapinotnoiritem                       |        0 | Tiaga Pinot Noir                          |                                             |
| alcoholTotalvodka                  | brewcraft:totalvodkaitem                           |        0 | Total Vodka                               |                                             |
| alcoholUglyavocadogin              | brewcraft:uglyavocadoginitem                       |        0 | Ugly Avocado Gin                          |                                             |
| alloyAdvanced                      | mekanism:enrichedalloy                             |        0 | Enriched Alloy                            |                                             |
| alloyBasic                         | minecraft:redstone                                 |        0 | Redstone                                  |                                             |
| alloyElite                         | mekanism:reinforcedalloy                           |        0 | Reinforced Alloy                          |                                             |
| alloyUltimate                      | mekanism:atomicalloy                               |        0 | Atomic Alloy                              |                                             |
| arrow                              | minecraft:arrow                                    |        0 | Arrow                                     |                                             |
| arrow                              | minecraft:spectral_arrow                           |        0 | Spectral Arrow                            |                                             |
| arrow                              | minecraft:tipped_arrow                             |        0 | Uncraftable Tipped Arrow                  |                                             |
| baitFishing                        | minecraft:fish                                     |        0 | Raw Fish                                  |                                             |
| baitFishing                        | minecraft:rotten_flesh                             |        0 | Rotten Flesh                              |                                             |
| ballConductiveIron                 | enderio:item_alloy_ball                            |        4 | Conductive Iron Grinding Ball             |                                             |
| ballConstructionAlloy              | enderio:item_alloy_ball                            |        9 | Iron Alloy Grinding Ball                  |                                             |
| ballCrudeSteel                     | enderio:item_alloy_endergy_ball                    |        0 | Crude Steel Grinding Ball                 |                                             |
| ballCrystallineAlloy               | enderio:item_alloy_endergy_ball                    |        1 | Crystalline Alloy Grinding Ball           |                                             |
| ballCrystallinePinkSlime           | enderio:item_alloy_endergy_ball                    |        4 | Crystalline Pink Slime Grinding Ball      |                                             |
| ballDarkSteel                      | enderio:item_alloy_ball                            |        6 | Dark Steel Grinding Ball                  |                                             |
| ballElectricalSteel                | enderio:item_alloy_ball                            |        0 | Electrical Steel Grinding Ball            |                                             |
| ballEndSteel                       | enderio:item_alloy_ball                            |        8 | End Steel Grinding Ball                   |                                             |
| ballEnergeticAlloy                 | enderio:item_alloy_ball                            |        1 | Energetic Alloy Grinding Ball             |                                             |
| ballEnergeticSilver                | enderio:item_alloy_endergy_ball                    |        5 | Energetic Silver Grinding Ball            |                                             |
| ballMelodicAlloy                   | enderio:item_alloy_endergy_ball                    |        2 | Melodic Alloy Grinding Ball               |                                             |
| ballMud                            | biomesoplenty:mudball                              |        0 | Mud Ball                                  |                                             |
| ballPulsatingIron                  | enderio:item_alloy_ball                            |        5 | Pulsating Iron Grinding Ball              |                                             |
| ballRedstoneAlloy                  | enderio:item_alloy_ball                            |        3 | Redstone Alloy Grinding Ball              |                                             |
| ballSoularium                      | enderio:item_alloy_ball                            |        7 | Soularium Grinding Ball                   |                                             |
| ballStellarAlloy                   | enderio:item_alloy_endergy_ball                    |        3 | Stellar Alloy Grinding Ball               |                                             |
| ballVibrantAlloy                   | enderio:item_alloy_ball                            |        2 | Vibrant Alloy Grinding Ball               |                                             |
| ballVividAlloy                     | enderio:item_alloy_endergy_ball                    |        6 | Vivid Alloy Grinding Ball                 |                                             |
| barsIron                           | minecraft:iron_bars                                |        0 | Iron Bars                                 |                                             |
| battery                            | mekanism:energytablet                              |        0 | Energy Tablet                             |                                             |
| bed                                | minecraft:bed                                      |        0 | White Bed                                 |                                             |
| bed                                | minecraft:bed                                      |        1 | Orange Bed                                |                                             |
| bed                                | minecraft:bed                                      |        2 | Magenta Bed                               |                                             |
| bed                                | minecraft:bed                                      |        3 | Light Blue Bed                            |                                             |
| bed                                | minecraft:bed                                      |        4 | Yellow Bed                                |                                             |
| bed                                | minecraft:bed                                      |        5 | Lime Bed                                  |                                             |
| bed                                | minecraft:bed                                      |        6 | Pink Bed                                  |                                             |
| bed                                | minecraft:bed                                      |        7 | Gray Bed                                  |                                             |
| bed                                | minecraft:bed                                      |        8 | Light Gray Bed                            |                                             |
| bed                                | minecraft:bed                                      |        9 | Cyan Bed                                  |                                             |
| bed                                | minecraft:bed                                      |       10 | Purple Bed                                |                                             |
| bed                                | minecraft:bed                                      |       11 | Blue Bed                                  |                                             |
| bed                                | minecraft:bed                                      |       12 | Brown Bed                                 |                                             |
| bed                                | minecraft:bed                                      |       13 | Green Bed                                 |                                             |
| bed                                | minecraft:bed                                      |       14 | Red Bed                                   |                                             |
| bed                                | minecraft:bed                                      |       15 | Black Bed                                 |                                             |
| beecomb                            | growthcraft_bees:honey_comb_empty                  |        0 | Empty Honey Comb                          |                                             |
| beecomb                            | growthcraft_bees:honey_comb_filled                 |        0 | Full Honey Comb                           |                                             |
| blockAlubrass                      | tconstruct:metal                                   |        5 | Block of Aluminum Brass                   |                                             |
| blockAluminium                     | galacticraftcore:basic_block_core                  |       11 | Aluminum Block                            |                                             |
| blockAluminum                      | chisel:blockaluminum                               |        0 | Block of Aluminum                         |                                             |
| blockAluminum                      | chisel:blockaluminum                               |        1 | Block of Aluminum                         |                                             |
| blockAluminum                      | chisel:blockaluminum                               |        2 | Block of Aluminum                         |                                             |
| blockAluminum                      | chisel:blockaluminum                               |        3 | Block of Aluminum                         |                                             |
| blockAluminum                      | chisel:blockaluminum                               |        4 | Block of Aluminum                         |                                             |
| blockAluminum                      | chisel:blockaluminum                               |        5 | Block of Aluminum                         |                                             |
| blockAluminum                      | chisel:blockaluminum                               |        6 | Block of Aluminum                         |                                             |
| blockAluminum                      | galacticraftcore:basic_block_core                  |       11 | Aluminum Block                            |                                             |
| blockAmber                         | biomesoplenty:gem_block                            |        7 | Block of Amber                            |                                             |
| blockAmethyst                      | biomesoplenty:gem_block                            |        0 | Block of Amethyst                         |                                             |
| blockAmethyst                      | netherex:amethyst_block                            |        0 | Nether Amethyst Block                     |                                             |
| blockArdite                        | tconstruct:metal                                   |        1 | Block of Ardite                           |                                             |
| blockBaseEssence                   | mysticalagriculture:ingot_storage                  |        0 | Block of Base Essence                     |                                             |
| blockBlueGem                       | extraplanets:neptune                               |       11 | Block of Blue Gem                         |                                             |
| blockBlutonium                     | bigreactors:blockblutonium                         |        0 | Blutonium Block                           |                                             |
| blockBone                          | minecraft:bone_block                               |        0 | Bone Block                                |                                             |
| blockBrass                         | railcraft:metal                                    |        9 | Block of Brass                            |                                             |
| blockBrickNether                   | minecraft:nether_brick                             |        0 | Nether Brick                              |                                             |
| blockBrickNether                   | netherex:fiery_nether_brick                        |        0 | Fiery Nether Bricks                       |                                             |
| blockBrickNether                   | netherex:gloomy_nether_brick                       |        0 | Gloomy Nether Bricks                      |                                             |
| blockBrickNether                   | netherex:icy_nether_brick                          |        0 | Icy Nether Bricks                         |                                             |
| blockBrickNether                   | netherex:lively_nether_brick                       |        0 | Lively Nether Bricks                      |                                             |
| blockBronze                        | chisel:blockbronze                                 |        0 | Block of Bronze                           |                                             |
| blockBronze                        | chisel:blockbronze                                 |        1 | Block of Bronze                           |                                             |
| blockBronze                        | chisel:blockbronze                                 |        2 | Block of Bronze                           |                                             |
| blockBronze                        | chisel:blockbronze                                 |        3 | Block of Bronze                           |                                             |
| blockBronze                        | chisel:blockbronze                                 |        4 | Block of Bronze                           |                                             |
| blockBronze                        | chisel:blockbronze                                 |        5 | Block of Bronze                           |                                             |
| blockBronze                        | chisel:blockbronze                                 |        6 | Block of Bronze                           |                                             |
| blockBronze                        | mekanism:basicblock                                |        1 | Bronze Block                              |                                             |
| blockBronze                        | railcraft:metal                                    |        5 | Block of Bronze                           |                                             |
| blockCactus                        | minecraft:cactus                                   |        0 | Cactus                                    |                                             |
| blockCactus                        | minecraft:cactus                                   |    32767 | (WILDCARD)                                |                                             |
| blockCandle                        | quark:candle                                       |    32767 | (WILDCARD)                                |                                             |
| blockCarbon                        | extraplanets:mercury                               |       11 | Block of Carbon                           |                                             |
| blockCharcoal                      | chisel:block_charcoal                              |        0 | Block of Charcoal                         |                                             |
| blockCharcoal                      | chisel:block_charcoal                              |        1 | Block of Charcoal                         |                                             |
| blockCharcoal                      | chisel:block_charcoal                              |        2 | Block of Charcoal                         |                                             |
| blockCharcoal                      | chisel:block_charcoal                              |        3 | Block of Charcoal                         |                                             |
| blockCharcoal                      | chisel:block_charcoal                              |        4 | Block of Charcoal                         |                                             |
| blockCharcoal                      | chisel:block_charcoal                              |        5 | Block of Charcoal                         |                                             |
| blockCharcoal                      | chisel:block_charcoal                              |        6 | Block of Charcoal                         |                                             |
| blockCharcoal                      | chisel:block_charcoal                              |        7 | Block of Charcoal                         |                                             |
| blockCharcoal                      | chisel:block_charcoal                              |        8 | Block of Charcoal                         |                                             |
| blockCharcoal                      | chisel:block_charcoal                              |        9 | Block of Charcoal                         |                                             |
| blockCharcoal                      | chisel:block_charcoal                              |       10 | Block of Charcoal                         |                                             |
| blockCharcoal                      | chisel:block_charcoal                              |       11 | Block of Charcoal                         |                                             |
| blockCharcoal                      | chisel:block_charcoal                              |       12 | Block of Charcoal                         |                                             |
| blockCharcoal                      | chisel:block_charcoal                              |       13 | Block of Charcoal                         |                                             |
| blockCharcoal                      | chisel:block_charcoal                              |       14 | Block of Charcoal                         |                                             |
| blockCharcoal                      | chisel:block_charcoal                              |       15 | Block of Charcoal                         |                                             |
| blockCharcoal                      | chisel:block_charcoal1                             |        0 | Block of Charcoal                         |                                             |
| blockCharcoal                      | chisel:block_charcoal1                             |        1 | Block of Charcoal                         |                                             |
| blockCharcoal                      | chisel:block_charcoal1                             |        2 | Block of Charcoal                         |                                             |
| blockCharcoal                      | chisel:block_charcoal1                             |        3 | Block of Charcoal                         |                                             |
| blockCharcoal                      | chisel:block_charcoal1                             |        4 | Block of Charcoal                         |                                             |
| blockCharcoal                      | chisel:block_charcoal1                             |        5 | Block of Charcoal                         |                                             |
| blockCharcoal                      | chisel:block_charcoal1                             |        6 | Block of Charcoal                         |                                             |
| blockCharcoal                      | chisel:block_charcoal1                             |        7 | Block of Charcoal                         |                                             |
| blockCharcoal                      | chisel:block_charcoal1                             |        8 | Block of Charcoal                         |                                             |
| blockCharcoal                      | chisel:block_charcoal1                             |        9 | Block of Charcoal                         |                                             |
| blockCharcoal                      | chisel:block_charcoal1                             |       10 | Block of Charcoal                         |                                             |
| blockCharcoal                      | chisel:block_charcoal1                             |       11 | Block of Charcoal                         |                                             |
| blockCharcoal                      | chisel:block_charcoal1                             |       12 | Block of Charcoal                         |                                             |
| blockCharcoal                      | chisel:block_charcoal1                             |       13 | Block of Charcoal                         |                                             |
| blockCharcoal                      | chisel:block_charcoal1                             |       14 | Block of Charcoal                         |                                             |
| blockCharcoal                      | chisel:block_charcoal1                             |       15 | Block of Charcoal                         |                                             |
| blockCharcoal                      | chisel:block_charcoal2                             |        0 | Block of Charcoal                         |                                             |
| blockCharcoal                      | chisel:block_charcoal2                             |        1 | Block of Charcoal                         |                                             |
| blockCharcoal                      | mekanism:basicblock                                |        3 | Charcoal Block                            |                                             |
| blockChargeBatteryRechargeable     | railcraft:battery_nickel_iron                      |        0 | Nickel-Iron Battery                       |                                             |
| blockChargeBatteryRechargeable     | railcraft:battery_nickel_zinc                      |        0 | Nickel-Zinc Battery                       |                                             |
| blockClay                          | minecraft:clay                                     |    32767 | (WILDCARD)                                |                                             |
| blockCoal                          | chisel:block_coal                                  |        0 | Block of Coal                             |                                             |
| blockCoal                          | chisel:block_coal                                  |        1 | Block of Coal                             |                                             |
| blockCoal                          | chisel:block_coal                                  |        2 | Block of Coal                             |                                             |
| blockCoal                          | chisel:block_coal                                  |        3 | Block of Coal                             |                                             |
| blockCoal                          | chisel:block_coal                                  |        4 | Block of Coal                             |                                             |
| blockCoal                          | chisel:block_coal                                  |        5 | Block of Coal                             |                                             |
| blockCoal                          | chisel:block_coal                                  |        6 | Block of Coal                             |                                             |
| blockCoal                          | chisel:block_coal                                  |        7 | Block of Coal                             |                                             |
| blockCoal                          | chisel:block_coal                                  |        8 | Block of Coal                             |                                             |
| blockCoal                          | chisel:block_coal                                  |        9 | Block of Coal                             |                                             |
| blockCoal                          | chisel:block_coal                                  |       10 | Block of Coal                             |                                             |
| blockCoal                          | chisel:block_coal                                  |       11 | Block of Coal                             |                                             |
| blockCoal                          | chisel:block_coal                                  |       12 | Block of Coal                             |                                             |
| blockCoal                          | chisel:block_coal                                  |       13 | Block of Coal                             |                                             |
| blockCoal                          | chisel:block_coal                                  |       14 | Block of Coal                             |                                             |
| blockCoal                          | chisel:block_coal                                  |       15 | Block of Coal                             |                                             |
| blockCoal                          | chisel:block_coal1                                 |        0 | Block of Coal                             |                                             |
| blockCoal                          | chisel:block_coal1                                 |        1 | Block of Coal                             |                                             |
| blockCoal                          | chisel:block_coal1                                 |        2 | Block of Coal                             |                                             |
| blockCoal                          | chisel:block_coal1                                 |        3 | Block of Coal                             |                                             |
| blockCoal                          | chisel:block_coal1                                 |        4 | Block of Coal                             |                                             |
| blockCoal                          | chisel:block_coal1                                 |        5 | Block of Coal                             |                                             |
| blockCoal                          | chisel:block_coal1                                 |        6 | Block of Coal                             |                                             |
| blockCoal                          | chisel:block_coal1                                 |        7 | Block of Coal                             |                                             |
| blockCoal                          | chisel:block_coal1                                 |        8 | Block of Coal                             |                                             |
| blockCoal                          | chisel:block_coal1                                 |        9 | Block of Coal                             |                                             |
| blockCoal                          | chisel:block_coal1                                 |       10 | Block of Coal                             |                                             |
| blockCoal                          | chisel:block_coal1                                 |       11 | Block of Coal                             |                                             |
| blockCoal                          | chisel:block_coal1                                 |       12 | Block of Coal                             |                                             |
| blockCoal                          | chisel:block_coal1                                 |       13 | Block of Coal                             |                                             |
| blockCoal                          | chisel:block_coal1                                 |       14 | Block of Coal                             |                                             |
| blockCoal                          | chisel:block_coal1                                 |       15 | Block of Coal                             |                                             |
| blockCoal                          | chisel:block_coal2                                 |        0 | Block of Coal                             |                                             |
| blockCoal                          | chisel:block_coal2                                 |        1 | Block of Coal                             |                                             |
| blockCoal                          | minecraft:coal_block                               |        0 | Block of Coal                             |                                             |
| blockCoalCoke                      | chisel:block_coal_coke                             |        0 | Block of Coal Coke                        |                                             |
| blockCoalCoke                      | chisel:block_coal_coke                             |        1 | Block of Coal Coke                        |                                             |
| blockCoalCoke                      | chisel:block_coal_coke                             |        2 | Block of Coal Coke                        |                                             |
| blockCoalCoke                      | chisel:block_coal_coke                             |        3 | Block of Coal Coke                        |                                             |
| blockCoalCoke                      | chisel:block_coal_coke                             |        4 | Block of Coal Coke                        |                                             |
| blockCoalCoke                      | chisel:block_coal_coke                             |        5 | Block of Coal Coke                        |                                             |
| blockCoalCoke                      | chisel:block_coal_coke                             |        6 | Block of Coal Coke                        |                                             |
| blockCoalCoke                      | chisel:block_coal_coke                             |        7 | Block of Coal Coke                        |                                             |
| blockCoalCoke                      | chisel:block_coal_coke                             |        8 | Block of Coal Coke                        |                                             |
| blockCoalCoke                      | chisel:block_coal_coke                             |        9 | Block of Coal Coke                        |                                             |
| blockCoalCoke                      | chisel:block_coal_coke                             |       10 | Block of Coal Coke                        |                                             |
| blockCoalCoke                      | chisel:block_coal_coke                             |       11 | Block of Coal Coke                        |                                             |
| blockCoalCoke                      | chisel:block_coal_coke                             |       12 | Block of Coal Coke                        |                                             |
| blockCoalCoke                      | chisel:block_coal_coke                             |       13 | Block of Coal Coke                        |                                             |
| blockCoalCoke                      | chisel:block_coal_coke                             |       14 | Block of Coal Coke                        |                                             |
| blockCoalCoke                      | chisel:block_coal_coke                             |       15 | Block of Coal Coke                        |                                             |
| blockCoalCoke                      | chisel:block_coal_coke1                            |        0 | Block of Coal Coke                        |                                             |
| blockCoalCoke                      | chisel:block_coal_coke1                            |        1 | Block of Coal Coke                        |                                             |
| blockCoalCoke                      | chisel:block_coal_coke1                            |        2 | Block of Coal Coke                        |                                             |
| blockCoalCoke                      | chisel:block_coal_coke1                            |        3 | Block of Coal Coke                        |                                             |
| blockCoalCoke                      | chisel:block_coal_coke1                            |        4 | Block of Coal Coke                        |                                             |
| blockCoalCoke                      | chisel:block_coal_coke1                            |        5 | Block of Coal Coke                        |                                             |
| blockCoalCoke                      | chisel:block_coal_coke1                            |        6 | Block of Coal Coke                        |                                             |
| blockCoalCoke                      | chisel:block_coal_coke1                            |        7 | Block of Coal Coke                        |                                             |
| blockCoalCoke                      | chisel:block_coal_coke1                            |        8 | Block of Coal Coke                        |                                             |
| blockCoalCoke                      | chisel:block_coal_coke1                            |        9 | Block of Coal Coke                        |                                             |
| blockCoalCoke                      | chisel:block_coal_coke1                            |       10 | Block of Coal Coke                        |                                             |
| blockCoalCoke                      | chisel:block_coal_coke1                            |       11 | Block of Coal Coke                        |                                             |
| blockCoalCoke                      | chisel:block_coal_coke1                            |       12 | Block of Coal Coke                        |                                             |
| blockCoalCoke                      | chisel:block_coal_coke1                            |       13 | Block of Coal Coke                        |                                             |
| blockCoalCoke                      | chisel:block_coal_coke1                            |       14 | Block of Coal Coke                        |                                             |
| blockCoalCoke                      | chisel:block_coal_coke1                            |       15 | Block of Coal Coke                        |                                             |
| blockCoalCoke                      | chisel:block_coal_coke2                            |        0 | Block of Coal Coke                        |                                             |
| blockCoalCoke                      | chisel:block_coal_coke2                            |        1 | Block of Coal Coke                        |                                             |
| blockCobalt                        | chisel:blockcobalt                                 |        0 | Block of Cobalt                           |                                             |
| blockCobalt                        | chisel:blockcobalt                                 |        1 | Block of Cobalt                           |                                             |
| blockCobalt                        | chisel:blockcobalt                                 |        2 | Block of Cobalt                           |                                             |
| blockCobalt                        | chisel:blockcobalt                                 |        3 | Block of Cobalt                           |                                             |
| blockCobalt                        | chisel:blockcobalt                                 |        4 | Block of Cobalt                           |                                             |
| blockCobalt                        | chisel:blockcobalt                                 |        5 | Block of Cobalt                           |                                             |
| blockCobalt                        | chisel:blockcobalt                                 |        6 | Block of Cobalt                           |                                             |
| blockCobalt                        | tconstruct:metal                                   |        0 | Block of Cobalt                           |                                             |
| blockCoke                          | railcraft:generic                                  |        6 | Block of Coal Coke                        |                                             |
| blockConcrete                      | chisel:concrete_black                              |        0 | Black Concrete                            |                                             |
| blockConcrete                      | chisel:concrete_black                              |        1 | Black Concrete                            |                                             |
| blockConcrete                      | chisel:concrete_black                              |        2 | Black Concrete                            |                                             |
| blockConcrete                      | chisel:concrete_black                              |        3 | Black Concrete                            |                                             |
| blockConcrete                      | chisel:concrete_black                              |        4 | Black Concrete                            |                                             |
| blockConcrete                      | chisel:concrete_black                              |        5 | Black Concrete                            |                                             |
