+--------------------------------+------------------------------------------------------+-------------------------------+--------+
| Mod name                       | Registry name                                        | Entity class name             |     ID |
| Extra Planets                  | extraplanets:extraplanets.entityvenusrover           | EntityVenusRover              |     16 |
| Extra Planets                  | extraplanets:extraplanets.evolvedancientmagmacube    | EntityEvolvedAncientMagmaCube |     20 |
| Extra Planets                  | extraplanets:extraplanets.evolvedfirebatboss         | EntityEvolvedFireBatBoss      |     21 |
| Extra Planets                  | extraplanets:extraplanets.evolvedghastboss           | EntityEvolvedGhastBoss        |     22 |
| Extra Planets                  | extraplanets:extraplanets.evolvedgiantzombieboss     | EntityEvolvedGiantZombieBoss  |     26 |
| Extra Planets                  | extraplanets:extraplanets.evolvediceslimeboss        | EntityEvolvedIceSlimeBoss     |     23 |
| Extra Planets                  | extraplanets:extraplanets.evolvedmagmacube           | EntityEvolvedMagmaCube        |     18 |
| Extra Planets                  | extraplanets:extraplanets.evolvedmagmacubeboss       | EntityEvolvedMagmaCubeBoss    |     19 |
| Extra Planets                  | extraplanets:extraplanets.evolvedsnowmanboss         | EntityEvolvedSnowmanBoss      |     24 |
| Extra Planets                  | extraplanets:extraplanets.evolvedspacemanboss        | EntityEvolvedSpacemanBoss     |     25 |
| Extra Planets                  | extraplanets:extraplanets.firebombprimed             | EntityFireBombPrimed          |      1 |
| Extra Planets                  | extraplanets:extraplanets.nuclearbombprimed          | EntityNuclearBombPrimed       |      0 |
| Galacticraft Core              | galacticraftcore:alien_villager                      | EntityAlienVillager           |      5 |
| Galacticraft Core              | galacticraftcore:buggy                               | EntityBuggy                   |     10 |
| Galacticraft Core              | galacticraftcore:celestial_screen                    | EntityCelestialFake           |     15 |
| Galacticraft Core              | galacticraftcore:evolved_creeper                     | EntityEvolvedCreeper          |      2 |
| Galacticraft Core              | galacticraftcore:evolved_enderman                    | EntityEvolvedEnderman         |      6 |
| Galacticraft Core              | galacticraftcore:evolved_skeleton                    | EntityEvolvedSkeleton         |      3 |
| Galacticraft Core              | galacticraftcore:evolved_skeleton_boss               | EntitySkeletonBoss            |      4 |
| Galacticraft Core              | galacticraftcore:evolved_spider                      | EntityEvolvedSpider           |      0 |
| Galacticraft Core              | galacticraftcore:evolved_witch                       | EntityEvolvedWitch            |      7 |
| Galacticraft Core              | galacticraftcore:evolved_zombie                      | EntityEvolvedZombie           |      1 |
| Galacticraft Core              | galacticraftcore:gcflag                              | EntityFlag                    |     11 |
| Galacticraft Core              | galacticraftcore:hanging_schematic                   | EntityHangingSchematic        |     16 |
| Galacticraft Core              | galacticraftcore:lander                              | EntityLander                  |     13 |
| Galacticraft Core              | galacticraftcore:meteor                              | EntityMeteor                  |      9 |
| Galacticraft Core              | galacticraftcore:meteor_chunk                        | EntityMeteorChunk             |     14 |
| Galacticraft Core              | galacticraftcore:para_chest                          | EntityParachest               |     12 |
| Galacticraft Core              | galacticraftcore:rocket_t1                           | EntityTier1Rocket             |      8 |
| Galacticraft Planets           | galacticraftplanets:astro_miner                      | EntityAstroMiner              |     28 |
| Galacticraft Planets           | galacticraftplanets:creeper_boss                     | EntityCreeperBoss             |     19 |
| Galacticraft Planets           | galacticraftplanets:entry_pod                        | EntityEntryPod                |     27 |
| Galacticraft Planets           | galacticraftplanets:entry_pod_venus                  | EntityEntryPodVenus           |     31 |
| Galacticraft Planets           | galacticraftplanets:grapple_hook                     | EntityGrapple                 |     25 |
| Galacticraft Planets           | galacticraftplanets:juicer                           | EntityJuicer                  |     29 |
| Galacticraft Planets           | galacticraftplanets:landing_balloons                 | EntityLandingBalloons         |     22 |
| Galacticraft Planets           | galacticraftplanets:projectile_tnt                   | EntityProjectileTNT           |     21 |
| Galacticraft Planets           | galacticraftplanets:rocket_cargo                     | EntityCargoRocket             |     23 |
| Galacticraft Planets           | galacticraftplanets:rocket_t2                        | EntityTier2Rocket             |     20 |
| Galacticraft Planets           | galacticraftplanets:rocket_t3                        | EntityTier3Rocket             |     26 |
| Galacticraft Planets           | galacticraftplanets:slimeling                        | EntitySlimeling               |     18 |
| Galacticraft Planets           | galacticraftplanets:sludgeling                       | EntitySludgeling              |     17 |
| Galacticraft Planets           | galacticraftplanets:small_asteroid                   | EntitySmallAsteroid           |     24 |
| Galacticraft Planets           | galacticraftplanets:spider_queen                     | EntitySpiderQueen             |     30 |
| Galacticraft Planets           | galacticraftplanets:web_shot                         | EntityWebShot                 |     32 |
| Mekanism                       | mekanism:babyskeleton                                | EntityBabySkeleton            |      3 |
| Mekanism                       | mekanism:balloon                                     | EntityBalloon                 |      2 |
| Mekanism                       | mekanism:flame                                       | EntityFlame                   |      4 |
| Mekanism                       | mekanism:obsidiantnt                                 | EntityObsidianTNT             |      0 |
| Mekanism                       | mekanism:robit                                       | EntityRobit                   |      1 |
| Minecraft                      | minecraft:area_effect_cloud                          | EntityAreaEffectCloud         |      3 |
| Minecraft                      | minecraft:armor_stand                                | EntityArmorStand              |     30 |
| Minecraft                      | minecraft:arrow                                      | EntityTippedArrow             |     10 |
| Minecraft                      | minecraft:bat                                        | EntityBat                     |     65 |
| Minecraft                      | minecraft:blaze                                      | EntityBlaze                   |     61 |
| Minecraft                      | minecraft:boat                                       | EntityBoat                    |     41 |
| Minecraft                      | minecraft:cave_spider                                | EntityCaveSpider              |     59 |
| Minecraft                      | minecraft:chest_minecart                             | EntityMinecartChest           |     43 |
| Minecraft                      | minecraft:chicken                                    | EntityChicken                 |     93 |
| Minecraft                      | minecraft:commandblock_minecart                      | EntityMinecartCommandBlock    |     40 |
| Minecraft                      | minecraft:cow                                        | EntityCow                     |     92 |
| Minecraft                      | minecraft:creeper                                    | EntityCreeper                 |     50 |
| Minecraft                      | minecraft:donkey                                     | EntityDonkey                  |     31 |
| Minecraft                      | minecraft:dragon_fireball                            | EntityDragonFireball          |     26 |
| Minecraft                      | minecraft:egg                                        | EntityEgg                     |      7 |
| Minecraft                      | minecraft:elder_guardian                             | EntityElderGuardian           |      4 |
| Minecraft                      | minecraft:ender_crystal                              | EntityEnderCrystal            |    200 |
| Minecraft                      | minecraft:ender_dragon                               | EntityDragon                  |     63 |
| Minecraft                      | minecraft:ender_pearl                                | EntityEnderPearl              |     14 |
| Minecraft                      | minecraft:enderman                                   | EntityEnderman                |     58 |
| Minecraft                      | minecraft:endermite                                  | EntityEndermite               |     67 |
| Minecraft                      | minecraft:evocation_fangs                            | EntityEvokerFangs             |     33 |
| Minecraft                      | minecraft:evocation_illager                          | EntityEvoker                  |     34 |
| Minecraft                      | minecraft:eye_of_ender_signal                        | EntityEnderEye                |     15 |
| Minecraft                      | minecraft:falling_block                              | EntityFallingBlock            |     21 |
| Minecraft                      | minecraft:fireball                                   | EntityLargeFireball           |     12 |
| Minecraft                      | minecraft:fireworks_rocket                           | EntityFireworkRocket          |     22 |
| Minecraft                      | minecraft:furnace_minecart                           | EntityMinecartFurnace         |     44 |
| Minecraft                      | minecraft:ghast                                      | EntityGhast                   |     56 |
| Minecraft                      | minecraft:giant                                      | EntityGiantZombie             |     53 |
| Minecraft                      | minecraft:guardian                                   | EntityGuardian                |     68 |
| Minecraft                      | minecraft:hopper_minecart                            | EntityMinecartHopper          |     46 |
| Minecraft                      | minecraft:horse                                      | EntityHorse                   |    100 |
| Minecraft                      | minecraft:husk                                       | EntityHusk                    |     23 |
| Minecraft                      | minecraft:illusion_illager                           | EntityIllusionIllager         |     37 |
| Minecraft                      | minecraft:item                                       | EntityItem                    |      1 |
| Minecraft                      | minecraft:item_frame                                 | EntityItemFrame               |     18 |
| Minecraft                      | minecraft:leash_knot                                 | EntityLeashKnot               |      8 |
| Minecraft                      | minecraft:llama                                      | EntityLlama                   |    103 |
| Minecraft                      | minecraft:llama_spit                                 | EntityLlamaSpit               |    104 |
| Minecraft                      | minecraft:magma_cube                                 | EntityMagmaCube               |     62 |
| Minecraft                      | minecraft:minecart                                   | EntityMinecartEmpty           |     42 |
| Minecraft                      | minecraft:mooshroom                                  | EntityMooshroom               |     96 |
| Minecraft                      | minecraft:mule                                       | EntityMule                    |     32 |
| Minecraft                      | minecraft:ocelot                                     | EntityOcelot                  |     98 |
| Minecraft                      | minecraft:painting                                   | EntityPainting                |      9 |
| Minecraft                      | minecraft:parrot                                     | EntityParrot                  |    105 |
| Minecraft                      | minecraft:pig                                        | EntityPig                     |     90 |
| Minecraft                      | minecraft:polar_bear                                 | EntityPolarBear               |    102 |
| Minecraft                      | minecraft:potion                                     | EntityPotion                  |     16 |
| Minecraft                      | minecraft:rabbit                                     | EntityRabbit                  |    101 |
| Minecraft                      | minecraft:sheep                                      | EntitySheep                   |     91 |
| Minecraft                      | minecraft:shulker                                    | EntityShulker                 |     69 |
| Minecraft                      | minecraft:shulker_bullet                             | EntityShulkerBullet           |     25 |
| Minecraft                      | minecraft:silverfish                                 | EntitySilverfish              |     60 |
| Minecraft                      | minecraft:skeleton                                   | EntitySkeleton                |     51 |
| Minecraft                      | minecraft:skeleton_horse                             | EntitySkeletonHorse           |     28 |
| Minecraft                      | minecraft:slime                                      | EntitySlime                   |     55 |
| Minecraft                      | minecraft:small_fireball                             | EntitySmallFireball           |     13 |
| Minecraft                      | minecraft:snowball                                   | EntitySnowball                |     11 |
| Minecraft                      | minecraft:snowman                                    | EntitySnowman                 |     97 |
| Minecraft                      | minecraft:spawner_minecart                           | EntityMinecartMobSpawner      |     47 |
| Minecraft                      | minecraft:spectral_arrow                             | EntitySpectralArrow           |     24 |
| Minecraft                      | minecraft:spider                                     | EntitySpider                  |     52 |
| Minecraft                      | minecraft:squid                                      | EntitySquid                   |     94 |
| Minecraft                      | minecraft:stray                                      | EntityStray                   |      6 |
| Minecraft                      | minecraft:tnt                                        | EntityTNTPrimed               |     20 |
| Minecraft                      | minecraft:tnt_minecart                               | EntityMinecartTNT             |     45 |
| Minecraft                      | minecraft:vex                                        | EntityVex                     |     35 |
| Minecraft                      | minecraft:villager                                   | EntityVillager                |    120 |
| Minecraft                      | minecraft:villager_golem                             | EntityIronGolem               |     99 |
| Minecraft                      | minecraft:vindication_illager                        | EntityVindicator              |     36 |
| Minecraft                      | minecraft:witch                                      | EntityWitch                   |     66 |
| Minecraft                      | minecraft:wither                                     | EntityWither                  |     64 |
| Minecraft                      | minecraft:wither_skeleton                            | EntityWitherSkeleton          |      5 |
| Minecraft                      | minecraft:wither_skull                               | EntityWitherSkull             |     19 |
| Minecraft                      | minecraft:wolf                                       | EntityWolf                    |     95 |
| Minecraft                      | minecraft:xp_bottle                                  | EntityExpBottle               |     17 |
| Minecraft                      | minecraft:xp_orb                                     | EntityXPOrb                   |      2 |
| Minecraft                      | minecraft:zombie                                     | EntityZombie                  |     54 |
| Minecraft                      | minecraft:zombie_horse                               | EntityZombieHorse             |     29 |
| Minecraft                      | minecraft:zombie_pigman                              | EntityPigZombie               |     57 |
| Minecraft                      | minecraft:zombie_villager                            | EntityZombieVillager          |     27 |
| Mowzie's Mobs                  | mowziesmobs:axe_attack                               | EntityAxeAttack               |     15 |
| Mowzie's Mobs                  | mowziesmobs:baby_foliaath                            | EntityBabyFoliaath            |      1 |
| Mowzie's Mobs                  | mowziesmobs:barako                                   | EntityBarako                  |      7 |
| Mowzie's Mobs                  | mowziesmobs:barakoan_barakoana                       | EntityBarakoanToBarakoana     |      3 |
| Mowzie's Mobs                  | mowziesmobs:barakoan_player                          | EntityBarakoanToPlayer        |      6 |
| Mowzie's Mobs                  | mowziesmobs:barakoana                                | EntityBarakoana               |      4 |
| Mowzie's Mobs                  | mowziesmobs:barakoaya                                | EntityBarakoaya               |      5 |
| Mowzie's Mobs                  | mowziesmobs:block_swapper                            | EntityBlockSwapper            |     23 |
| Mowzie's Mobs                  | mowziesmobs:boulder                                  | EntityBoulder                 |     14 |
| Mowzie's Mobs                  | mowziesmobs:dart                                     | EntityDart                    |     20 |
| Mowzie's Mobs                  | mowziesmobs:ferrous_wroughtnaut                      | EntityWroughtnaut             |      2 |
| Mowzie's Mobs                  | mowziesmobs:foliaath                                 | EntityFoliaath                |      0 |
| Mowzie's Mobs                  | mowziesmobs:frostmaw                                 | EntityFrostmaw                |      8 |
| Mowzie's Mobs                  | mowziesmobs:frozen_controller                        | EntityFrozenController        |     18 |
| Mowzie's Mobs                  | mowziesmobs:grottol                                  | EntityGrottol                 |      9 |
| Mowzie's Mobs                  | mowziesmobs:ice_ball                                 | EntityIceBall                 |     17 |
| Mowzie's Mobs                  | mowziesmobs:icebreath                                | EntityIceBreath               |     16 |
| Mowzie's Mobs                  | mowziesmobs:lantern                                  | EntityLantern                 |     10 |
| Mowzie's Mobs                  | mowziesmobs:naga                                     | EntityNaga                    |     11 |
| Mowzie's Mobs                  | mowziesmobs:poison_ball                              | EntityPoisonBall              |     21 |
| Mowzie's Mobs                  | mowziesmobs:ring                                     | EntityRing                    |     19 |
| Mowzie's Mobs                  | mowziesmobs:solar_beam                               | EntitySolarBeam               |     13 |
| Mowzie's Mobs                  | mowziesmobs:sunstrike                                | EntitySunstrike               |     12 |
| Mowzie's Mobs                  | mowziesmobs:super_nova                               | EntitySuperNova               |     22 |
| MrCrayfish's Furniture Mod     | cfm:mirror                                           | EntityMirror                  |      1 |
| MrCrayfish's Furniture Mod     | cfm:mountable_block                                  | EntitySeat                    |      0 |
| Multi Mob Core                 | multimob:dummy                                       | EntityDummy                   |      0 |
| Mystical Agriculture           | mysticalagriculture:inferium_arrow                   | EntityInferiumArrow           |      0 |
| Mystical Agriculture           | mysticalagriculture:intermedium_arrow                | EntityIntermediumArrow        |      2 |
| Mystical Agriculture           | mysticalagriculture:prudentium_arrow                 | EntityPrudentiumArrow         |      1 |
| Mystical Agriculture           | mysticalagriculture:superium_arrow                   | EntitySuperiumArrow           |      3 |
| Mystical Agriculture           | mysticalagriculture:supremium_arrow                  | EntitySupremiumArrow          |      4 |
| Natura                         | natura:imp                                           | EntityImp                     |      2 |
| Natura                         | natura:nitrocreeper                                  | EntityNitroCreeper            |      3 |
| NetherEx                       | netherex:blue_fireball                               | EntityBlueFireball            |      1 |
| NetherEx                       | netherex:brute                                       | EntityBrute                   |     16 |
| NetherEx                       | netherex:coolmar_spider                              | EntityCoolmarSpider           |     15 |
| NetherEx                       | netherex:ember                                       | EntityEmber                   |      9 |
| NetherEx                       | netherex:frost                                       | EntityFrost                   |     17 |
| NetherEx                       | netherex:ghast_queen                                 | EntityGhastQueen              |     18 |
| NetherEx                       | netherex:ghast_queen_fireball                        | EntityGhastQueenFireball      |     -1 |
| NetherEx                       | netherex:ghastling                                   | EntityGhastling               |     14 |
| NetherEx                       | netherex:ghastling_fireball                          | EntityGhastlingFireball       |      0 |
| NetherEx                       | netherex:gold_golem                                  | EntityGoldGolem               |      5 |
| NetherEx                       | netherex:mogus                                       | EntityMogus                   |      6 |
| NetherEx                       | netherex:nethermite                                  | EntityNethermite              |     10 |
