+--------------------------------+--------------------------------------------------------------------+---------+----------+----------------------------------------------+-----------------------------------------------------------------------------------------------------------------+------------------------------------------------------------------+
| *** WARNING ***                                                                                                                                                                                                                                                                                                                                              |
| The block and item IDs are dynamic and will be different on each world!                                                                                                                                                                                                                                                                                      |
| DO NOT use them for anything "proper"!! (other than manual editing/fixing of raw world data or something)                                                                                                                                                                                                                                                    |
| *** ALSO ***                                                                                                                                                                                                                                                                                                                                                 |
| The server doesn't have a list of sub block and sub items                                                                                                                                                                                                                                                                                                    |
| (= items with different damage value or blocks with different metadata).                                                                                                                                                                                                                                                                                     |
| That is why the block and item list dumps only contain one entry per block/item class (separate ID) when run on a server.                                                                                                                                                                                                                                    |
+--------------------------------+--------------------------------------------------------------------+---------+----------+----------------------------------------------+-----------------------------------------------------------------------------------------------------------------+------------------------------------------------------------------+
| Mod name                       | Registry name                                                      | Item ID | Meta/dmg |                                 Display name | Recipe name                                                                                                     | Ore Dict keys                                                    |
| Aquaculture                    | aquaculture:food                                                   |    4102 |        3 |                              Raw Fish Fillet | aquaculture:filet_14                                                                                            | listAllfishraw                                                   |
| Aquaculture                    | aquaculture:food                                                   |    4102 |        3 |                              Raw Fish Fillet | aquaculture:filet_15                                                                                            | listAllfishraw                                                   |
| Aquaculture                    | aquaculture:food                                                   |    4102 |        3 |                              Raw Fish Fillet | aquaculture:filet_16                                                                                            | listAllfishraw                                                   |
| Aquaculture                    | aquaculture:food                                                   |    4102 |        3 |                              Raw Fish Fillet | aquaculture:filet_17                                                                                            | listAllfishraw                                                   |
| Aquaculture                    | aquaculture:food                                                   |    4102 |        3 |                              Raw Fish Fillet | aquaculture:filet_18                                                                                            | listAllfishraw                                                   |
| Aquaculture                    | aquaculture:food                                                   |    4102 |        3 |                              Raw Fish Fillet | aquaculture:filet_19                                                                                            | listAllfishraw                                                   |
| Aquaculture                    | aquaculture:food                                                   |    4102 |        3 |                              Raw Fish Fillet | aquaculture:filet_2                                                                                             | listAllfishraw                                                   |
| Aquaculture                    | aquaculture:food                                                   |    4102 |        3 |                              Raw Fish Fillet | aquaculture:filet_20                                                                                            | listAllfishraw                                                   |
| Aquaculture                    | aquaculture:food                                                   |    4102 |        3 |                              Raw Fish Fillet | aquaculture:filet_21                                                                                            | listAllfishraw                                                   |
| Aquaculture                    | aquaculture:food                                                   |    4102 |        3 |                              Raw Fish Fillet | aquaculture:filet_22                                                                                            | listAllfishraw                                                   |
| Aquaculture                    | aquaculture:food                                                   |    4102 |        3 |                              Raw Fish Fillet | aquaculture:filet_23                                                                                            | listAllfishraw                                                   |
| Aquaculture                    | aquaculture:food                                                   |    4102 |        3 |                              Raw Fish Fillet | aquaculture:filet_24                                                                                            | listAllfishraw                                                   |
| Aquaculture                    | aquaculture:food                                                   |    4102 |        3 |                              Raw Fish Fillet | aquaculture:filet_25                                                                                            | listAllfishraw                                                   |
| Aquaculture                    | aquaculture:food                                                   |    4102 |        3 |                              Raw Fish Fillet | aquaculture:filet_26                                                                                            | listAllfishraw                                                   |
| Aquaculture                    | aquaculture:food                                                   |    4102 |        3 |                              Raw Fish Fillet | aquaculture:filet_27                                                                                            | listAllfishraw                                                   |
| Aquaculture                    | aquaculture:food                                                   |    4102 |        3 |                              Raw Fish Fillet | aquaculture:filet_28                                                                                            | listAllfishraw                                                   |
| Aquaculture                    | aquaculture:food                                                   |    4102 |        3 |                              Raw Fish Fillet | aquaculture:filet_29                                                                                            | listAllfishraw                                                   |
| Aquaculture                    | aquaculture:food                                                   |    4102 |        3 |                              Raw Fish Fillet | aquaculture:filet_3                                                                                             | listAllfishraw                                                   |
| Aquaculture                    | aquaculture:food                                                   |    4102 |        3 |                              Raw Fish Fillet | aquaculture:filet_4                                                                                             | listAllfishraw                                                   |
| Aquaculture                    | aquaculture:food                                                   |    4102 |        3 |                              Raw Fish Fillet | aquaculture:filet_5                                                                                             | listAllfishraw                                                   |
| Aquaculture                    | aquaculture:food                                                   |    4102 |        3 |                              Raw Fish Fillet | aquaculture:filet_6                                                                                             | listAllfishraw                                                   |
| Aquaculture                    | aquaculture:food                                                   |    4102 |        3 |                              Raw Fish Fillet | aquaculture:filet_7                                                                                             | listAllfishraw                                                   |
| Aquaculture                    | aquaculture:food                                                   |    4102 |        3 |                              Raw Fish Fillet | aquaculture:filet_8                                                                                             | listAllfishraw                                                   |
| Aquaculture                    | aquaculture:food                                                   |    4102 |        3 |                              Raw Fish Fillet | aquaculture:filet_9                                                                                             | listAllfishraw                                                   |
| Aquaculture                    | aquaculture:food                                                   |    4102 |        6 |                          Cooked Whale Burger | aquaculture:whale_burger                                                                                        |                                                                  |
| Aquaculture                    | aquaculture:food                                                   |    4102 |        7 |                                    Frog Legs | aquaculture:frog_legs                                                                                           |                                                                  |
| Aquaculture                    | aquaculture:food                                                   |    4102 |        9 |                                  Turtle Soup | aquaculture:turtle_soup                                                                                         |                                                                  |
| Aquaculture                    | aquaculture:food                                                   |    4102 |       10 |                                        Sushi | aquaculture:sushi                                                                                               |                                                                  |
| Aquaculture                    | aquaculture:gold_fishing_rod                                       |    4098 |        0 |                           Golden Fishing Rod | aquaculture:golden_fishing_rod                                                                                  |                                                                  |
| Aquaculture                    | aquaculture:iron_fishing_rod                                       |    4097 |        0 |                             Iron Fishing Rod | aquaculture:iron_fishing_rod                                                                                    |                                                                  |
| Aquaculture                    | aquaculture:neptunium_axe                                          |    4105 |        0 |                                Neptunium Axe | aquaculture:neptunium_axe                                                                                       |                                                                  |
| Aquaculture                    | aquaculture:neptunium_boots                                        |    4111 |        0 |                              Neptunium Boots | aquaculture:neptunium_boots                                                                                     |                                                                  |
| Aquaculture                    | aquaculture:neptunium_chestplate                                   |    4109 |        0 |                         Neptunium Chestplate | aquaculture:neptunium_chestplate                                                                                |                                                                  |
| Aquaculture                    | aquaculture:neptunium_helmet                                       |    4108 |        0 |                             Neptunium Helmet | aquaculture:neptunium_helmet                                                                                    |                                                                  |
| Aquaculture                    | aquaculture:neptunium_hoe                                          |    4106 |        0 |                                Neptunium Hoe | aquaculture:neptunium_hoe                                                                                       |                                                                  |
| Aquaculture                    | aquaculture:neptunium_leggings                                     |    4110 |        0 |                           Neptunium Leggings | aquaculture:neptunium_leggings                                                                                  |                                                                  |
| Aquaculture                    | aquaculture:neptunium_pickaxe                                      |    4103 |        0 |                            Neptunium Pickaxe | aquaculture:neptunium_pickaxe                                                                                   |                                                                  |
| Aquaculture                    | aquaculture:neptunium_shovel                                       |    4104 |        0 |                             Neptunium Shovel | aquaculture:neptunium_shovel                                                                                    |                                                                  |
| Aquaculture                    | aquaculture:neptunium_sword                                        |    4107 |        0 |                              Neptunium Sword | aquaculture:neptunium_sword                                                                                     |                                                                  |
| Aquaculture                    | minecraft:brown_mushroom                                           |      39 |        0 |                                     Mushroom | aquaculture:brown_mushroom_from_fish                                                                            | listAllmushroom,mushroomAny                                      |
| Aquaculture                    | minecraft:dye                                                      |     351 |        0 |                                      Ink Sac | aquaculture:ink_from_squid                                                                                      | dye,dyeBlack                                                     |
| Aquaculture                    | minecraft:dye                                                      |     351 |       15 |                                    Bone Meal | aquaculture:bonemeal_from_fish_bones                                                                            | dye,dyeWhite                                                     |
| Aquaculture                    | minecraft:fishing_rod                                              |     346 |        0 |                           Wooden Fishing Rod | aquaculture:vanilla_rod_from_wooden_rod                                                                         |                                                                  |
| Aquaculture                    | minecraft:leather                                                  |     334 |        0 |                                      Leather | aquaculture:leather_from_boots                                                                                  | itemLeather,leather                                              |
| Aquaculture                    | minecraft:planks                                                   |       5 |        0 |                              Oak Wood Planks | aquaculture:planks_from_driftwood                                                                               | plankWood                                                        |
| Aquaculture                    | minecraft:red_mushroom                                             |      40 |        0 |                                     Mushroom | aquaculture:red_mushroom_from_red_shrooma                                                                       | listAllmushroom,mushroomAny                                      |
| Aroma1997's Dimensional World  | aroma1997sdimension:dimensionchanger                               |    8966 |        0 |                             DimensionChanger | aroma1997sdimension:dimension_changer                                                                           |                                                                  |
| Aroma1997's Dimensional World  | aroma1997sdimension:miningmultitool                                |    8965 |        0 |                             Mining Multitool | aroma1997sdimension:mining_multitool                                                                            |                                                                  |
| Aroma1997's Dimensional World  | aroma1997sdimension:portalframe                                    |    8964 |        0 |                                 Portal Frame | aroma1997sdimension:portal_frame                                                                                |                                                                  |
| Atum 2                         | atum:alabaster_brick_carved                                        |    4574 |        0 |                       Carved Alabaster Brick | atum:alabaster_carved                                                                                           |                                                                  |
| Atum 2                         | atum:alabaster_brick_pillar                                        |    4576 |        0 |                       Pillar Alabaster Brick | atum:alabaster_pillar_brick                                                                                     |                                                                  |
| Atum 2                         | atum:alabaster_brick_polished                                      |    4573 |        0 |                     Polished Alabaster Brick | atum:alabaster_polished                                                                                         | stoneAlabasterPolished                                           |
| Atum 2                         | atum:alabaster_brick_smooth                                        |    4572 |        0 |                             Smooth Alabaster | atum:alabaster_smooth                                                                                           |                                                                  |
| Atum 2                         | atum:alabaster_brick_tiled                                         |    4575 |        0 |                        Tiled Alabaster Brick | atum:alabaster_tiled                                                                                            |                                                                  |
| Atum 2                         | atum:alabaster_carved_slab                                         |    4579 |        0 |                        Carved Alabaster Slab | atum:alabaster_carved_slab                                                                                      |                                                                  |
| Atum 2                         | atum:alabaster_carved_stairs                                       |    4584 |        0 |                      Carved Alabaster Stairs | atum:alabaster_carved_stairs                                                                                    |                                                                  |
| Atum 2                         | atum:alabaster_carved_wall                                         |    4589 |        0 |                        Carved Alabaster Wall | atum:alabaster_carved_wall                                                                                      |                                                                  |
| Atum 2                         | atum:alabaster_pillar_slab                                         |    4581 |        0 |                        Pillar Alabaster Slab | atum:alabaster_pillar_slab                                                                                      |                                                                  |
| Atum 2                         | atum:alabaster_pillar_stairs                                       |    4586 |        0 |                      Pillar Alabaster Stairs | atum:alabaster_pillar_stairs                                                                                    |                                                                  |
| Atum 2                         | atum:alabaster_pillar_wall                                         |    4591 |        0 |                        Pillar Alabaster Wall | atum:alabaster_pillar_wall                                                                                      |                                                                  |
| Atum 2                         | atum:alabaster_polished_slab                                       |    4578 |        0 |                      Polished Alabaster Slab | atum:alabaster_polished_slab                                                                                    |                                                                  |
| Atum 2                         | atum:alabaster_polished_stairs                                     |    4583 |        0 |                    Polished Alabaster Stairs | atum:alabaster_polished_stairs                                                                                  |                                                                  |
| Atum 2                         | atum:alabaster_polished_wall                                       |    4588 |        0 |                      Polished Alabaster Wall | atum:alabaster_polished_wall                                                                                    |                                                                  |
| Atum 2                         | atum:alabaster_smooth_slab                                         |    4577 |        0 |                        Smooth Alabaster Slab | atum:alabaster_smooth_slab                                                                                      |                                                                  |
| Atum 2                         | atum:alabaster_smooth_stairs                                       |    4582 |        0 |                      Smooth Alabaster Stairs | atum:alabaster_smooth_stairs                                                                                    |                                                                  |
| Atum 2                         | atum:alabaster_smooth_wall                                         |    4587 |        0 |                        Smooth Alabaster Wall | atum:alabaster_smooth_wall                                                                                      |                                                                  |
| Atum 2                         | atum:alabaster_tiled_slab                                          |    4580 |        0 |                         Tiled Alabaster Slab | atum:alabaster_tiled_slab                                                                                       |                                                                  |
| Atum 2                         | atum:alabaster_tiled_stairs                                        |    4585 |        0 |                       Tiled Alabaster Stairs | atum:alabaster_tiled_stairs                                                                                     |                                                                  |
| Atum 2                         | atum:alabaster_tiled_wall                                          |    4590 |        0 |                         Tiled Alabaster Wall | atum:alabaster_tiled_wall                                                                                       |                                                                  |
| Atum 2                         | atum:arrow_trap                                                    |    4502 |        0 |                                   Arrow Trap | atum:trap_arrow                                                                                                 |                                                                  |
| Atum 2                         | atum:bone_ladder                                                   |    4518 |        0 |                                  Bone Ladder | atum:bone_ladder                                                                                                |                                                                  |
| Atum 2                         | atum:bone_torch                                                    |    4524 |        0 |                                   Bone Torch | atum:bone_torch                                                                                                 |                                                                  |
| Atum 2                         | atum:burning_trap                                                  |    4498 |        0 |                                 Burning Trap | atum:trap_burning                                                                                               |                                                                  |
| Atum 2                         | atum:carved_stairs                                                 |    4556 |        0 |                Limestone Carved Brick Stairs | atum:limestone_carved_stairs                                                                                    |                                                                  |
| Atum 2                         | atum:carved_wall                                                   |    4563 |        0 |                  Limestone Carved Brick Wall | atum:limestone_carved_wall                                                                                      |                                                                  |
| Atum 2                         | atum:ceramic_black                                                 |    4628 |        0 |                     Black Ceramic Tile Block | atum:ceramic_black                                                                                              |                                                                  |
| Atum 2                         | atum:ceramic_blue                                                  |    4624 |        0 |                      Blue Ceramic Tile Block | atum:ceramic_blue                                                                                               |                                                                  |
| Atum 2                         | atum:ceramic_brown                                                 |    4625 |        0 |                     Brown Ceramic Tile Block | atum:ceramic_brown                                                                                              |                                                                  |
| Atum 2                         | atum:ceramic_cyan                                                  |    4622 |        0 |                      Cyan Ceramic Tile Block | atum:ceramic_cyan                                                                                               |                                                                  |
| Atum 2                         | atum:ceramic_gray                                                  |    4620 |        0 |                      Gray Ceramic Tile Block | atum:ceramic_gray                                                                                               |                                                                  |
| Atum 2                         | atum:ceramic_green                                                 |    4626 |        0 |                     Green Ceramic Tile Block | atum:ceramic_green                                                                                              |                                                                  |
| Atum 2                         | atum:ceramic_light_blue                                            |    4616 |        0 |                Light Blue Ceramic Tile Block | atum:ceramic_lightblue                                                                                          |                                                                  |
| Atum 2                         | atum:ceramic_lime                                                  |    4618 |        0 |                      Lime Ceramic Tile Block | atum:ceramic_lime                                                                                               |                                                                  |
| Atum 2                         | atum:ceramic_magenta                                               |    4615 |        0 |                   Magenta Ceramic Tile Block | atum:ceramic_magenta                                                                                            |                                                                  |
| Atum 2                         | atum:ceramic_orange                                                |    4614 |        0 |                    Orange Ceramic Tile Block | atum:ceramic_orange                                                                                             |                                                                  |
| Atum 2                         | atum:ceramic_pink                                                  |    4619 |        0 |                      Pink Ceramic Tile Block | atum:ceramic_pink                                                                                               |                                                                  |
| Atum 2                         | atum:ceramic_purple                                                |    4623 |        0 |                    Purple Ceramic Tile Block | atum:ceramic_purple                                                                                             |                                                                  |
| Atum 2                         | atum:ceramic_red                                                   |    4627 |        0 |                       Red Ceramic Tile Block | atum:ceramic_red                                                                                                |                                                                  |
| Atum 2                         | atum:ceramic_silver                                                |    4621 |        0 |                    Silver Ceramic Tile Block | atum:ceramic_lightgray                                                                                          |                                                                  |
| Atum 2                         | atum:ceramic_slab_black                                            |    4644 |        0 |                      Black Ceramic Tile Slab | atum:ceramic_slab_black                                                                                         |                                                                  |
| Atum 2                         | atum:ceramic_slab_blue                                             |    4640 |        0 |                       Blue Ceramic Tile Slab | atum:ceramic_slab_blue                                                                                          |                                                                  |
| Atum 2                         | atum:ceramic_slab_brown                                            |    4641 |        0 |                      Brown Ceramic Tile Slab | atum:ceramic_slab_brown                                                                                         |                                                                  |
| Atum 2                         | atum:ceramic_slab_cyan                                             |    4638 |        0 |                       Cyan Ceramic Tile Slab | atum:ceramic_slab_cyan                                                                                          |                                                                  |
| Atum 2                         | atum:ceramic_slab_gray                                             |    4636 |        0 |                       Gray Ceramic Tile Slab | atum:ceramic_slab_gray                                                                                          |                                                                  |
| Atum 2                         | atum:ceramic_slab_green                                            |    4642 |        0 |                      Green Ceramic Tile Slab | atum:ceramic_slab_green                                                                                         |                                                                  |
| Atum 2                         | atum:ceramic_slab_light_blue                                       |    4632 |        0 |                 Light Blue Ceramic Tile Slab | atum:ceramic_slab_lightblue                                                                                     |                                                                  |
